,Temperature-High,Temperature-Low,Temperature-Average,Humidity-High,Humidity-Low,Humidity-Average,Pressure-High,Pressure-Low,Pressure-Average,location
1-2020,"15 °C (31. Jan, 13:20)","-5 °C (22. Jan, 02:50)",4 °C,"100% (1. Jan, 22:20)","53% (20. Jan, 14:20)",87%,"1047 mbar (1. Jan, 22:20)","994 mbar (28. Jan, 09:50)",1024 mbar,Darmstadt
2-2020,"18 °C (16. Feb, 15:50)","-3 °C (6. Feb, 03:20)",7 °C,"100% (1. Feb, 15:50)","40% (16. Feb, 16:50)",76%,"1036 mbar (1. Feb, 15:50)","991 mbar (27. Feb, 16:50)",1015 mbar,Darmstadt
3-2020,"18 °C (16. Mär, 16:50)","-3 °C (23. Mär, 06:20)",8 °C,"100% (1. Mär, 21:50)","16% (25. Mär, 16:50)",65%,"1035 mbar (1. Mär, 21:50)","987 mbar (5. Mär, 23:20)",1017 mbar,Darmstadt
4-2020,"25 °C (17. Apr, 15:50)","-3 °C (2. Apr, 04:20)",13 °C,"100% (19. Apr, 04:50)","16% (22. Apr, 17:50)",52%,"1030 mbar (19. Apr, 04:50)","1002 mbar (30. Apr, 17:20)",1017 mbar,Darmstadt
5-2020,"26 °C (19. Mai, 17:20)","2 °C (7. Mai, 04:50)",14 °C,"100% (1. Mai, 23:20)","20% (28. Mai, 16:20)",61%,"1035 mbar (1. Mai, 23:20)","1002 mbar (1. Mai, 13:50)",1020 mbar,Darmstadt
1-2020,"15 °C (31. Jan, 13:20)","-5 °C (22. Jan, 02:50)",4 °C,"100% (1. Jan, 22:20)","53% (20. Jan, 14:20)",87%,"1047 mbar (1. Jan, 22:20)","994 mbar (28. Jan, 09:50)",1024 mbar,Frankfurt
2-2020,"18 °C (16. Feb, 15:50)","-3 °C (6. Feb, 03:20)",7 °C,"100% (1. Feb, 15:50)","40% (16. Feb, 16:50)",76%,"1036 mbar (1. Feb, 15:50)","991 mbar (27. Feb, 16:50)",1015 mbar,Frankfurt
3-2020,"18 °C (16. Mär, 16:50)","-3 °C (23. Mär, 06:20)",8 °C,"100% (1. Mär, 21:50)","16% (25. Mär, 16:50)",65%,"1035 mbar (1. Mär, 21:50)","987 mbar (5. Mär, 23:20)",1017 mbar,Frankfurt
4-2020,"25 °C (17. Apr, 15:50)","-3 °C (2. Apr, 04:20)",13 °C,"100% (19. Apr, 04:50)","16% (22. Apr, 17:50)",52%,"1030 mbar (19. Apr, 04:50)","1002 mbar (30. Apr, 17:20)",1017 mbar,Frankfurt
5-2020,"26 °C (19. Mai, 17:20)","2 °C (7. Mai, 04:50)",14 °C,"100% (1. Mai, 23:20)","20% (28. Mai, 16:20)",61%,"1035 mbar (1. Mai, 23:20)","1002 mbar (1. Mai, 13:50)",1020 mbar,Frankfurt
