Sat Jan 31 23:23:50 +0000 2015,Daniel wenn du ein Bier möchtest dann musst du bei mir vorbei kommen #ibes
Sat Jan 31 22:39:28 +0000 2015,@neuroserve Und wo paßt da der 20er Kasten Bier hin?
Sat Jan 31 21:31:07 +0000 2015,"Bier, Milch, Honig - Kölnische Rundschau http://dlvr.it/8KtCQH"
Sat Jan 31 20:02:31 +0000 2015,"zehn meter vor dem ziel biegt meine beste freundin in eine kneipe ein 'nö, ich trinke mir jetzt ein bier.' @moepemoo"
Sat Jan 31 19:45:33 +0000 2015,"Oliven, Hähnchen, Bier &amp; Winterglück. (@Frida in Düsseldorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/39WateIt118"
Sat Jan 31 19:38:00 +0000 2015,@joeko_n Hab Marius schon zugesagt. :)
Sat Jan 31 19:36:47 +0000 2015,"@BiJour Ich kenne ja nur ""Bier 'ne Mark"" auf Schalke... ;-) @connimark"
Sat Jan 31 19:29:05 +0000 2015,@joeko_n Chillen du so. :D
Sat Jan 31 18:58:07 +0000 2015,"Störtebeker Pilsener-Bier 4,9% vol. #Störtebeker #Pils #Bier #beer @My BBQ Place http://instagram.com/p/yh3q20qlQe/"
Sat Jan 31 17:48:09 +0000 2015,Alpi aus dem Steinkrug #prost #jaegerstueble #alpirsbacherklosterbräu #bier #schwarzwald @Gasthaus… http://instagram.com/p/yhvqWXM-sm/
Sat Jan 31 17:44:38 +0000 2015,"Positiv: heute beister u olic Negativ: das Spiel, Tasche durch bier versaut (aber Trikot konnte ich retten), knie zwickt wieder #HSVKOE"
Sat Jan 31 15:52:16 +0000 2015,@__planlos__ und 5 Stunden später hast du das erste Bier in der Hand.
Sat Jan 31 15:37:21 +0000 2015,Ich glaube das Bier gestern tat meiner Erkältung auch nicht sooooo gut.
Sat Jan 31 14:41:26 +0000 2015,Drinking a Weizen Obergärig by Ueli Bier @Ueli Bier — http://untp.beer/s/c150899343 #photo
Sat Jan 31 14:32:46 +0000 2015,Jetzt führt Frankfurt auch schon. Widerlich. // @eiszumt
Sat Jan 31 14:19:42 +0000 2015,Kammlott. <3
Sat Jan 31 14:07:14 +0000 2015,@dasido Danke....LÄUFT Suchbild mit Tom Hilde und komischem Bier 
Sat Jan 31 12:52:43 +0000 2015,"@Borovvsky es stehen noch vier in meinem Kühlschrank, also wenn du lust hast trinkt der müller müllermilch vom müller mit Bier "
Sat Jan 31 12:17:53 +0000 2015,In nicht mal mehr 60 Minuten wird das Spiel der Erfurter angepfiffen und ich bin den Tränen nahe nicht da sein zu können.
Sat Jan 31 12:14:21 +0000 2015,Leider heute nicht im #Volksparkstadion ! Heute vorm TV LIVE auf #SkyBuli ...#HSV Daumen drück ! #Trikot an ... Bier auf .. #nurderhsv !
Sat Jan 31 09:49:07 +0000 2015,@MaoriHH dann stell ich schon mal das Bier kalt!
