Tue Mar 31 20:45:59 +0000 2015,@Kathi_Bill aber Bier is ok oder?@switch2mac
Tue Mar 31 20:12:58 +0000 2015,@Kyra2001 Rotwein oder Bier?
Tue Mar 31 19:42:32 +0000 2015,Ich mach es wie der @bertinho_1896 ... #Spotify und #Bier ... läuft! 
Tue Mar 31 19:33:31 +0000 2015,@TimelineDancer Jup. In Dortmund. Beim Bier. Alles gut. Danke fürs dran denken. 
Tue Mar 31 18:44:05 +0000 2015,Bier.... (@Kommunbräu in Kulmbach) https://www.swarmapp.com/c/4Svb8tR7Clm
Tue Mar 31 16:13:50 +0000 2015,Wat freu ich mich!
Tue Mar 31 16:13:29 +0000 2015,"DIE SCHOTTEN KOMMEN ZURÜCK, YEEEEES"
Tue Mar 31 16:04:21 +0000 2015,"Die Frau, die auf's Klo geht zum Zeitunglesen."
Tue Mar 31 15:24:18 +0000 2015,Hab'n Bier. Könnt mir gar nichts.
Tue Mar 31 12:15:48 +0000 2015,In zwei Wochen um diese Zeit ploppt das erste Bier. #KlausurEinsVonVier #WasAbiturientenSoMachen
Tue Mar 31 11:54:04 +0000 2015,"Kommt schon Kinnas, ihr wollt mir bestimmt New Balance Schuhe kaufen."
Tue Mar 31 05:40:33 +0000 2015,Regen. WAS NE' FICKEREI
Tue Mar 31 05:31:17 +0000 2015,"Meine Mama fängt an von Amon Amarth zu schwärmen. Oh, was lieb' ich sie."
Tue Mar 31 03:35:10 +0000 2015,Qualität der Biersorten: „Schaum muss stabil sein” - Experten testen Bier-Qualität - Frankfurter Neue Presse http://dlvr.it/9BHTXq
Mon Mar 30 21:29:33 +0000 2015,Das siebte Bier des Abends: #desert #bier aus Augsburg @Mon Petit Café - Bistrobar https://instagram.com/p/03fGnLp_04/
Mon Mar 30 19:24:50 +0000 2015,@Pfaelzerin96 samstag gibt du mir 10 Bier aus auf dein Abi 
Mon Mar 30 18:34:28 +0000 2015,"Konfirmationsnachkaffee, die 2.: Kaffee, Kuchen, Schnittchen, Bier, Schnapps...dudeldicke nach Hause. ;)"
Mon Mar 30 16:47:01 +0000 2015,"""Bier braucht Heimat, aber Heimat braucht auch Bier."""
Mon Mar 30 16:23:44 +0000 2015,Vetter's 33 (according to the menu): Das nach Stammwürze (33%) stärkste Bier der Welt! [The… https://instagram.com/p/028GzfHLZG/
Mon Mar 30 15:57:52 +0000 2015,"Noch 5 Tage #Fastenzeit... Dann hab ich es geschafft, was freue ich mich auf mein erstes Bier! Hoffentlich ist bald Samstag! "
Mon Mar 30 13:42:56 +0000 2015,"Sie: ""Was seufzt du ?"" Er: ""Am liebsten Bier !"""
Mon Mar 30 12:22:17 +0000 2015,"@monostep Warmes Bier oder Pipi trinken,ich für meinen Teil würde letzteres vorziehen,warmes Bier...total eklig!"
Mon Mar 30 10:57:04 +0000 2015,Ernährung - «Schaum muss stabil sein» - Experten testen Bier-Qualität - Süddeutsche.de http://dlvr.it/99nV33
Mon Mar 30 10:40:36 +0000 2015,"Experten testen Bier-Qualität: ""Schaum muss stabil sein"" - N24 http://dlvr.it/99n48l"
Mon Mar 30 09:21:35 +0000 2015,«Schaum muss stabil sein» - Experten testen Bier-Qualität - Freie Presse http://dlvr.it/99kR9G
Mon Mar 30 09:06:18 +0000 2015,«Schaum muss stabil sein» - Experten testen Bier-Qualität - Westdeutsche Zeitung http://dlvr.it/99k2M7
Mon Mar 30 09:03:50 +0000 2015,"Meine Zigarette in ner Postapokaliptischen Welt wäre n #döner , #FIFA15 und n Kasten Bier #rbtv #moinmoin"
Mon Mar 30 08:49:22 +0000 2015,«Schaum muss stabil sein» - Experten testen Bier-Qualität - WESER-KURIER online http://dlvr.it/99jR16
Mon Mar 30 05:16:30 +0000 2015,"Samstag ist Heimspiel angesagt. Wer ist nicht da? Richtig, ich. Erstmal heulen."
Mon Mar 30 04:49:38 +0000 2015,Ich bin noch gar nicht mit dem Wochenende fertig.
Sun Mar 29 22:28:11 +0000 2015,@Rebooto da hilft nur mehr Bier!
Sun Mar 29 20:30:37 +0000 2015,Voll normale Fragen des Alltags.
Sun Mar 29 20:04:41 +0000 2015,Du bist mein persönliches Für Immer. #22UhrNonMentiom
Sun Mar 29 20:02:27 +0000 2015,Der 18.April wird perfekt!
Sun Mar 29 19:16:10 +0000 2015,@extrakaese 3-fach Käse^^
Sun Mar 29 18:44:41 +0000 2015,"Wenn ich morgen aufwache, möchte ich neben meinem besten Freund liegen. Mehr wünsche ich mir doch gar nicht. Macht das es wahr wird, bitte."
Sun Mar 29 17:43:11 +0000 2015,"Immer wenn ich den Hobbit und Herr der Ringe sehe, hab ich Lust Bier zu trinken und dazu Käse und Schinken zu essen."
Sun Mar 29 16:42:45 +0000 2015,Dreckiges Bier... Hmm 
Sun Mar 29 16:34:43 +0000 2015,"@Dario29O9 Kann ich, wo bleibt mein Bier ?"
Sun Mar 29 16:26:28 +0000 2015,Ende April fahre ich nach Lüneburg. Um glücklich zu sein. Einfach so.
Sun Mar 29 16:25:13 +0000 2015,Drei Stunden telefoniert. Drei Stunden gelacht. Drei Stunden einen Lieblingsmenschen gehört. Drei wundervolle Stunden.
Sun Mar 29 15:05:32 +0000 2015,"Schwarzer Hahn #bier #beer @Hotel Esperanto, Kongress- Und Kulturzentrum Fulda https://instagram.com/p/00OXNjlN8y/"
Sun Mar 29 14:54:52 +0000 2015,"Kolsch trinke (@Bier Museum in Cologne, North Rhine-Westphalia) https://www.swarmapp.com/c/9YdYIEpNMv9"
Sun Mar 29 14:36:42 +0000 2015,"""Für Frodo!"" ""AAAAAHHHHHH!"" So episch."
Sun Mar 29 14:22:51 +0000 2015,Man schenkte mir gerade eine Karte für das Toten Hosen Konzert in Leipzig. Erstmal heulen vor Freude.
Sun Mar 29 13:41:10 +0000 2015,@Chrixxl Das könnte ich sein.
Sun Mar 29 13:31:55 +0000 2015,Sprachnachricht aufnehmen und erstmal fett rülpsen. Beschreibt mich ganz gut.
