Mon Aug 31 22:24:09 +0000 2015,Kommt jemand mit Essen und Bier vorbei?
Mon Aug 31 19:44:15 +0000 2015,"Perfect beer, Bratwurst and Sauerkraut. Zum Schlüssel. #bier #würst #bratwurst #beer #craftbeer… https://instagram.com/p/7D1d7QQD8C/"
Mon Aug 31 16:38:56 +0000 2015,"Bier! (@Hotel-Restaurant ""Zum Löwen"" in Lage, NRW) https://www.swarmapp.com/c/6TViFPKIDIX"
Mon Aug 31 03:23:33 +0000 2015,Bier Wenches Muschi lecken http://dlvr.it/C1CdJ4 #gruppensex #lesbisch #orgie #mädchenaufmädchen
Sun Aug 30 21:15:00 +0000 2015,Geh ich jetzt ins Bett und bin morgen schon früh fit für die letzte Runde Kisten packen? Oh. Ein kaltes Bier. *plöpp*
Sun Aug 30 13:50:07 +0000 2015,Ich liebe den Laden #nichtsponsored ich mag einfach nur Bier #Bonn #Mittagspause #Sommer @… https://instagram.com/p/7AoJiBRq-q/
Sun Aug 30 11:04:04 +0000 2015,"Nachts vor dem Selfie-Automaten #nichtmeinesonnenbrille#party #bier#selfie #me @Wuppertal, Germany https://instagram.com/p/7AVJS4jSk-/"
Sun Aug 30 10:50:49 +0000 2015,Irgendwie verdunstet das Bier... 
Sat Aug 29 19:56:17 +0000 2015,Du und ich #latergram @Wilhelma Zoologisch-Botanischer Garten Stuttgart https://instagram.com/p/6-tQmnyEiQzfgRroiO1P77hFJVHkEmzdc-2QU0/
Sat Aug 29 19:02:33 +0000 2015,#latergram @Wilhelma Zoologisch-Botanischer Garten Stuttgart https://instagram.com/p/6-nG_ryEiGNyfK3FEJb9ZXOISpf-oDDsSCNC00/
Sat Aug 29 18:03:15 +0000 2015,Enjoying a Hövels Lütgendortmunder Bartholomäus Kirchweih-Bier — http://untp.beer/s/c219504476
Sat Aug 29 15:20:31 +0000 2015,Totes Tier und kaltes Bier heute abend.
Fri Aug 28 23:36:50 +0000 2015,Vermutlich würde es aber auch noch eine Flasche Bier zur Hirndefragmentierung tun ;) 
Fri Aug 28 21:31:21 +0000 2015,"Schnitzel, Bier und die Beste. Freitag abend machte Spaß."
Fri Aug 28 18:34:17 +0000 2015,Bier auf Stein. Oder auch: Langeweile am Autohof. #nohashtag #nofilter… https://instagram.com/p/67_FI0NDJ7vDOubS-GyYJAw7ikBojMA87ZThM0/
Fri Aug 28 17:41:08 +0000 2015,#brlo #paleale #bier #beer #craftbeer #berlin #bärlin @7000 Eichen wehlheiden https://instagram.com/p/674_4EOgWI/
Fri Aug 28 15:55:18 +0000 2015,I'm at Bier-Schneider - Die Wirtschaftsberater http://4sq.com/1PD9EjV
Fri Aug 28 15:51:58 +0000 2015,"I'm at Bier Krümmel in Bonn, Nordrhein-Westfalen http://4sq.com/1Jqwnym"
Fri Aug 28 12:13:07 +0000 2015,"@avocadoblume Schatz, ich hab Bier mitgebracht "
Thu Aug 27 16:13:33 +0000 2015,An Bremen vorbei und immer an @Garpswelt denken. Da wird mal ein Bier fällig!
Thu Aug 27 09:06:04 +0000 2015,@Bucksen Bier am Bahnhof?
Thu Aug 27 09:01:17 +0000 2015,"Ich habe ab 13.30 Uhr Urlaub und werde mir um 13.30 Uhr das erste Bier aufmachen. Ich finde, ihr solltet das wissen."
Thu Aug 27 06:18:01 +0000 2015,Morgen bin ich auf meinem ersten Hip Hop Konzert. Ich werde viel Bier brauchen! @DNPBERLIN @SexySudden @Alligatoah
Wed Aug 26 17:52:35 +0000 2015,Die Motivation liegt zu Hause auf der Couch und trinkt Bier. #nachtschicht
Wed Aug 26 15:49:57 +0000 2015,#Biergarten in #Oberfranken Gutes Meinel Bier und Bratwürste @Meinels Bas https://instagram.com/p/62irtLy7QC/
Wed Aug 26 10:12:30 +0000 2015,"Eigentlich wollte ich gestern nicht trinken. Am Ende hatten wir mehrere Schnaps, Sekt und Bier Flaschen leer."
Tue Aug 25 11:54:11 +0000 2015,"#interessant -&gt; Grundsatzurteil: Bier darf nicht als ""bekömmlich"" beworben werden http://dlvr.it/ByKLQl"
Mon Aug 24 21:36:24 +0000 2015,#LimpBizkit #LeuteDieMitBechernWerfenSindIdioten @Porsche-Arena https://instagram.com/p/6yAvdZyEgTe_aRjsLsSlP3tbPWlRnbucpOXEQ0/
Sun Aug 23 22:44:32 +0000 2015,Gestern Nacht haben so drei Kerle ihr Bier auf unseren Tisch gestellt. Hab dann gefragt ob das für uns sei. War leider nicht der Fall.
Sun Aug 23 18:18:05 +0000 2015,Nur ein Bier (@Gleumes in Krefeld) https://www.swarmapp.com/c/20wsVUWcAOV
Sun Aug 23 11:30:41 +0000 2015,"Schwiegereltern sind drin, ich gehe jetzt Bier trinken. "
Sun Aug 23 08:54:09 +0000 2015,"Heute geht #twuttgart mit Brunch im Brauhaus los. 25 eur.Kaffee, Tee und Bier inkludiert. Blöd, dass mir gerade ein Croissant reichen würde"
Sat Aug 22 19:55:27 +0000 2015,Einweggrill SWAG #Grill #Bier #SommerSonneAntifa @Hufeisensee https://instagram.com/p/6srmNFw451/
Sat Aug 22 19:17:09 +0000 2015,Stockbrot zum Bier @Berghausen (Gummersbach) https://instagram.com/p/6snNtrHhal/
Sat Aug 22 17:59:22 +0000 2015,Schön #bier @Wuppertaler Brauhaus https://instagram.com/p/6seULyRU6A/
Sat Aug 22 15:37:49 +0000 2015,Wochenendeeeee #saufen #wochenende #bier @Horst https://instagram.com/p/6sOHS7sReN/
Sat Aug 22 15:29:39 +0000 2015,"Noch 75 km bis Köln, aber das Bier von dort gibt's auch hier. @Remagen Rheinpromenade https://instagram.com/p/6sNLi2q6dq/"
Sat Aug 22 13:31:40 +0000 2015,"Bier garten (@Landal Warsberg in Saarburg, Germany) https://www.swarmapp.com/c/eedU4GwAVcH"
Fri Aug 21 20:49:41 +0000 2015,Arbeitskollegen haben mich angesteckt.. Shitttttt #feierabend #tyskie #bier #polen @Theatro Hagen https://instagram.com/p/6qNAg3xCF3/
Fri Aug 21 20:23:01 +0000 2015,Gut: Erstes Saisontor. Doof: Das Ergebnis. Den Rest überlass ich den Fussballnerds und gehe wieder Bier trinken. #bscsvw #werder
Fri Aug 21 16:43:14 +0000 2015,"Ich glaube, der Mann dreht durch. So gebt ihn doch Bier!"
Fri Aug 21 10:30:11 +0000 2015,@BindedrahtBernd Das Bier kommt doch aus Stralsund! 
Thu Aug 20 21:56:39 +0000 2015,"#IHW2015 Geschichten am Lagerfeuer, Stockbrot, Musik, Bier, viel Lachen und Lagerfeuergespräche --&gt;… https://instagram.com/p/6nv4Sloo5S/"
