Wed Sep 30 18:08:33 +0000 2015,@bierdealer Ich mag aber kein warmes Bier... Oh..
Wed Sep 30 15:15:39 +0000 2015,Burger und Bier (@Cafe Nord in Essen) https://www.swarmapp.com/c/dKAQ2ysJH2W
Wed Sep 30 12:09:46 +0000 2015,"Düsseldorf, zwie bier bitte. #rhein #dusseldorf #Germany #bier #mcfc @Düsseldorfer Rheinuferpromenade https://instagram.com/p/8QRTQKLZ1M/"
Wed Sep 30 10:52:33 +0000 2015,„Craft“-Festival in Frankfurt: Pale Ale und Pulled Pork für Bier-Aficionados http://j.mp/1h9V1cf #frankfurt
Wed Sep 30 10:32:42 +0000 2015,Alt bier and sun ool (@Cafe Aktuell) https://www.swarmapp.com/c/7ZxqlGeMDtP
Wed Sep 30 05:43:14 +0000 2015,#peterheppner #latergram Schön war's! Er hat's halt drauf. @… https://instagram.com/p/8PlEpUSEmq4kkK95MUwmugphzCEOEwl1EXQSc0/
Tue Sep 29 18:20:30 +0000 2015,"Endlich wieder Bier aus der Heimat. Hat 22 Jahre gedauert, bis es das… https://instagram.com/p/8OWn8Rg0MU3kTnaat8q-Od3smVwcBlkdEDMog0/"
Tue Sep 29 16:23:00 +0000 2015,"Mit guten Freunden, Musik und einem Bier den Tag ausklingen lassen über den Dächern Kölns -… https://instagram.com/p/8OJffKloUF/"
Mon Sep 28 21:10:37 +0000 2015,kein Bier vor vier #Wasen #Stuttgart #cannstatt #igers #ontour ##voneinemvolksfestzumnächsten @… https://instagram.com/p/8MFnOiq-9d/
Mon Sep 28 17:27:08 +0000 2015,"@SWRinfo Naja, Whiskey hatten wir ja schon mal im Orbit. Da kann Bier nicht so schwer sein"
Mon Sep 28 01:54:03 +0000 2015,"Mein einer Kollege hat tatsächlich ""Geh mal Bier hol'n"" als Klingelton."
Sun Sep 27 17:37:53 +0000 2015,Bier and reading in the biergarten! @Rothenburg Ob De Tauber https://instagram.com/p/8JIePzpf9YmmXE8lACXMnsIf4LUEWNM0Y1igk0/
Sun Sep 27 16:36:45 +0000 2015,Bier @Brauerei Schumacher https://instagram.com/p/8JBefFwHws/
Sun Sep 27 16:36:26 +0000 2015,Bier @Brauerei Schumacher https://instagram.com/p/8JBcKmwHwf/
Sun Sep 27 15:13:06 +0000 2015,#interessant -&gt; Quiz: Hier geht's ums Bier http://dlvr.it/CH9Rlf
Sun Sep 27 14:54:58 +0000 2015,"Zeit für nen Bier (@Zur Alten Post in Siegen, Nordrhein-Westfalen) https://www.swarmapp.com/c/0Ju8ODY9wui"
Sun Sep 27 14:33:21 +0000 2015,"Bratwurst, Bier, Borussia! #bvbd98 (@Stadion Rote Erde in Dortmund) http://4sq.com/1MyeIWE"
Sun Sep 27 13:50:08 +0000 2015,Bratwurst Bier Borussia... @SÜDTRIBÜNE DORTMUND https://instagram.com/p/8IuaKemHYNCoig8FeMojNNuiNUi-D8fULfA8k0/
Sun Sep 27 13:30:07 +0000 2015,Bier-Aufzug. Amen. @Burgplatz (Düsseldorf) https://instagram.com/p/8IsHZTumxJ/
Sun Sep 27 10:39:20 +0000 2015,Hassloch Bier Festival!! #literbeers #dunkel #hellbier #steins @Haßloch https://instagram.com/p/8IYkuZnPBA/
Sat Sep 26 21:04:30 +0000 2015,Mmmmh... Malzbier! - Drinking a Schwarz-Bier by Strtebeker Braumanufaktur @H Brunnenstraße — http://untp.beer/s/c229213613 #photo
Sat Sep 26 19:54:25 +0000 2015,"Türke ??RT @mbukowski: Und jetzt eine knackige Mathe-Aufgabe: Ich will 3 Bier zahlen, der Barmann braucht zur Berechnung einen (1/2)"
Sat Sep 26 19:13:42 +0000 2015,Einen auf Kultur machen. (Mit Bier) - Drinking a Tomo Gold by Tomo Bru Biertutorium @Spitalhof — http://untp.beer/s/c229115448
Sat Sep 26 05:23:52 +0000 2015,#Bier @Bratwursthäusle bei St. Sebald https://instagram.com/p/8FPrPCtQZcthaXu9F2YbnHtftdo-DlslGje6g0/
Fri Sep 25 23:21:53 +0000 2015,Schönstes Bier der Welt! - Drinking a Herrenhäuser Premium Pils @H Bothfeld - http://untp.beer/s/c228686473 #photo
Fri Sep 25 20:07:07 +0000 2015,"Wein statt Bier :-) #TdG #aostavalley @Hörstel, Nordrhein-Westfalen, Germany https://instagram.com/p/8EP9k6LY3p/"
Fri Sep 25 19:02:01 +0000 2015,"bier, wurst und fussball #effzeh (@RheinEnergieStadion for FC Cologne vs FC Ingolstadt 04) https://www.swarmapp.com/c/7G4JUc6bfHi"
Fri Sep 25 15:09:40 +0000 2015,"Bïër, würst, ëïshöckëy, shöppïng ünd füssbäll. (@Hyatt Regency Cologne in Koeln, NW) https://www.swarmapp.com/c/apxvk8nxhlS"
Fri Sep 25 14:42:17 +0000 2015,Lang kein Bier mehr. Umso besser ist da ein kaltes Reißdorf! Auf nach Glad... (Reissdorf Kölsch) http://untp.beer/s/c228466181
Thu Sep 24 16:54:55 +0000 2015,"@_maxxo_ Da man(n) immer kaltes Bier im Kühlschrank hat, verstehe ich dein Problem nicht "
Wed Sep 23 21:56:09 +0000 2015,"Steuererklärung erledigt. Darauf spontan ein Bier.. (@Dorett Bar in Mainz, Rheinland-Pfalz) https://www.swarmapp.com/c/k22GEzOvLR6"
Wed Sep 23 20:53:19 +0000 2015,Schön war's. #latergram #dieblauen #Kickers #Dresden @Gazi-Stadion auf… https://instagram.com/p/7_LqKwSEt8nTVec-AkG8Gn2OGkCsqCuXzUZ1c0/
Wed Sep 23 19:24:03 +0000 2015,Endlich: dunkles Bier im Kap &lt;3 @KAP https://instagram.com/p/7_BcUhGa4a/
Wed Sep 23 17:48:56 +0000 2015,Lumpi? @Gazi-Stadion auf der Waldau https://instagram.com/p/7-2jt6yEjFYpgxly2mDqJ8HlnfSFqAhXvE3u00/
Wed Sep 23 17:43:57 +0000 2015,Heute #Schalke05 oder so ähnlich. EEEINTRAAACHT! #S04SGE #MISTIKIMBISS #Bier
Wed Sep 23 17:37:17 +0000 2015,"@andreteilzeit Schon klar, aber es ist auch DAS Metal Land. Bärte und Bier! "
Wed Sep 23 13:23:46 +0000 2015,Lebenssaft !! #bier #pivo #cerveza #cervecerosalemanes #birra @Gambrinus… https://instagram.com/p/7-YNfeLDEDVlmFilCeDBwdBlg1AOxsS--ARdc0/
Wed Sep 23 06:48:29 +0000 2015,@GeroldKatja Dafür machen Bier und Schnitzel dick 
Tue Sep 22 20:39:29 +0000 2015,Das Bier hat eine leichte Leberwurstnote.
Tue Sep 22 13:14:56 +0000 2015,Neuer Ansatz: BIER http://d.pr/i/o68n
Tue Sep 22 12:28:09 +0000 2015,#germany #wuzberg #houfbrau #bier @Würzburg https://instagram.com/p/77tDOthTw1/
Mon Sep 21 19:19:16 +0000 2015,Das Love bezieht sich auf das Bier 
