Sat Oct 31 18:50:56 +0000 2015,Fotoausbeute heute: Bier und Torte.
Sat Oct 31 18:38:21 +0000 2015,"Ich hatte ein Bier bestellt, habe Partywasser bekommen "
Sat Oct 31 15:22:37 +0000 2015,Chor - Ausflug zur Krombacher Brauerei =) #krombacher #bier #beer @Krombacher Brauerei | Braustube https://instagram.com/p/9gcBPqtFUK/
Sat Oct 31 15:22:18 +0000 2015,Aber dann gibt's schon noch Bier mit der geschätzten @mokka98.
Sat Oct 31 13:25:41 +0000 2015,Sonne. Bier. Fuasboiclub. (at @VeltinsArena for Schalke 04 vs FC Ingolstadt 04) https://www.swarmapp.com/c/efGkrmx459U
Sat Oct 31 12:36:48 +0000 2015,Hausmittel gegen Erkältung: Ingwer? Zitrone? Bier? Was hilft? - DIE WELT http://dlvr.it/CcCnSt
Sat Oct 31 12:21:06 +0000 2015,Hausmittel gegen Erkältung: Heiße Zitrone? Bier? Was hilft? - DIE WELT http://dlvr.it/CcCKFp
Fri Oct 30 22:24:32 +0000 2015,In der Altstadt Düsseldorf geht die Post ab! #düsseldorf #altstadt #nightlive #bars #bier #disco @… https://instagram.com/p/9engrjIG_v/
Fri Oct 30 20:32:55 +0000 2015,"Bin gerade in essen, jemand Bock auf nen Bier?"
Fri Oct 30 19:02:47 +0000 2015,"Bei anderen Chören stehen die Wasserflaschen bei den Sängern, hier hat jeder zum Proben ne Flasche Bier in der Hand. :D"
Fri Oct 30 18:28:29 +0000 2015,GrillSchinken und Bier (@Zuhause in Osnabrück) https://www.swarmapp.com/c/lxCrTUDyk7C
Fri Oct 30 15:40:20 +0000 2015,Zurück in Lautre. Heute 3 Punkte wären mal wieder angebracht. Aber jetzt erstmal Bier holen. #betze #FCKDSC #fck
Thu Oct 29 22:59:31 +0000 2015,Ho... Ho... Ho...lunder! - Drinking a Störtebeker Glüh-Bier @H Brunnenstraße - http://untp.beer/s/c240009250 #photo
Thu Oct 29 22:01:41 +0000 2015,Cheers! - Drinking a Störtebeker Stark-Bier by Strtebeker Braumanufaktur @H Brunnenstraße — http://untp.beer/s/c239983970
Thu Oct 29 21:47:08 +0000 2015,Mein Bier ist im Kühlschrank gefroren. 
Thu Oct 29 18:30:15 +0000 2015, @erdbeeretta auf das Bier könnte man ggf. verzichten 
Thu Oct 29 18:07:16 +0000 2015,"@martijn_kosters, zeer goed. Und du kannst mehr Bier trinken und darüber twittern xD"
