Thu Dec 31 23:05:34 +0000 2015,Festplattenintegritätsbericht… Sorry. Das muss dieses “Bier” sein von dem immer alle reden.
Thu Dec 31 22:39:19 +0000 2015,"Ich sehe, Alfi hat die 3 Bier bereits im Vorsprung :) "
Thu Dec 31 22:38:23 +0000 2015,"Wer mir übrigen schon immer mal blöde Fragen stellen wollte, ich glaube in 3 Bier wäre ich bereit für ekelhaft ernste Antworten (per DM) ;)"
Thu Dec 31 21:55:43 +0000 2015,Guten Rutsch! @Alte Molkerei https://www.instagram.com/p/_-NZUjSEhDG0UBKKtrfRb4g8PQUVGY6WRwBDs0/
Thu Dec 31 15:31:01 +0000 2015,Gestriger Jahresabschluss des Männerbündnis #blackandwhite #männer #jungs #bier #beer… https://www.instagram.com/p/_9heHuRaNw/
Wed Dec 30 20:06:34 +0000 2015,Castle...des isch schwäbisches Bier #tpus - Drinking a Castle Lager at @kili_hannover - http://untp.beer/s/c261543442 #photo
Wed Dec 30 16:25:27 +0000 2015,Drinking an Allgäuer Büble Bier Bayrisch Hell by Allguer Brauhaus @MoschMosch — http://untp.beer/s/c261482074 #photo
Wed Dec 30 12:03:42 +0000 2015,Bier-Notstand beseitigen (@trinkgut Getränkemarkt in Mönchengladbach) https://www.swarmapp.com/c/kvaHChof1cp
Tue Dec 29 19:43:15 +0000 2015,Es gibt heute Bier. (@Eisen in Bremen w/ @mcschnitzel @garpswelt) https://www.swarmapp.com/c/bNVecMTEcSp
Tue Dec 29 13:08:56 +0000 2015,Rock&Bier!! (@Monster Café in Göttingen) https://www.swarmapp.com/c/bkoAjuwmzSM
Tue Dec 29 08:35:06 +0000 2015,@Bucksen Der @nedfuller besorgt ne zweite Kiste Bier. Einfach Geld an ihn. Flimm wäre gut ;) @fschmidt77
Sun Dec 27 21:43:06 +0000 2015,@Bucksen Vor Silvester noch einmal Bier?
Sun Dec 27 14:18:12 +0000 2015,Best keller bier from draft! :) @St. Georgen Bräu Buttenheim https://www.instagram.com/p/_zF9OtN8x3/
Sat Dec 26 21:41:49 +0000 2015,"Ein,zwei Bier und dann vielleicht das Tanzbein schwingen (@Niedersächsische Botschaft) https://www.swarmapp.com/c/2ONElnckmpD"
Sat Dec 26 11:51:15 +0000 2015,Bier bier bier!! #Nuremberg #Germany #bier @Zum Albrecht Dürer Haus https://www.instagram.com/p/_wQWGFsZlS-Lfj4c712RfcDDkIJQZX-GpqjxM0/
Fri Dec 25 16:36:59 +0000 2015,"Das traditionelle ""Nach-Hause-fahr-Bier"". @Unna https://www.instagram.com/p/_uMQGkOB8O/"
Fri Dec 25 09:53:27 +0000 2015,"Keine 10 Minuten zu Hause, schon steht das 1. Bier bereit. Prost! (@Mühlhausen in Mühlhausen) https://www.swarmapp.com/c/dbuiUYMq3RQ"
Thu Dec 24 23:02:54 +0000 2015,Christmas beers from Deutschland. Allgäuer Brauhaus AG Altenmünster Winter Bier Dunkel(5.5%… https://www.instagram.com/p/_sTnnIH8-A/
Wed Dec 23 20:44:30 +0000 2015,Really nice Koelsch in the home if the bier! - Drinking a Sion Kölsch by Radeberger Gruppe @Brauhaus Sion — http://untp.beer/s/c258436621
Wed Dec 23 20:15:52 +0000 2015,An diesem Ort drücken mir fremde Menschen Bier in die Hand. Ist das dieser “Himmel”?! Ich finds Cool hier \o/
Wed Dec 23 15:42:41 +0000 2015,Es ist Bier Zeit! Heute es ist mein Geburtstag und wir haben Ketterer Heller Bock 7.1%. @… https://www.instagram.com/p/_o8cYsLZIk/
Wed Dec 23 14:29:53 +0000 2015,@a_prigge Wenigstens ein Hamburger der weiß was ein gutes Bier ist. 
Tue Dec 22 15:26:16 +0000 2015,"Neues Bremer Bier als Geschenk kaufen. (@Union Brauerei in Bremen, bremen) https://www.swarmapp.com/jugendinformant/checkin/56796b7a498eb110b9b8c070?s=HkdNKDroxRyrohUUSu7UjDbiX-E&amp;ref=tw"
Tue Dec 22 06:25:33 +0000 2015,Getränke an Weihnachten: So schmecken Bier und Wein an Heilig Abend am besten - Augsburger Allgemeine http://dlvr.it/D4Nrz6
Mon Dec 21 18:40:15 +0000 2015,"Feierabend Freunde Bier... (@Lot Jonn in Düsseldorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/5g4oyVPN2Ak"
Mon Dec 21 17:37:04 +0000 2015,"Ich liebe bier trinken!! (@Oberhausen in Oberhausen, Nordrhein-Westfalen) https://www.swarmapp.com/adanlarraze/checkin/5678385a498e3336a2f89c8f?s=ghYxA5CmYAZoDfjKdS-kCVxujJg&amp;ref=tw"
Mon Dec 21 15:02:52 +0000 2015,@Verkehrsrot danke Aber diese Wetter passt besser kaltes Bier 
Sun Dec 20 16:55:35 +0000 2015,"Lachsköstlichkeit, Baum geschmückt, Bier, Bratäpfel &amp; Weihnachtslikör - angenehme Wochenstarts an Euch https://www.swarmapp.com/c/dEcSiZsMUOI"
Sun Dec 20 16:13:30 +0000 2015,Weihnachtsstimmung mal anders generieren Bier und Raclette. 
Sun Dec 20 15:15:02 +0000 2015,Bier und Sonntagsbraten! Hier: Rotbier der Brauerei Geyer! Bronze European Beer Star 2014!… https://www.instagram.com/p/_hK5Msrobu/
Sat Dec 19 16:59:53 +0000 2015,Stillleben am Gleis #igersnürnberg #Nürnberg #Bier #Massenbierhaltung @Nürnberg Haupbahnhof https://www.instagram.com/p/_eyGlLvkMb/
Sat Dec 19 16:15:15 +0000 2015,@nedfuller „Ich habe heute leider kein Bier für dich“
Sat Dec 19 16:12:09 +0000 2015,Ich brauch ein Bier!
Fri Dec 18 22:31:11 +0000 2015,Perfekt. Ich rieche nach Männerschweiß und vielen Bierduschen.… https://www.instagram.com/p/_czOLUSEvE8YzI_yYU1auidVB2JtgGZyyLBLc0/
Fri Dec 18 21:09:40 +0000 2015,Drinking an Allgäuer Büble Bier Edelweissbier by Allguer Brauhaus @Immer Beer Herzen — http://untp.beer/s/c256509409
Fri Dec 18 19:53:00 +0000 2015,Bier und Bundesliga mit Blick auf den Tower. (@Sheraton Düsseldorf Airport Hotel in Düsseldorf) https://www.swarmapp.com/c/4vZnzy2QFSN
Fri Dec 18 16:46:47 +0000 2015,"Und nachdem dem ich nicht mehr als 7 Bier vertrage, wird das ein lustiger Abend."
Fri Dec 18 16:45:34 +0000 2015,Plan für heute: betrinken. Klappt auch schon mal gut. 3. Bier und ein Glühwein.
Wed Dec 16 05:55:46 +0000 2015,Holzmacha immer wieder guad egal wo #Nattheimer#bier#spezial#holz @Wittislingen https://www.instagram.com/p/8IpRmWmmNn/
Wed Dec 16 05:51:03 +0000 2015,Haha Kama scha mal macha odr? #abhängen#boot#egau#bach#fluss#Bier#rudern @An der Egau auf der… https://www.instagram.com/p/6AGMabGmDu/
Tue Dec 15 21:02:56 +0000 2015,Adventskalenderbier 15/24 - Obaladara Bier aus dem Leinleitertal. Brauerei Ott Heiligenstadt. 
Tue Dec 15 20:18:11 +0000 2015,Zum Abschluss des Tages: Ein Frankfurter Burger mit Hamburger Bier. Passt. @Bullys Burger https://www.instagram.com/p/_U1nM-xwfv/
Tue Dec 15 18:15:38 +0000 2015,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/4Ww63oztvbI"
Tue Dec 15 18:08:21 +0000 2015,"Pfungstädter. #Bier #beer #süffig #würzig @Immer Satt, Frankfurt https://www.instagram.com/p/_UmwNWP0oD/"
Mon Dec 14 20:21:01 +0000 2015,Drinking a Böll Bier by Bll @Ubierschänke — http://untp.beer/s/c255513803 #photo
Sun Dec 13 21:37:36 +0000 2015,Noch ne Stunde heim. Der blöd grinsenden Tisch-Halterung dreh ich nun die Nase um und stell ein Bier auf selbigen. 
Sun Dec 13 16:31:07 +0000 2015,#weihnachtsmarkt #bier #brauerei #scheee (@Ammerndorf) https://www.swarmapp.com/c/cgAs9xDNEok
Fri Dec 11 23:38:14 +0000 2015,Aller guten Dinge sind drei. #igersfrankfurt #igers #craftbeer #beer #craft #bier #ipa #paleale… https://www.instagram.com/p/_K5VIwy5SR/
Fri Dec 11 21:00:03 +0000 2015,Los geht's. #igers #igersfrankfurt #frankfurt #bier #beer #craft #craftbeer #ipa #monsteripa #hop… https://www.instagram.com/p/_KnOkwy5d1/
Fri Dec 11 20:06:10 +0000 2015,Adventskalenderbier 11/24 - Leikeim Hell Lager Bier. Prosit! 
Fri Dec 11 19:35:16 +0000 2015,"Dann mal schauen, ob es heute auszuhalten ist. #m05vfb heute nur 1 Bier dazu, dafür im praktischen 1.5l Format "
Fri Dec 11 19:04:52 +0000 2015,Bier!! (@Eisen in Bremen w/ @mrrsole) https://www.swarmapp.com/c/1J1jIMYgdw8
Fri Dec 11 18:44:03 +0000 2015,@kleinertod @TantePolly @SanktPony @schatzor nix da. Hoechtens ein Bier.
Thu Dec 10 20:09:55 +0000 2015,Wie wäre es mit Bier ? #oakroadtravels @Schönbuch Bräu Brauhaus https://www.instagram.com/p/_H8siNmVe4/
Thu Dec 10 17:21:32 +0000 2015,Bier kühlt. Ich bete. (@St. Markus Rösberg in Bornheim) https://www.swarmapp.com/c/hI4Y9qJbzXj
Thu Dec 10 12:32:05 +0000 2015,Dunkel bier o como sea @Schlappeseppel https://www.instagram.com/p/_HITRsu4LP/
Wed Dec 09 20:00:30 +0000 2015,Darauf machen sich die Parlamentarier*innen auch direkt das nächste Bier auf. #stupamr (sur)
Mon Dec 07 20:38:32 +0000 2015,Drinking a Bitburger Premium Pils / Beer by Bitburger Braugruppe @Bier-Akademie — http://untp.beer/s/c253239038
Mon Dec 07 20:37:02 +0000 2015,Drinking a Winterbier by Kaiser-Brauerei Geislingen @Bier-Akademie — http://untp.beer/s/c253238802
Mon Dec 07 19:52:29 +0000 2015,Bier gegen Weihnachten (@Eisen in Bremen w/ @mcschnitzel @garpswelt) https://www.swarmapp.com/c/5Bih1ZftmDK
Mon Dec 07 18:22:58 +0000 2015,Bisserl Fingerfood zum Bier #stone #burger #arrogantbastard #craftbeer @Die fette Kuh https://www.instagram.com/p/_ACEhmKexQ/
Sun Dec 06 14:34:07 +0000 2015,I'm at Bier-Elektrische in Plauen https://www.swarmapp.com/thominho7/checkin/56644552498ed888449ec1e1?s=BVE23iNr90EL1G8eyYaEaHmTp9w&amp;ref=tw
Sat Dec 05 23:23:17 +0000 2015,Day 5 of the #BierAdventCalendar2015 is: Rügener Insel Brauerei​ Insel Kreide Seltenes Bier.… https://www.instagram.com/p/-7a2bun82Z/
Sat Dec 05 21:01:18 +0000 2015,"Bier mit alten Freunden (@Zentrale in Reutlingen, BW) https://www.swarmapp.com/c/gMdbYbDLE2Z"
Sat Dec 05 18:15:30 +0000 2015,Bier? &#13;Program? &#13;Riebekuchen? &#13;Deutschland Matchday @… https://www.instagram.com/p/-63oInvsR0kVsRo8_UQZEyk_YRYm4bFsDCuwk0/
Sat Dec 05 12:59:52 +0000 2015,"Köstliches Essen, leckeres Bier und klasse Cocktails gab es gestern auf der Weihnachtsfeier… https://www.instagram.com/p/-6TgWmrirA/"
Sat Dec 05 10:54:08 +0000 2015,"Bier, hier und jetzt! #Werksverkauf #craftbeer #brauprojekt777 #RedAle #WinterBier #Honigbier… https://www.instagram.com/p/-6FHboExMS/"
Sat Dec 05 08:12:55 +0000 2015,"Reisegruppe in der Bahn, welche sich hier ein Bier nach dem nächsten reinzieht und laut ist... Nervig!"
Fri Dec 04 22:43:24 +0000 2015,#konzertjunkie #webutterthebreadwithbutter #wbtbwb Schön wars. Tobi… https://www.instagram.com/p/-4xfb-yEjOSe-b3tlpI7EfjNcMji6p3ZK8gdU0/
Fri Dec 04 22:40:12 +0000 2015,"Diese Melange aus Schweiß, Bier, erbrochenem und Döner. Es kann nur Freitag Abend im ÖPNV sein…"
Fri Dec 04 16:56:29 +0000 2015,Ein DOM Kölsch bier @Radisson Blu Hotel https://www.instagram.com/p/-4JynqPsdMovUP8M3fJsGf_VTw1cI8NWApTmc0/
Fri Dec 04 15:03:14 +0000 2015,Zeit für Bier nach vier! @Cologne Oval Office https://www.instagram.com/p/-380lkNRp7/
Fri Dec 04 14:30:32 +0000 2015,Ja mein Schatz... Geh heute Abend nur auf 2 - 3 Bier runter ins Städtle in die Stube...!… https://www.instagram.com/p/-35FLjvmjk/
Fri Dec 04 12:44:10 +0000 2015,Nach dem Mittagessen fiel mir ein: Fisch will schwimmen. Schnell 2 Bier getrunken.
Thu Dec 03 18:55:11 +0000 2015,Adventskalenderbier 3/24 - Schönbrunner Fichtelgebirgs Bier von Lang Bräu. Salute! 
Thu Dec 03 17:47:41 +0000 2015,"Bier und Burger :) (@Mister Q in Hannover, Niedersachsen) https://www.swarmapp.com/c/4ycFxyerQYu"
Thu Dec 03 17:45:16 +0000 2015,Snacktime! @Bier-Esel https://www.instagram.com/p/-1qlD-LJy4/
Wed Dec 02 21:37:42 +0000 2015,Proust - Drinking an Astra Urtyp by Holsten-Brauerei @Bier-Akademie — http://untp.beer/s/c251385286 #photo
Wed Dec 02 20:31:04 +0000 2015,Bierfass bock - Drinking a Winterbier by Kaiser-Brauerei Geislingen @Bier-Akademie — http://untp.beer/s/c251373088 #photo
Wed Dec 02 20:05:33 +0000 2015,Weiterbildung in der Akademie... - Drinking a Weihenstephaner Hefeweissbier @Bier-Akademie - http://untp.beer/s/c251368503 #photo
Wed Dec 02 19:58:21 +0000 2015,Gleich Bingo - Drinking a Stuttgarter Hofbräu Pilsner by Stuttgarter Hofbru @Bier-Akademie — http://untp.beer/s/c251366911 #photo
Wed Dec 02 19:18:38 +0000 2015,Gut. Besonders der Location. - Drinking a Cluss Kellerpils Naturtrüb @Bier-Akademie - http://untp.beer/s/c251360718 #photo
Wed Dec 02 12:01:19 +0000 2015,Schlegel-Haus #Bochum #vonhieraus #architecture #Architektur #Geschichte #History #Bier #Brauerei… https://www.instagram.com/p/-yea-oB6DQ/
Tue Dec 01 22:06:00 +0000 2015,"@andijah Bier war lecker, schön voll, hätte aber gern herber sein dürfen #Kaiserhof"
Tue Dec 01 19:38:17 +0000 2015,Gute Nacht....! #Bier #köstritzer #thüringerwald #falkenstein #gute_nacht @Landhaus Falkenstein https://www.instagram.com/p/-wt6yqP52j/
Tue Dec 01 18:38:17 +0000 2015,"@andijah Oh wirklich? Kronacher ist nicht weit, habe aber noch nie bewusst Bier von Kaiserhof getrunken…"
Tue Dec 01 18:01:15 +0000 2015,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/7gEwyQJo5pg"
Tue Dec 01 17:22:55 +0000 2015,Endlich mal einen Platz bekommen. Selbstgemachtes Bier und rustikale Speisekarte.... https://www.swarmapp.com/c/eCimNGMW4bi
Tue Dec 01 16:47:47 +0000 2015,#Bier läuft... @Kartoffelhaus Plauen https://www.instagram.com/p/-waaMNNAou/
