Sun Jan 31 19:58:16 +0000 2016,@wozzap1435 Zwischen Ovo und Bier lagen fast 30 Minuten.
Sun Jan 31 17:23:05 +0000 2016,"Kneipe! Gutes Essen, gutes Bier und ein TV mit Handball... Man könnte nen Sonntag schlechter ausklingen... https://www.swarmapp.com/c/cMXZwDNWxe4"
Sat Jan 30 20:56:09 +0000 2016,"@Simon_Westwood ehrlich gesagt schmeckt nur das Bier nach Dschungel, der Küstennebel taugt was "
Sat Jan 30 20:05:55 +0000 2016,Durchaus nette Location. Ein bisschen retrohübsch. Bier auch ok.... (Schmitz Kölsch) http://untp.beer/s/c272077000 #photo
Sat Jan 30 17:35:36 +0000 2016,"(Ein Champagner-Bier, fruchtig, perlig und teuer)"
Sat Jan 30 16:29:00 +0000 2016,"@Planlos_B Türlich! In der eben Pipi, Bier, Kippe."
Sat Jan 30 15:24:18 +0000 2016,Ein kühles #Bier oder doch lieber einen heißen #Äppler? Immer diese Entscheidungenn.. :-) #Prost!
Sat Jan 30 15:11:13 +0000 2016,"#dbb #bergmann #bier Harte Arbeit, ehrlicher Lohn Lecker #dortmunder #schwarzbier… https://www.instagram.com/p/BBKvDSNhIRP/"
Sat Jan 30 01:27:22 +0000 2016,"Kein Bier mehr. -.- (@U+H Bahnhof Deutz/Messe/LANXESS arena - @kvb_info in Köln, Nordrhein-Westfalen) https://www.swarmapp.com/c/lpelHxjZuxw"
Fri Jan 29 22:47:01 +0000 2016,@mokka98 Ich hatte Mainz-Sieg. Und Bier.
Fri Jan 29 22:36:35 +0000 2016,"Ich weiß zwar nicht, was 8,5% Alc+Pfirsichgeschmack mit Bier zu tun hat aber es schmeckt ;) #belgisches #Bier ;) "
Fri Jan 29 17:33:07 +0000 2016,"Immerhin Bier (@Dieckmann's in Dortmund, Nordrhein-Westfalen) https://www.swarmapp.com/c/0cljGg1fUOb"
Fri Jan 29 17:20:41 +0000 2016,Dankstelle. #FridgeFriday #TgiF Schönes #Wochenende #Bier #dieDrei #DankBar #Prost @denkwerk https://www.instagram.com/p/BBIZEsjMHA0/
Fri Jan 29 14:37:52 +0000 2016,Das passende #bier zur passenden Mütze zur passenden narrenzeit #weiberfasching #vogelwuid… https://www.instagram.com/p/BBIGcL5m5NE/
Thu Jan 28 19:38:28 +0000 2016,Nach 5 Bier nochmal Weinprobe... Arbeit kann so anstrengend sein! (@Weinkellerei Röser in Kitzingen) https://www.swarmapp.com/c/4L379xmpDhO
Thu Jan 28 18:14:06 +0000 2016,Bestes Bier wo gibt - Drinking a Brinkhoff's No. 1 by Radeberger Gruppe @Studentendorf — http://untp.beer/s/c271198269
Thu Jan 28 17:15:27 +0000 2016,Feierabend! Schönen Abend TL! #Prost #Bier (@Hotel Würzburger Hof in Kitzingen) https://www.swarmapp.com/c/2rBUTbXQLXL
Thu Jan 28 12:43:19 +0000 2016,"Oh, du ... Osten. @Erfurt, Germany https://www.instagram.com/p/BBFUiZJyEvcuYrDiyKfuvuWmcgzvsbAqjx_xD40/"
Wed Jan 27 20:45:18 +0000 2016,FTR: http://bit.ly/1SbQjvB - Drinking a Whisky-Bier by Strtebeker Braumanufaktur @H Brunnenstraße — http://untp.beer/s/c270997788 #photo
Wed Jan 27 20:30:09 +0000 2016,Ab 18? #seriously Google? Bier ist doch ab 16 legal in D?! @Heidewaldstadion https://www.instagram.com/p/BBDlKTJTabL/
Wed Jan 27 19:34:51 +0000 2016,"Stößchen!! #Paulaner #Helles #Bier #Prost @Hotel &amp; Gaststätte ""Zur Waldlust"" https://www.instagram.com/p/BBDe1pIFR3n/"
Wed Jan 27 18:06:52 +0000 2016,"Bier Spoiler &amp; Burger der Woche mit Remoulade, mittelaltem Gauda, Solei und Senfsoße auf… https://www.instagram.com/p/BBDUxEiKewe/"
Wed Jan 27 14:14:52 +0000 2016,"@ZMahlzeit Ab jetzt Bier gucken, Fußball spielen. @kekxsi @Gedankenlyrik @Tini_Aalreuse @TBuddi"
Tue Jan 26 21:31:08 +0000 2016,Drinking an IPA by Brauhaus Lemke @Craft Bier Bar — http://untp.beer/s/c270802325
Tue Jan 26 19:13:56 +0000 2016,Ob ich wohl mein Bier mitnehmen darf? #vvmr (sur)
Tue Jan 26 15:44:42 +0000 2016,Kinderbier! - Drinking a Mixery Bier + Cola + X by Karlsberg Brauerei @RSW Raiffeisen Tankstelle Badem — http://untp.beer/s/c270760987
Tue Jan 26 14:59:00 +0000 2016,“Kölsch oder Kaffee?!” “Kaffee!” “Noch zu früh für Bier?” “Ach Bier gibt’s auch?!” ¯\_(ツ)_/¯ #hust
Mon Jan 25 20:30:41 +0000 2016,Dinnertime #bier #boennsch #naturtrueb @Brauhaus Bönnsch https://www.instagram.com/p/BA-bo0dr5ia/
Mon Jan 25 18:11:15 +0000 2016,Feierabend Bier (@Einfach So! in Nürnberg) https://www.swarmapp.com/c/73TvwM1hjLo
Sun Jan 24 16:23:53 +0000 2016,Lecker Bier und S04 auf Twitter... Läuft! (@Brauereigasthof Düll) https://www.swarmapp.com/c/chwlkmfydpd
Sun Jan 24 16:04:25 +0000 2016,Ganz lecker. #beer #bier #ipa #frankfurt #northsea #igers #igersfrankfurt #craft #craftbeer… https://www.instagram.com/p/BA7YX0OS5RF/
Sun Jan 24 12:20:50 +0000 2016,Bierkostung bei Ines. Licence Bier von Braufactum. Koriander... (Palm Spéciale) http://untp.beer/s/c270212267 #photo
