Mon Feb 29 20:11:54 +0000 2016,Status: ein Bier trinken um den Leap Beer Badge auf Untappd zu erhalten. #cheers
Sun Feb 28 23:48:28 +0000 2016,"Aber scheiß drauf, Oscars sind nur einmal im Jahr! #pizza #bier #prosiebenoscars"
Sun Feb 28 17:18:04 +0000 2016,"Oh, ich werde auf ein Welcome-back-wir-müssen-reden-Bier eingeladen. (@Köhlz in Bornheim-Merten) https://www.swarmapp.com/c/bxhRxHdE3ka"
Sat Feb 27 17:43:53 +0000 2016,"Rotes Bier und danach vielleicht noch ein Film. (@Babylon in Fürth, Bayern) https://www.swarmapp.com/c/kERjlnQfKn6"
Sat Feb 27 12:03:18 +0000 2016, #Kaffee #Bier #Essen #Köln @Severinstraße Köln https://www.instagram.com/p/BCSfzmlCme9XtGANWwso03rxTp8FZDpd6rTexI0/
Fri Feb 26 16:59:14 +0000 2016,Bestes Bier der Welt. #newcastle #brownale #herrenberg #pup @Shannon Irish Pub Herrenberg https://www.instagram.com/p/BCQc4G-nojy/
Fri Feb 26 04:56:08 +0000 2016,#interessant -&gt; Glyphosat im Bier: Schluck! http://www.spiegel.de/gesundheit/diagnose/glyphosat-im-bier-die-angst-trinkt-mit-kommentar-a-1079335.html#ref=rss
Thu Feb 25 17:16:59 +0000 2016,Das sieht doch mal interessant aus. Insel-Bier aus Rügen. @Globus Homburg-Einöd https://www.instagram.com/p/BCN6HQJN5dk/
Thu Feb 25 14:27:10 +0000 2016,Krebs-Risiko Glyphosat: Dürfen wir jetzt kein Bier mehr trinken? - FOCUS Online http://news.google.com/news/url?sa=t&amp;fd=R&amp;ct2=de&amp;usg=AFQjCNH9PvmaRcDpwCsdyWxikXIsz4-VhA&amp;clid=c3a7d30bb8a4878e06b80cf16b898331&amp;cid=52779800954442&amp;ei=KQ_PVqCnJ6rvwAHl1rvgAg&amp;url=http://www.focus.de/wissen/mensch/krebs-risiko-glyphosat-duerfen-wir-jetzt-kein-bier-mehr-trinken_id_5180385.html
Thu Feb 25 14:11:18 +0000 2016,Glyphosat: Experten weisen Pestizid in Bier nach - ZEIT ONLINE http://news.google.com/news/url?sa=t&amp;fd=R&amp;ct2=de&amp;usg=AFQjCNEdS_D1ZMSCbN-lVoO2jUumqtYy6Q&amp;clid=c3a7d30bb8a4878e06b80cf16b898331&amp;cid=52779800954442&amp;ei=PAvPVqCTBOnuwQHoxZDoDg&amp;url=http://www.zeit.de/wissen/gesundheit/2016-02/glyphosat-in-bier-pestizid-krebs-umweltinstitut-muenchen
Thu Feb 25 14:01:52 +0000 2016,Zapfanlage ist auch gekommen. Bald gibt es frisch gezapftes #meckatzer #bier. #beer #weissgold… https://www.instagram.com/p/BCNjyU1pnrz/
