Sat Apr 30 19:37:27 +0000 2016,"Ueli Bier Spezial zum Spargel @Düsseldorf, Germany https://www.instagram.com/p/BE1h3DGE4Bj/"
Sat Apr 30 16:58:58 +0000 2016,"Metal und Bier, das lob ich mir (@Jugendhaus Höfingen) https://www.swarmapp.com/c/cnqG51EKP6g"
Sat Apr 30 15:56:34 +0000 2016,Bönnsch beer. Great glassware #Beer #Bier #Bönnsch #Glassware @Brauhaus Bönnsch https://www.instagram.com/p/BE1IlKIHQiw/
Fri Apr 29 20:23:17 +0000 2016,#ALTBIER #ALTBEER #UERIGE #BIER #GERMANBEERS @Uerige Altstadt Dusseldorf https://www.instagram.com/p/BEzCTwnovE3/
Fri Apr 29 19:07:42 +0000 2016,"@LuneX666 schlechtes Bier bleibt schlechtes Bier, egal ob Alt oder Kölsch"
Fri Apr 29 18:49:33 +0000 2016,Drinking a Meinklang Urkorn-Bier by Brauhaus Gusswerk at @fivebochum — http://untp.beer/s/c305118845 #photo
Fri Apr 29 18:39:26 +0000 2016,Frühlingfest!!! #frühling #fruhlingsfest #germany #wier #bier #travel #culture #life #happy @… https://www.instagram.com/p/BEy2bIvzG6U/
Fri Apr 29 18:37:25 +0000 2016,Frühlingfest!!! #frühling #fruhlingsfest #germany #wier #bier #travel #culture #life #happy @… https://www.instagram.com/p/BEy2Me6zG50/
Fri Apr 29 18:22:48 +0000 2016,Bier mit den Eltern. (@La Fontana in Wolfsburg) https://www.swarmapp.com/c/jvc9CG5KX0Y
Fri Apr 29 09:16:38 +0000 2016,Bei uns wird Bier noch ganz traditionell ausgeliefert... die zwei Barre Hengste! Seit meinem… https://www.instagram.com/p/BEx2BGcCx7r/
Thu Apr 28 18:36:18 +0000 2016,"Katze trifft Bier , Pferd trifft Katze . @Reiterverein Bayer-Uerdingen e.V. https://www.instagram.com/p/BEwRRX_HO6y/"
Tue Apr 26 19:47:55 +0000 2016,#Deutschland #Bier #México #Cuba @Münster https://www.instagram.com/p/BErP4M0ndZX/
Tue Apr 26 19:22:22 +0000 2016,Ein großes Bier bitte #championsleague #veltins @Billardcafe Time Out https://www.instagram.com/p/BErM9GcEFOc/
Tue Apr 26 16:52:39 +0000 2016,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/dkF7QyXrnA0"
Tue Apr 26 11:24:06 +0000 2016," @insideX Das ist doch keine Frage, selbstverständlich ist #KÖLSCH Bier. // @astefanowitsch"
Sun Apr 24 19:57:37 +0000 2016,#dortmunderu #bier #beer #pivo #bierfest500 #friends #drinking @Dortmunder U https://www.instagram.com/p/BEmHZFfi8_2/
Sun Apr 24 13:59:52 +0000 2016,"#Bier! #pnk #500jahre #reinheitsgebot @Bischmisheim, Saarland, Germany https://www.instagram.com/p/BEledOOGGid/"
Sun Apr 24 11:27:13 +0000 2016,#Bier verdient nach #100km #radtour #duisburg zum #schlossraesfeld und wieder zurück nach… https://www.instagram.com/p/BElM_Pmt67L/
Sun Apr 24 10:50:48 +0000 2016,Brauereien-Wanderung. #firststep #kathibräu #bier… https://www.instagram.com/p/BElI0Y0K5FgjoxkkxM_G6mNmpgf7hI_YU-UvlU0/
Sun Apr 24 10:09:42 +0000 2016,Vorglühen. - Drinking a Bitburger Premium Pils / Premium Beer @Holter Bier- &amp; Kartoffelhaus - http://untp.beer/s/c303612463 #photo
Sun Apr 24 06:53:11 +0000 2016,500 Jahre Reinheitsgebot #beer #bier #bayern #photooftheday #picoftheday #augsburg #hasenbräu… https://www.instagram.com/p/BEktoJ9JabE/
Sat Apr 23 21:10:13 +0000 2016,"Ansatz zum Ale; erfrischend anders, gut trinkig. - Drinking a Keller-Bier 1402 @Heidewaldstadion - http://untp.beer/s/c303208079 #photo"
Sat Apr 23 14:06:46 +0000 2016,1 2 3 4 Bier #craftbeer @Im Wizemann https://www.instagram.com/p/BEi6c9rQ6zK/
Sat Apr 23 02:54:41 +0000 2016,Nur ein Bier...! Is klar... #rockmyworld #arschgewackel #partyhard #workhardplayhard… https://www.instagram.com/p/BEhtibZTgoB/
Fri Apr 22 20:30:42 +0000 2016,#f95fcsp Stau auf der A1 Hoehe Lotte Osnabrueck Richtung Bremen/Hamburg. Aber im Auto mit Bier ist es okay.
Fri Apr 22 19:16:56 +0000 2016,"Hier gibt es Barfüßer-Bier. Bayern... Äh, Franken halt. (@Barfüßer in Nürnberg, Bayern) https://www.swarmapp.com/c/0ZyZUCcBSvX"
Fri Apr 22 14:21:57 +0000 2016,"Ich glaub, heute brauch ich ein Feierabend-Bier. Wie sieht es aus @DenisKrick?"
Fri Apr 22 14:01:29 +0000 2016,500 Jahre #Reinheitsgebot #prost #Ingolstadt #igersingolstadt #bavaria #bayern #beer #bier @… https://www.instagram.com/p/BEgVDHsQbNE/
Thu Apr 21 15:20:02 +0000 2016,"Chips, Bier #Feierabend (@EDEKA in Rottenburg Am Neckar) https://www.swarmapp.com/c/8TN0PacjfG2"
Thu Apr 21 14:21:15 +0000 2016,Bier im Museum http://j.mp/244d73i #frankfurt
Thu Apr 21 13:46:45 +0000 2016,@KVBAG Unter einem Kasten Bier läuft da nix! 
Thu Apr 21 11:52:06 +0000 2016,"Wenn man Bier ins Licht hält, sieht es aus wie flüssiges Gold. "
Tue Apr 19 23:54:21 +0000 2016,"Excellent U Bier. On tap, no longer from gravi... (aU / Kellerbier Ungespundet - Hefetrüb) http://untp.beer/s/c301667673 #photo"
Tue Apr 19 18:33:28 +0000 2016,"Alles mit Reiß und laut Servicekraft ""Bier mit F"" wie Jever! https://www.swarmapp.com/c/8prC1Z8EYVv"
Tue Apr 19 18:01:49 +0000 2016,Feierabend-Bier für Herzdame. (@OIL! in Bochum) https://www.swarmapp.com/c/5VauzLB6ts6
Tue Apr 19 16:51:27 +0000 2016,BIER IS DA!! 9 versch. Craft Biere werden gleich bei uns verkostet! Wir haben noch ein paar… https://www.instagram.com/p/BEY6HXSvmtf/
Tue Apr 19 13:19:12 +0000 2016,Zum 500. Geburtstag des Reinheitsgebotes für Bier http://j.mp/23Wfk0J #frankfurt
Sun Apr 17 19:05:14 +0000 2016,Ich trink mir jetzt 2 Bier ... Aber nur weil die bald abgelaufen sind. Wegschmeißen ist der… https://www.instagram.com/p/BET_1rPvGBU/
Sun Apr 17 18:37:55 +0000 2016,"4 Bier, 2 Scheinfelder und noch nen Dornfelder probiert... Reif fürs Bett! Schönen Abend TL! (@Weinkellerei Röser) https://www.swarmapp.com/c/go8XWCL9Yke"
Sun Apr 17 10:13:26 +0000 2016,"Ein grobes bier! @Aschaffenburg, Germany https://www.instagram.com/p/BETC-lljHOTFft5Yw7jaW6s9qHnKED0Mnpml980/"
