Tue Nov 29 20:38:48 +0000 2016,#Brauereifassade #Bier #german #beer #fürstenberg #photosbytheway @Fürstenberg Brauerei https://www.instagram.com/p/BNaGMtNAphv/
Tue Nov 29 06:33:08 +0000 2016,Wenn Mello trinken geht und auf's Bier wartet... 
Mon Nov 28 19:42:39 +0000 2016,"Warmes Bier @Kassel, Germany https://www.instagram.com/p/BNXa-ikDUSv/"
Mon Nov 28 18:45:55 +0000 2016,#Bier #bitburgerbeer #bitburger #bier und ein #wilddieb #sambuca #enjoying #enjoy… https://www.instagram.com/p/BNXUfBIjdFA/
Sun Nov 27 21:52:52 +0000 2016,"#craftbeer #beer #bier #braukunst #brauen Bierspezialität @Restaurant ""Zur Mühle"" https://www.instagram.com/p/BNVFFflAGDo/"
Sun Nov 27 15:26:51 +0000 2016,What a Sunday. #düsseldorf #Bier @Rhine Tower - Düsseldorf https://www.instagram.com/p/BNUY6AZBcWxDKLizmGkkEPNTl9zZY9XtqAS2Jw0/
Sun Nov 27 14:29:57 +0000 2016,PROST ! #Dortmund #Brauerei #Bier #GutLeben @Brauerei Museum https://www.instagram.com/p/BNUSZS2hGGe/
Sun Nov 27 07:57:58 +0000 2016,Die CraftBeerFreunde auf der 2. CraftBeerMesse in Mainz. #craftbeer #beer #bier… https://www.instagram.com/p/BNTliYojS4Z/
Sun Nov 27 07:52:55 +0000 2016,heutige To-do-Liste: Gut gefrühstückt Bier Ab nach Lautern Derbysieg #betze und sonst nichts
Sat Nov 26 18:22:58 +0000 2016,Gutes holländisches Bier! - Drinking a Premium Pilsner / Premium Lager by @Grolsch @Gump's Homezone — http://untp.beer/s/c387496491 #photo
Sat Nov 26 16:46:43 +0000 2016,Schwäbisch mit Bier @Barfüßer die Hausbrauerei https://www.instagram.com/p/BNR9QQ3ghA-/
Sat Nov 26 09:26:29 +0000 2016,"Da ich den Anschluss verpasst habe, bleibt noch Zeit für ein LKW und ein Bier (@Gold Ochsen Treff) https://www.swarmapp.com/c/esajPYuMZgQ"
Fri Nov 25 16:59:13 +0000 2016,"Wie wärs mit nem Bier? Und einer Tageszeitung? (@Café Margareta in Erlangen, Bayern) https://www.swarmapp.com/c/i8d4prUr3Bq"
Fri Nov 25 13:12:14 +0000 2016,Es wurde gerade hastig eine kiste Bier in meinem Schrank verstaut... Und jetzt weiß ich auch nicht... #AlleBekloppt
Thu Nov 24 19:08:35 +0000 2016,Heimatliches Bier !!! #einsderbestenbiere @Landhaus Sassenhof https://www.instagram.com/p/BNND5d-B9B_/
Thu Nov 24 17:59:13 +0000 2016,#brandschutz #bier #nrw Brauhaus #pütz @Brauhaus Pütz https://www.instagram.com/p/BNM79YUgieZ5ok8CpClCdSpUP7FHfB3Q6l7qwA0/
Thu Nov 24 17:39:56 +0000 2016,#Deutschland2016 #HappyThanksGiving - Drinking a Keller Bier @Kachelofen - http://untp.beer/s/c386347822 #photo
