Mon Jan 30 20:24:47 +0000 2017,"Bier and breze @Ingolstadt, Germany https://www.instagram.com/p/BP5t4LbgadZ/"
Mon Jan 30 17:24:22 +0000 2017,#CafeExtrablatt Erstmal ein kühles Bier trinken
Sat Jan 28 20:51:55 +0000 2017,"Keine Züge -> Bier (@Feierabend in Cologne, North Rhine-Westphal) https://www.swarmapp.com/c/locmXsQ5jZd"
Sat Jan 28 17:33:28 +0000 2017,Drinking a Christkindlesmarkt Bier by Tucher Bru @Hodges Wohnung — http://untp.beer/s/c410877376
Sat Jan 28 16:49:09 +0000 2017,Bier!! (@BrauArt Britische Biere in Düsseldorf) https://www.swarmapp.com/c/jCwAhT34Z8b
Sat Jan 28 15:25:21 +0000 2017,#bier #läuft #wirtschaft #auch #jahresauftakt #ihk #erlangen #kesselfleisch #blutwurst @Gasthof… https://www.instagram.com/p/BP0CBcTA0ZV/
Fri Jan 27 18:37:25 +0000 2017,#bier @Sportplatz Wadgassen https://www.instagram.com/p/BPxzNPKDdCp/
Fri Jan 27 18:19:23 +0000 2017,Ein Bier und ein Mal noch schlafen ... #nyc #new York #bier #jukebox @Fluxus - Temporary… https://www.instagram.com/p/BPxxJM-B2Zo/
Fri Jan 27 17:15:24 +0000 2017,Weihnachtsgewürz. Kümmel? Lebkuchen? Trueffel S. - Drinking a Hop Secret Taurus @Craft Bier Bar - http://untp.beer/s/c410324094 #photo
Fri Jan 27 08:28:28 +0000 2017,Da machen die einen um die Zeit einfach Bier Durst @Dortmunder U https://www.instagram.com/p/BPwthAwjDbu/
Thu Jan 26 07:27:12 +0000 2017,kommt auf das Bier an. Spalter oder Oettinger und es wäre ein guter Verwendungszweck
Wed Jan 25 18:27:32 +0000 2017,Ein Mal 5 Bier bitte. @Braustübl https://www.instagram.com/p/BPsoe9YgDPA/
Wed Jan 25 17:33:31 +0000 2017,"Wir haben bier :) #hannover @Hanover, Germany https://www.instagram.com/p/BPsiTbAAy3Q/"
Wed Jan 25 16:12:49 +0000 2017,Endlich mal relevanter Einzelhandel im Sülz @BIER MACHT SCHÖN https://www.instagram.com/p/BPsZEVYAqmx/
Wed Jan 25 10:37:56 +0000 2017,Kölsch on Campus #kölschoncampus #frühkölsch #kölsch #bier #beer #ofw #students… https://www.instagram.com/p/BPryvUxAo3W/
Mon Jan 23 18:52:54 +0000 2017,"Gutes, leicht würziges Bier - Drinking a DoldenBerg Hand-Festbier @Duisburg - http://untp.beer/s/c409420176 #photo"
Mon Jan 23 18:42:42 +0000 2017,"Ein Bier muss bekanntlich richtig kalt sein! Allerdings ist es derzeit so kalt, dass wir das… https://www.instagram.com/p/BPngoYrjoe4/"
Sat Jan 21 17:05:36 +0000 2017,"Aus der Reihe ""Witzig nach 5 Bier"""
Sat Jan 21 15:16:44 +0000 2017,"Bier Stadt! (@Schlenkerla in Bamberg, Bayern) "
Sat Jan 21 05:14:04 +0000 2017,Unser Vorschlag für den #frühling #hemsbier #justdrinkit #bier #beer #hemsbach #tshirt… https://www.instagram.com/p/BPg6gFvDCtQ/
Fri Jan 20 18:43:00 +0000 2017,Fruchtig lecker. Herb im Abgang aber ein echt gutes Bier. - Drinking a Pils @H Hübschstraße - http://untp.beer/s/c407899072 #photo
Fri Jan 20 12:29:05 +0000 2017,"In der heutigen Folge ""Bier &amp; Bilder"" wird mein Bild ""Scouting Troops"" beurteilt... Schaut mal… https://www.instagram.com/p/BPfHfUmANRM/"
