Thu Aug 31 17:25:42 +0000 2017,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/djKQGCfoGPR"
Thu Aug 31 16:32:20 +0000 2017,Drinking a DBB Spezial by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c497922241 #photo
Tue Aug 29 17:37:00 +0000 2017,"Noch ein Bier. Hicks. (@Ratskeller in Ulm, Baden-Württemberg) https://www.swarmapp.com/c/d3ggNxpsTHU"
Tue Aug 29 16:51:38 +0000 2017,Bierdosen die sind so fotogen Cheers #bierdose #beercan #bier #beerstagram #craftbeer @… https://www.instagram.com/p/BYYpJZHAgox/
Tue Aug 29 16:50:44 +0000 2017,Bier am Wasser und Abendsonne in Bremen. @Schlachte https://www.instagram.com/p/BYYo8UkFWbY/
Mon Aug 28 21:35:24 +0000 2017,Und wo ist da jetzt das Bier?
Mon Aug 28 20:36:33 +0000 2017,"Wenn das Bier nicht zu mir kommt, gehe ich eben zum Bier (@Brauerei Schumacher Stammhaus) https://www.swarmapp.com/c/4F26gGzNpX3"
Mon Aug 28 17:49:09 +0000 2017,So gegrillt habe ich nun. Dann kann ich ja jetzt Bier und Cocktails trinken. ^^
Mon Aug 28 12:22:53 +0000 2017,"When in Deutschland, wir trinken Bier! @Schwäbisch Gmünd https://www.instagram.com/p/BYVlp-eFQveJ0I9Y8t7ulyKpnqOJYw-JQwfgEA0/"
Sun Aug 27 12:48:25 +0000 2017,More body than the traditional fest Bier jury still out bu... (Löwenbräu Oktoberfestbier) http://untp.beer/s/c496747844 #photo
Sun Aug 27 12:19:20 +0000 2017,"Ich war gern auf der #Gamescom2017! Aber was die da als Bier verkauft haben, ging gar nicht. #jaccuse"
Sun Aug 27 09:47:39 +0000 2017,#gaffelbier #gaffelbeer #beer #bier #cologne #koln #colonia en Kölner Dom - die offizielle Seite https://www.instagram.com/p/BYSvGF8hmaB/
Sat Aug 26 21:09:12 +0000 2017,Unser Ex-Bierbrunnen-Dienst! #kirmesinkettig #dienst #bier #spassbeiderarbeit @Kirmesplatz Kettig https://www.instagram.com/p/BYRYTH3lrNb/
Sat Aug 26 19:13:47 +0000 2017,Bier und Schnitzel. @Ginnheimer Wirtshaus https://www.instagram.com/p/BYRLFxxgN0W/
Sat Aug 26 18:20:37 +0000 2017,Drinking an Original Pfaffen Bier by Pfaffen Brauerei @Pfaffen Brauerei — http://untp.beer/s/c496175712 #photo
Sat Aug 26 12:27:24 +0000 2017,"Lecker lecker (@Bergmann Bier Kiosk in Dortmund, Nordrhein-Westfalen) https://www.swarmapp.com/c/l69dRnRfJl4"
Thu Aug 24 17:25:19 +0000 2017,Geruch fett Nougat. Schon wieder Eiskaffe-Bier. Wie Haselnuss-Au... (Bourganel au Nougabel) http://untp.beer/s/c495137297 #photo
Thu Aug 24 15:04:25 +0000 2017,Tanken und Bier #feierabend (@Shell Tankstelle Rottenburg in Rottenburg) https://www.swarmapp.com/c/5ziixBqbBAj
Thu Aug 24 10:49:28 +0000 2017,Drinking a Helles DOMHOF-Bier by Domhof Hausbrauerei @Domhof Hausbrauerei — http://untp.beer/s/c495091658
Thu Aug 24 06:22:57 +0000 2017,Der Fahrer vom Shuttlebus lässt Macarena laufen und gleich tanzt hier der ganze Bus. Wo ist mein Bier?!
Thu Aug 24 02:36:09 +0000 2017,"Schöne Gegend und sehr entspannend hier, darauf erstmal ein Bier (@Landhotel Klingerhof in Hösbach) "
Wed Aug 23 18:21:34 +0000 2017,Underground Köln #igniteband #konzert #altherren #bier #laut #undergroundköln #köln #ehrenfeld @… https://www.instagram.com/p/BYJWlTgDBNp/
Wed Aug 23 09:59:46 +0000 2017,"Bei Strand, Meeresrauschen und kaltem Bier, leide ich sehr gerne "
Tue Aug 22 19:50:44 +0000 2017,"Bier, schnitzel, pommes... heaven. @Woinemer Hausbrauerei https://www.instagram.com/p/BYG8I6ug8tc/"
Tue Aug 22 19:34:46 +0000 2017,Haha bier @Brauhaus zum Prinzen https://www.instagram.com/p/BYG6T29FkP-/
Tue Aug 22 13:08:33 +0000 2017,"Starkes, bitteres Bier – gebraut für CD Projekt RED und das Compu... (Northern Champion) http://untp.beer/s/c494538460 #photo"
Mon Aug 21 21:02:32 +0000 2017,Bier! Das Geschenk der Götter! @Weinheim Weststadt https://www.instagram.com/p/BYEfjbNg6Qc/
Mon Aug 21 16:14:49 +0000 2017,Biergarten im atelier_aichach #biergarten #aichach #schlemmen #essen #trinken #bier… https://www.instagram.com/p/BYD-ooVFeAd/
Mon Aug 21 12:17:33 +0000 2017,"Heute in Frankfurt. Wer am Abend Lust auf ein Bier hat, einfach schreien! (@Frankfurt (Main) Hauptbahnhof) https://www.swarmapp.com/c/50QMC9bnE3q"
Sat Aug 19 20:27:56 +0000 2017,Drinking a Keiler Weißbier Dunkel by Keiler Bier at @cafemuck — http://untp.beer/s/c493412082 #photo
Sat Aug 19 19:20:04 +0000 2017,Heute mal in Sachen Bier unterwegs. Qualitätsprüfung #bergmannbier #weinblattdo #istmirjaegal… https://www.instagram.com/p/BX_KPn6DB2w/
Fri Aug 18 21:08:29 +0000 2017,#bier #braugold Bier hat ein Verfallsdatum!? Das ist mir noch nie… https://www.instagram.com/p/BX8x2yVAJeeQcJFZaDhbq1uMn4a_EoppkTzIFM0/
Fri Aug 18 18:28:34 +0000 2017,#bier #jetztaberschnell (at @EDEKA_d in Rottenburg Am Neckar) https://www.swarmapp.com/c/lKWQrBC2iMq
Fri Aug 18 17:55:40 +0000 2017,Drinking a Keller-Bier 1402 by Strtebeker Braumanufaktur @Geist — http://untp.beer/s/c492629312
Fri Aug 18 15:44:01 +0000 2017,Versöhnungs-Sechs ?#sixpack #bier #hemsbier #beer @Hemsbier https://www.instagram.com/p/BX8MuLZDDXe/
Thu Aug 17 17:16:10 +0000 2017,"Hat gemundet. Uns gibt sehr gutes, selbstgebrautes Bier!"
Wed Aug 16 17:44:33 +0000 2017,"Danke daddebudde Gutes Bier #craftbier #camba @Bayern, Germany https://www.instagram.com/p/BX3Q7D7j3y0/"
Wed Aug 16 16:31:31 +0000 2017,Drinking a DBB Spezial by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c491909318 #photo
Wed Aug 16 15:36:21 +0000 2017,"spontanes feierabendgetränk mit @achimh (@Bergmann Bier Kiosk in Dortmund, Nordrhein-Westfalen) https://www.swarmapp.com/c/3BC38qSg9ki"
Wed Aug 16 10:49:19 +0000 2017,"w/ @wanderlusdennis (@Burger &amp; Bier in Würzburg, Bavaria) https://www.swarmapp.com/c/0mgV6UKEhKY"
Wed Aug 16 06:08:06 +0000 2017,".@martijn_kosters, #Uusikaupunki macht Bier: @oyvasp haben wir in TKU in der Kerttu baari getrunken: https://untappd.com/c/2718408 weißt du noch?"
Tue Aug 15 17:53:58 +0000 2017,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/2czEn5JTp4k"
Tue Aug 15 17:27:47 +0000 2017,"Endlich wieder ein mal richtiges #Bier in #Franken #kölsch #koelsch @Erlangen, Germany https://www.instagram.com/p/BX0qC8ggOl0/"
