Sat Sep 30 19:53:28 +0000 2017,Feierabend-Bier! #zirndorfer #landbier #helles #franken @Gasthof Pension Bub https://www.instagram.com/p/BZrXdHWDoS0/
Sat Sep 30 19:17:46 +0000 2017,#kirchweih #fürth 2017 #ogstochnis #dreischläge #bier #grüner @Michaelis Kirchweih https://www.instagram.com/p/BZrTXztgftK/
Sat Sep 30 17:29:06 +0000 2017,geiles Bier in nem geilen laden @mcgetraenke #köln. #craftbeercorner #bierbar #kölle… https://www.instagram.com/p/BZrG7hJFXC2/
Sat Sep 30 14:27:35 +0000 2017,"ich fange jetzt nicht die Aufzählung an, warum Bier besser als Freunde ist"
Sat Sep 30 12:30:38 +0000 2017,Aber das ist doch nicht mein Bier @Nordwestkurve Frankfurt Am Main https://www.instagram.com/p/BZqkx9KF7Ms/
Sat Sep 30 07:13:19 +0000 2017,#DINKELACKER #KELLERBIER #BIER #BEER #STUTTGART#BadenWürttemberg #20170921 @Brauereigaststätte… https://www.instagram.com/p/BZqAdpLDymR/
Fri Sep 29 16:50:27 +0000 2017,2 Bier. Nö. 
Thu Sep 28 18:08:54 +0000 2017,#beer #Bier #Altstadt @Schaukelstühlchen https://www.instagram.com/p/BZmB0e_AzS8/
Thu Sep 28 16:08:11 +0000 2017,Ich denke nicht. (Gesendet mit einem Bier in der Hand.)
Thu Sep 28 01:17:27 +0000 2017,#BRAUSTIL #FRANKFURTPALEALE #PALEALE #BIER #BEER #FRANKFURT #20170919 @BrauStil Frankfurt https://www.instagram.com/p/BZkOAZbD6k_/
Wed Sep 27 13:19:08 +0000 2017,Genieten #champagne #bier #koffie #duitsland #cochem @Beilstein an der Mosel https://www.instagram.com/p/BZi78dGjxHo/
Tue Sep 26 21:41:15 +0000 2017,"""Mein Vorbild is' der Kerl, der in sein Bier kotzt und weitertrinkt"" #alligatoah… https://www.instagram.com/p/BZhOGmohHpJ/"
Tue Sep 26 18:55:03 +0000 2017,Jetzt ist Anpfiff und da wird kein Wein getrunken. Da muss ein lecker Bier her #bvb09… https://www.instagram.com/p/BZg9lgKDxIk/
Tue Sep 26 15:41:47 +0000 2017,Das Bier ist da! Und diesesmal wird es international bei der Craft Beer Probe! Bier aus… https://www.instagram.com/p/BZgneRzAbqD/
Tue Sep 26 15:40:03 +0000 2017,Gleich Infoabend in der lokalen Grundschule. Ob ich kein Kissen und Bier mitbringen darf? #Schulreflexe
Sun Sep 24 20:29:24 +0000 2017,Hat gerade ein Foto gepostet @Maisel's Bier-Erlebnis-Welt https://www.instagram.com/p/BZb-zIOnKS6KauhlnUqzDGKcbIHXQS-fTBY-wo0/
Sun Sep 24 18:42:59 +0000 2017,#ozapftis Oktoberfest 2017 _______________________ #oktoberfest #freunde #bier #party… https://www.instagram.com/p/BZbynoOBhpL/
Sun Sep 24 15:58:57 +0000 2017,"Willste nen Bier trinken gehen, landeste auf der Wahlparty der Karlsruher Linken. "
Sun Sep 24 15:47:02 +0000 2017,*Bier reich'* Prost! 
Sun Sep 24 14:50:12 +0000 2017,*Kreuz anzünd' und Bier aufnach'* Das Leben ist schön! 
