Thu Nov 30 22:39:09 +0000 2017,Hamburger Biertour - die hanseatische Bier(ver)führung #Hamburger #Biertour #Bier #Expedition #Bierreich #Rathaus https://makis.world/ads/10345230450773110/i/Hamburger_Biertour_die_hanseatische_Bier_ver_f&#xFC;hrung/cases/658774
Thu Nov 30 22:36:09 +0000 2017,Drinking a Berliner Schnauze by @schoppebraeu @B's Bier Shack — http://untp.beer/s/c532952894 #photo
Thu Nov 30 21:59:29 +0000 2017,Nice hoppy fruity session ale - Drinking a PROTOTYP by Kehrwieder Kreativbrauerei @B's Bier Shack — http://untp.beer/s/c532940626 #photo
Thu Nov 30 18:22:04 +0000 2017,Nice big fruity hops and 0.4%! - Drinking a ü.NN IPA by Kehrwieder Kreativbrauerei @B's Bier Shack — http://untp.beer/s/c532879998 #photo
Thu Nov 30 11:19:57 +0000 2017,schreibmaschine von annodazumal - #fundstück #parkbräu #park #bier #schreibmaschine… https://www.instagram.com/p/BcHhLFkD72c/
Thu Nov 30 04:28:18 +0000 2017,"Kieztour Ahoi, St.Pauli bei Nacht - inkl. jede Menge Spaß, Bier &amp; Kurzer #Kieztour #Ahoi #Nacht #Menge #Spaß #Bier https://makis.world/ads/10345230450773098/i/Kieztour_Ahoi_St_Pauli_bei_Nacht_inkl_jede_Menge_Spa&#xDF;_Bier_Kurzer/cases/555165"
Wed Nov 29 20:28:27 +0000 2017,"Hefetrübes Gold mit durchschnittlicher Schaumkrone. Malzig, hefig, fruchtig, Orange, etwas Pfeffer, leicht bitter, süffig #cheerstobeers - Drinking a Herzsolo by @zoetler_bier @B's Bier Shack — http://untp.beer/s/c532673037 #photo"
Wed Nov 29 16:15:51 +0000 2017,Really nice spicy lager. A hoppiness that reminds of bohemian pilsners #CAMRGB #pretzels #cheerstobeers - Drinking an Altenmünster Urig Würzig by Allguer Brauhaus @B's Bier Shack — http://untp.beer/s/c532627974 #photo
Wed Nov 29 15:43:57 +0000 2017,Lots of caramel and sweet males IMO needs more bittering hops - Drinking a Braustüb'l India Pale Ale by Darmstdter Privatbrauerei @B's Bier Shack — http://untp.beer/s/c532625794 #photo
Tue Nov 28 13:44:45 +0000 2017,"Das Bier ist da!! Und damit es optimal bis 19.30 Uhr zur „CRAFT BEER PROBE“ temperiert ist,… https://www.instagram.com/p/BcCoJ8zgFDk/"
Tue Nov 28 08:12:43 +0000 2017,"Kieztour Ahoi, St.Pauli bei Nacht - inkl. jede Menge Spaß, Bier &amp; Kurzer #Kieztour #Ahoi #Nacht #Menge #Spaß #Bier https://makis.world/ads/10345230450773098/i/Kieztour_Ahoi_St_Pauli_bei_Nacht_inkl_jede_Menge_Spa&#xDF;_Bier_Kurzer/cases/484665"
Mon Nov 27 18:54:07 +0000 2017,Senf und Bier das rat ich dir. (@Restaurant Reusch in Düsseldorf) https://www.swarmapp.com/c/ibVS4TPBVA4
Mon Nov 27 07:45:57 +0000 2017,Hamburger Biertour - die hanseatische Bier(ver)führung #Hamburger #Biertour #Bier #Expedition #Bierreich #Rathaus https://makis.world/ads/10345230450773110/i/Hamburger_Biertour_die_hanseatische_Bier_ver_f&#xFC;hrung/cases/484716
Mon Nov 27 03:24:05 +0000 2017,"Kieztour Ahoi, St.Pauli bei Nacht - inkl. jede Menge Spaß, Bier &amp; Kurzer #Kieztour #Ahoi #Nacht #Menge #Spaß #Bier https://makis.world/ads/10345230450773098/i/Kieztour_Ahoi_St_Pauli_bei_Nacht_inkl_jede_Menge_Spa&#xDF;_Bier_Kurzer/cases/478050"
Sun Nov 26 20:18:16 +0000 2017,"Tja, der einzige Ort in Sodingen, an dem man sonntags um neun noch ein Bier bekommt (@Istanbul Café) https://www.swarmapp.com/c/1c0yRAVDFjB"
Sun Nov 26 19:45:33 +0000 2017,"Pale Ale. Trocken, nicht wahnsinnig spannend, aber ganz gut. - Drinking a Hanöversch Pale Ale by @brauhaus1 @Craft Bier Bar — http://untp.beer/s/c532021888"
Sun Nov 26 18:55:18 +0000 2017,Das schmeckt ja wirklich nach Spinat! Bisschen zu voll krass. Aber interessant. - Drinking a Mean & Green by @molenbier @Craft Bier Bar — http://untp.beer/s/c531997287
Sun Nov 26 12:48:14 +0000 2017,"Poah! Man merkt erst so richtig was für ein scheiß Bier #Kölsch ist, wenn man es nur noch sehr selten trinkt und ansonsten gute Biere. #Köln #Biertweet"
Sun Nov 26 10:45:53 +0000 2017,#untappd - Drinking a Grüner Vollbier Hell / Grünerla by Grner Bier @Grüner Brauhaus — 
Sun Nov 26 10:43:56 +0000 2017,"Wohlsein. Wenn man den inkludierten Prosecco nicht mag, muss man halt Bier trinken.… https://www.instagram.com/p/Bb9J37Jgz4P/"
Sun Nov 26 10:16:49 +0000 2017,#untappd - Drinking a Michaelis Kirchweihbier by Grner Bier @Grüner Brauhaus — http://untp.beer/s/c531899983 #photo
Sat Nov 25 16:48:02 +0000 2017, -Tasting @BIER MACHT SCHÖN https://www.instagram.com/p/Bb7OwE7nz7U/
Fri Nov 24 21:51:20 +0000 2017,"In Karlsruhe ein Bier trinken, wenn der KSC auswärts spielt, hat auch gut funktioniert. "
Fri Nov 24 20:03:04 +0000 2017,Immerhin gutes Bier. 
Fri Nov 24 00:48:36 +0000 2017,"Sehr spaßiger Abendausklang mit viel Bier, Pizza, @einfachnurzora, @jensherforth und noch zwei… https://www.instagram.com/p/Bb28J90Di8Z/"
Thu Nov 23 21:56:47 +0000 2017,Das Bier ist verdammt lecker und die vielen Umdrehungen merkt man ihm gar nicht an. - Drinking a Schönramer Imperial Stout by @schoenramer @Duisburg — http://untp.beer/s/c530383784
Thu Nov 23 20:55:48 +0000 2017,Da geht man nach langer Zeit mal wieder in Karlsruhe ein Bier trinken und Köln gewinnt.... What?!
Tue Nov 21 17:11:45 +0000 2017,Bier mit den Jungs und was zum Essen... #bier #hungry (@Brauhaus Barbarossa Schöllkrippen)
Mon Nov 20 19:57:12 +0000 2017,"Ein gepflegtes Bier.... (@Speicher Erfurt in Erfurt, Thüringen) https://www.swarmapp.com/c/iwx6r06yf9c"
Mon Nov 20 19:49:18 +0000 2017,"Stammtisch mit Bier und Burger (@Zur Waldesruh - Oedinger in Korschenbroich, North Rhine-Westphal) https://www.swarmapp.com/c/2R8GuqGXkcu"
Mon Nov 20 12:37:37 +0000 2017,"#bayern #deutschland #frauen #kleid #bier #kinder #glück #mutter @Wetzlar, Germany https://www.instagram.com/p/Bbt6G_7lSU4/"
Sun Nov 19 12:55:55 +0000 2017,"Lebkuchen, DB-Museum, Bier: erledigt -&gt; heim. (@ICE 626 -&gt; Frankfurt (Main) Hbf) #NowTräwelling #dbl http://traewelling.de"
Sun Nov 19 00:01:40 +0000 2017,"Wenn dich FaceID nicht mehr erkennt, hattest du vielleicht zu viel Bier ¯\_(ツ)_/¯"
Sat Nov 18 20:44:30 +0000 2017,"Sitze in der Bahn. Hab noch nix gegessen. 8 Stunden Workshop absolviert. Sorry. Aber daraus wird bestimmt ein neues Projekt, trinke nämlich grad Bier. :-*"
Sat Nov 18 18:02:08 +0000 2017,Drinking a Christkindlesmarkt Bier by Tucher Bru @Hodges Wohnung — http://untp.beer/s/c528328646
Sat Nov 18 11:16:50 +0000 2017,#untappd - Drinking an Auswanderer Bier 1849 by Brauhaus Faust-Miltenberger @Zeitungsente — http://untp.beer/s/c528213263 #photo
Fri Nov 17 21:17:17 +0000 2017,Grapefruitlimonade mit etwas Bier. Aber wenigstens ohne Zucker und damit doch sehr lecker. Super sauber. - Drinking a Lucky Jack Grapefruit Edition by @LervigBeer @Oststadt — http://untp.beer/s/c527872605 #photo
Fri Nov 17 21:13:09 +0000 2017,Erstes Bier im Brauhaus. Toller Laden. Gratuliere Tobias und Matthias #li #fbheroes #greatbeer… https://www.instagram.com/p/BbnGuzhjTPv/
Fri Nov 17 20:43:59 +0000 2017,"Ein Bier Bitte @Oedelsheim, Hessen, Germany https://www.instagram.com/p/BbnDZCrnrpg/"
Fri Nov 17 17:36:08 +0000 2017,kehrwieder_kreativbrauerei #ElbeGose #Gose #salt #cilantro #sour #beer #bier #prost #cheers… https://www.instagram.com/p/Bbmt5QGhCBY/
Fri Nov 17 13:58:07 +0000 2017,Angeblich ein Bier. 0.2. @Sürth https://www.instagram.com/p/BbmU8lrHp8m/
Thu Nov 16 19:56:18 +0000 2017,"So, und darauf ein Bier! #fump"
Thu Nov 16 17:23:01 +0000 2017,Drinking a Sünner Kölsch by Snner Brauerei und Brennerei @Bier-Esel — http://untp.beer/s/c527437724 #photo
Thu Nov 16 12:10:15 +0000 2017,T 2-64 Nr.78 von VEB Gotha Baujahr 1966 als Bier-Elektriche in der #strassenbahnenweltde http://toplist100.org/t/17d8c0
Wed Nov 15 20:49:14 +0000 2017,Drinking a Keller Bier by St. Georgen Bru Buttenheim @Paderborn — http://untp.beer/s/c527234521
Tue Nov 14 19:58:21 +0000 2017,#Feierabend #bier #beerporn @Wehlheider Kirmes https://www.instagram.com/p/BbfPvzWn0RV/
Tue Nov 14 18:10:31 +0000 2017,"Schnitzel und Bier. (@Grüner Brauhaus in Fürth, Bavaria) https://www.swarmapp.com/c/b9vMDLAocUD"
Tue Nov 14 15:58:29 +0000 2017,Flughafen-Sundowner-Bier-Romantik @Terminal 2 - Frankfurt Airport https://www.instagram.com/p/Bbe0Roll1p3/
Sun Nov 12 15:03:59 +0000 2017,Bratwurst-Bier und Schäuferle Kurs beim Dorfmetzger! Schön war es! #derdorfmetzger #bratwurst… https://www.instagram.com/p/BbZkb0ojhHi/
Sat Nov 11 22:43:29 +0000 2017,Ein Bier so gehaltvoll wie drei Schnitzel. - Drinking a Christkindlesmarkt Bier by Tucher Bru @Home — http://untp.beer/s/c526035647
Sat Nov 11 20:15:13 +0000 2017,Bei unserem nach #calw war auch Zeit für Essen und leckeres #bier #beer #schoenbuchbraeu @… https://www.instagram.com/p/BbXjVN4lgIe/
Sat Nov 11 19:41:32 +0000 2017,"#tvdinner #ofenkäse und #chips und #bier @Wehlheiden, Hessen, Germany https://www.instagram.com/p/BbXferhHeKb/"
Sat Nov 11 17:47:46 +0000 2017,Mister Carneval! @Ludwigs Bier und Brot https://www.instagram.com/p/BbXSc7wAI9H/
Sat Nov 11 14:02:27 +0000 2017,Wichtig: vor dem Bier immer erst eine Grundlage schaffen! 
Sat Nov 11 11:23:55 +0000 2017,#Repost @Kendra_TS ・・・ Mettbrötchen und Bier. Und dazu Wolle Petry! #stormtrooper #blackswan… https://www.instagram.com/p/BbWmht8F6kX/
Sat Nov 11 07:00:58 +0000 2017,Drinking an Allgäuer Büble Bier Festbier by Allguer Brauhaus @Bavaria Point — http://untp.beer/s/c525623971
Fri Nov 10 22:50:38 +0000 2017,Drinking an Allgäuer Büble Bier Urbayrisch Dunkel by Allguer Brauhaus @Bavaria Point — http://untp.beer/s/c525339841
Fri Nov 10 22:49:22 +0000 2017,Drinking an Allgäuer Büble Bier Edelweissbier by Allguer Brauhaus @Bavaria Point — http://untp.beer/s/c525338723
Fri Nov 10 10:21:46 +0000 2017,Da bitte nur abgelaufenes Bier auskippen 
Fri Nov 10 09:30:05 +0000 2017,"Meins „riecht“ gerade nach abgestandenem Bier. Wobei, warte, das ist der Pullover, nicht das Herz, sorry! "
Fri Nov 10 08:34:32 +0000 2017,"Ich habe untrügliche Kennzeichen für das in Kürze bevorstehende Ende der Welt gesehen. Wenn um 7:45 mehrere Rentner unabhängig voneinander kistenweise Bier aus dem Supermarkt schleifen (welches noch nicht einmal im Angebot ist),ist das doch ein Hinweis auf die #apokalypse,ODER?"
Thu Nov 09 15:50:25 +0000 2017,Was für ein Traum! johannschaeferbrauhaus Bei mir in der Straße wird bald Bier gebraut Was… https://www.instagram.com/p/BbR7b58BOuq/
Tue Nov 07 19:24:54 +0000 2017,Ein Weiss bier em PILLHOFER - Hotel und Altfränkisches Restaurant Pfefferstube https://www.instagram.com/p/BbNKY_OleYa/
Tue Nov 07 02:37:28 +0000 2017,Mary Roos & Wolfgang Trepper #Stadtallendorf #Mary #Roos #Wolfgang #Trepper #VolksmusikJeder #Fete #Touren #Bier https://makis.world/ads/10345230450710649/i/Mary_Roos_Wolfgang_Trepper/cases/165361
Mon Nov 06 19:52:04 +0000 2017,#untappd - Drinking an Allgäuer Büble Bier Edelbräu by Allguer Brauhaus @Hochheimer Markt — http://untp.beer/s/c524167629 #photo
Mon Nov 06 16:40:42 +0000 2017,"Heute mal ToGo (@Burger & Bier in Würzburg, Bavaria) https://www.swarmapp.com/c/klVUftkjgxp"
Sun Nov 05 19:07:43 +0000 2017,Oder durchgehend als Mondschein-Bier produziert und verkauft 
Sun Nov 05 10:06:49 +0000 2017,"Prost, NRW! Über große und kleine Brauereien in Nordrhein-Westfalen. https://m.youtube.com/watch?v=6E0dfowL67k #DokuamFreitag #WDR #Bier #craftbeer"
Sun Nov 05 00:13:36 +0000 2017,Neues Layout? - Drinking a Stark-Bier by Strtebeker Braumanufaktur @Heidewaldstadion — http://untp.beer/s/c523546233 #photo
Fri Nov 03 16:55:01 +0000 2017,Neues @LEGO_Group #Duplo Set: der #Masskrug. #beer #bier #prost #cheers. #beergasm #beerporn… https://www.instagram.com/p/BbCl1IahOXA/
Fri Nov 03 15:20:08 +0000 2017,Einer trinkt und einer singt #bier #oktoberfest #wiesbaden #ikkehüftgold #pizzabäcker #läuft… https://www.instagram.com/p/BbCbMp0l_Dg/
Fri Nov 03 15:04:01 +0000 2017,Barcamp Bier #bcpf17 - Drinking a Naturtrüb 1888 @Kreativzentrum Pforzheim - http://untp.beer/s/c522511010 #photo
Thu Nov 02 22:07:54 +0000 2017,"Zum Glück gibt es ab Donnerstag Nen Waffenschein bei Aldi Und wer weiß, vielleicht sind… https://www.instagram.com/p/BbAkyBiDIr2/"
Wed Nov 01 20:43:58 +0000 2017,"Zum Abendessen, bzw. eher für danach, habe ich mir heute dieses Bier gegönnt. Riegel… https://www.instagram.com/p/Ba92qu6HL63/"
Wed Nov 01 17:59:47 +0000 2017,"Mmmmmh. Bier (@Biergarten Rote Erde in Dortmund, Nordrhein-Westfalen) https://www.swarmapp.com/c/fl97N0680ZC"
