Sun Dec 31 23:57:51 +0000 2017,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1791035
Sun Dec 31 22:54:29 +0000 2017,#newyear #neujahr #silverster #71229 #partywithfriends #party #bier #beer #suicidem0nk @Blauer… https://www.instagram.com/p/BdYkyeQjylP/
Sun Dec 31 20:40:38 +0000 2017,Abendmotto: Bier statt Böller! 
Sun Dec 31 17:41:02 +0000 2017,"Frühschoppen-Brauhaustour Köln inkl. Bier, Kräuterschnaps &amp; Kölsche Happen #Frühschoppen_Brauhaustour #Köln #Bier https://makis.world/ads/10345230450773370/i/Fru_hschoppen_Brauhaustour_Ko_ln_inkl_Bier_Kra_uterschnaps_Ko_lsche_Happen/cases/1839148"
Sun Dec 31 16:23:57 +0000 2017,"2. Bier. Mal schauen, ob wir in Köln noch Mexikaner haben. #drei90stattböller"
Sat Dec 30 23:56:33 +0000 2017,Brauhaustour Köln: Spaßig und unvergesslich inkl. Bier &amp; Kräuterschnaps #Brauhaustour #Köln_ #Spaßig #Bier #Beim https://makis.world/ads/10345230450773373/i/Brauhaustour_Ko_ln_Spa&#xDF;ig_und_unvergesslich_inkl_Bier_Kra_uterschnaps/cases/1791034
Sat Dec 30 20:51:00 +0000 2017,"Riecht nach Kürbis. Schmeckt süß. Nach Kürbis. Kaum CO2. Kein Bier, aber Kürbissuppe. Ganz leckere Kürbissuppe. - Drinking an Amstel 0.0 by @amstelbier_nl @Oststadt — http://untp.beer/s/c545423822 #photo"
Sat Dec 30 19:53:04 +0000 2017,"Dunkelfruchtig. Leicht und sehr lecker. Alk kommt raus. Bisschen brettig porstig? Aber wenig. Gar nicht sauer, kaum bitter. Interessant. - Drinking a Tell Ol' Pharao by Eppelein & Friends Craft Bier Manufaktur Nrnberg @Oststadt — http://untp.beer/s/c545376552 #photo"
Sat Dec 30 18:50:50 +0000 2017,Dortmunder Bier - Drinking a Brinkhoff's No. 1 by Dortmunder Actien-Brauerei @Gretels Werke — http://untp.beer/s/c545327752 #photo
Sat Dec 30 17:44:33 +0000 2017,Gewöhnungsbedürftigt dieses Bier... #kölsch #köln #nippes #silvester #generalprobe @Em Golde… https://www.instagram.com/p/BdVdCW7hQbi/
Sat Dec 30 14:13:14 +0000 2017,Ein Bier wegen dem Adler und eines weil es in London so schön war. Nennen Sie mich Bierfachmann 
Sat Dec 30 07:31:40 +0000 2017,"Frühschoppen-Brauhaustour Köln inkl. Bier, Kräuterschnaps &amp; Kölsche Happen #Frühschoppen_Brauhaustour #Köln #Bier https://makis.world/ads/10345230450773370/i/Fru_hschoppen_Brauhaustour_Ko_ln_inkl_Bier_Kra_uterschnaps_Ko_lsche_Happen/cases/1839147"
