Sat Mar 31 20:02:28 +0000 2018,Bier und einen sitzen.
Sat Mar 31 18:55:46 +0000 2018,Die Vorfreude auf dieses Bier ist unglaublich groß. 
Sat Mar 31 18:47:14 +0000 2018,Ich weiß nicht ob #Weber und #Gauss das Bier gemocht hätten. #berlinerpilsner #laufen #training… https://www.instagram.com/p/Bg_4jKUHSD8/
Sat Mar 31 16:12:11 +0000 2018,Mal irisches Bier trinken - Drinking a Kilkenny by @GuinnessIreland @meine Eltern — http://untp.beer/s/c579574989 #photo
Fri Mar 30 18:25:49 +0000 2018,"Reichhaltiges bier en Frankfurt, Germany https://www.instagram.com/p/Bg9RTUIjWmp/"
Fri Mar 30 15:54:32 +0000 2018,Ein würdiger Moment um das erste Bier nach drei Monaten zu trinken... Osterfeueraufbau in… https://www.instagram.com/p/Bg8__auHn1V/
Fri Mar 30 13:26:23 +0000 2018,"Bestes Bier ever (@Schlenkerla in Bamberg, Bayern) "
Fri Mar 30 11:11:37 +0000 2018,Steins of Alt bier! #altbier #dusseldorf @Louisiana Düsseldorf https://www.instagram.com/p/Bg8fm-vDNYd0PyxLRT2X1ePyJXRApfRqHn-CX00/
Thu Mar 29 18:01:20 +0000 2018,"#Feierabend und #Bier - heute läuft es @Frankfurt, Germany https://www.instagram.com/p/Bg6ps06hM5W/"
Thu Mar 29 17:00:38 +0000 2018,Ich habe ein wildes Bier zwischen meinen Beinen... - Drinking a Füchschen Alt by Brauerei im Fchschen @Oberhausen Hauptbahnhof — http://untp.beer/s/c578505367 #photo
Wed Mar 28 16:51:06 +0000 2018,"Ja, das Bier ist grün. #stubenquiz #dichterunddenker @Union am Brommyplatz https://www.instagram.com/p/Bg383jIBDJO/"
Tue Mar 27 18:33:43 +0000 2018,"Kein Alkohol und trotzdem spüre ich, wie das Bier zur Verblödung beiträgt. #Esokack Ansonsten Malzbier mit kaum süß und fett bitter hopfig. - Drinking a Naked by @BRLObeer @Oststadt —"
Sun Mar 25 17:42:47 +0000 2018,kein bier vor vier #olafandelsa #sunday #wöhrderwiese @Nuremberg https://www.instagram.com/p/BgwUUf2F582/
Sat Mar 24 11:34:20 +0000 2018,#Bier #Bratwurst #Finishermedaille und #Sonne! So kanns bleiben; wehe es wird wieder kalt!… https://www.instagram.com/p/BgtFcqQl3i1/
Fri Mar 23 21:47:08 +0000 2018,Noch ein letztes Mal Buffet und Bier Flatrate (@Dschingis Kahn in Telgte) https://www.swarmapp.com/c/lJeuzabJUOU
Fri Mar 23 20:32:04 +0000 2018,"Die Sicherheitslage im Bahnhofsviertel abends ist noch nicht so bedrohlich, als dass eine Menschenmasse beim Yok Yok dem Bier im Weg steht. Realität vs besorgte mediale Aufmerksamkeit #meinfrankfurt"
Fri Mar 23 11:01:53 +0000 2018,"Bereit für Bier, Spaß &amp; Liebe #wochenende #freitag #redhairdontcare #punkrock #headshot… https://www.instagram.com/p/Bgqc8H6g_ks/"
Thu Mar 22 20:48:34 +0000 2018,Gestern fand wieder ein Battle Bier vs Wein statt Diesmal in der KölschKultur statt. Es war ein… https://www.instagram.com/p/Bgo7SBhAtdd/
Thu Mar 22 18:37:05 +0000 2018,Heute Filmdreh mit Biker und etwas Bier #werbeagentur #osnabrück #spot #filmmaking @TRASH https://www.instagram.com/p/BgosO8CjdSE/
Wed Mar 21 21:33:13 +0000 2018,"Schnee + Mexikanisches Bier PERFEKT KOMBINATION @Ansbach, Germany https://www.instagram.com/p/Bgmbl__l_EBkmE_iFs_Sg5cTZ89itgh3JY7sH80/"
Wed Mar 21 17:47:57 +0000 2018,Gemütlich chillen und sehr viel quatschen mit Tessa #Bier #Trinken #Bar #Limonade #SevenUp… https://www.instagram.com/p/BgmBxt3j2ex/
Tue Mar 20 18:56:05 +0000 2018,ALOHA! Wir haben endlich wieder Bier aus Hawaii und das am Bierdiplomdienstag!!! Genießt das… https://www.instagram.com/p/Bgjk0DkD1wY/
Sun Mar 18 17:05:55 +0000 2018,#steckerlfisch #Bier #Maß @Gögginger Frühlingsfest https://www.instagram.com/p/BgeOnv3DzCuDryk6UXbweMZCKBRm5u4HbBcGEA0/
Sun Mar 18 16:09:45 +0000 2018,#untappd - Drinking an Export Dunkel by Bier-Hannes Brauerei zur Mainkur @Apfelweinwirtschaft Dauth-Schneider — http://untp.beer/s/c574572210 #photo
Sun Mar 18 15:47:20 +0000 2018,#untappd - Drinking a Zwickel Pils by Bier-Hannes Brauerei zur Mainkur @Apfelweinwirtschaft Dauth-Schneider — http://untp.beer/s/c574565353
Sat Mar 17 21:15:04 +0000 2018,- Dieser Post enthält Werbung - Die letzte Flasche Bier aus dem Adventskalender meiner Frau -… https://www.instagram.com/p/BgcGVmAFqrY/
Sat Mar 17 17:13:52 +0000 2018,Lokales Bier austesten @Z-Bau https://www.instagram.com/p/BgbqvL4AAqu/
Sat Mar 17 09:55:06 +0000 2018,"Wundern Sie sich nicht, falls Ihnen heute grünes Bier serviert wird. Am heutigen St. Patrick's… https://www.instagram.com/p/Bga4hewhb6K/"
Fri Mar 16 11:32:38 +0000 2018,Drinking a Hausbrauerbier by Kommunbrauhaus Selach @Bier-Wirtschaft Reinwand — http://untp.beer/s/c573141839
Fri Mar 16 08:53:17 +0000 2018," Hast Du keinen Kühlschrank? Oder ist da nur Bier und Suçuk drin, wie bei mir // @KoelnSPD"
Thu Mar 15 21:26:06 +0000 2018,Drinking a Grüner Vollbier Hell / Grünerla by Grner Bier @Hersbruck — http://untp.beer/s/c572920139
Thu Mar 15 20:45:38 +0000 2018,Drinking a Grüner Vollbier Hell / Grünerla by Grner Bier @Hersbruck — http://untp.beer/s/c572901342
Thu Mar 15 18:04:28 +0000 2018,"Stammkneipe: wo dir sofort und ohne zu fragen ein Bier gezapft wird, wenn du eintrittst. (@Pinte in Bonn) https://www.swarmapp.com/c/hOMHpfcLXRX"
Thu Mar 15 00:00:32 +0000 2018,"Feierabend Bier , dann ins Bett und später geht's nach Hause (@Regio Aushilfen Home in Heilbronn, Baden-Württemberg) "
Wed Mar 14 20:20:14 +0000 2018,All You can eat ... Lecker. Aber das bier kann man vergessen: warm und ohne Kohlensäure (@Le Feu in Warendorf) https://www.swarmapp.com/c/4k6wLjRc1OJ
Wed Mar 14 17:46:35 +0000 2018,ANGRILLEN!!!! #grillen #bier #fleischkommtgleich #lecker @Nußbach https://www.instagram.com/p/BgUAGJSjkAfwgEI3iDrxNQWDKmz17YhHHZKXyg0/
Wed Mar 14 15:54:52 +0000 2018,"Wer braucht schon einen #schniblo-Tag, wenn man auch #Becks haben kann. #düsseldorf #Beer #Bier… https://www.instagram.com/p/BgTzT0eDbou/"
Tue Mar 13 21:40:40 +0000 2018,Bier @Alte Liebe https://www.instagram.com/p/BgR2FaxFtuC/
Mon Mar 12 17:44:37 +0000 2018,"Auf ein Bier (@PENNY in Warendorf, Nordrhein-Westfalen) https://www.swarmapp.com/c/1SGrOTJANGB"
Mon Mar 12 11:22:25 +0000 2018,Flughafen- und Urlaubsbeginn-Bier. #biergegenflugangst #airportstuttgart #viennacalling #beer… https://www.instagram.com/p/BgOKiTWjxVc/
Sun Mar 11 17:26:01 +0000 2018,Drinking an Allgäuer Büble Bier Bayrisch Hell by Allguer Brauhaus @L'Osteria — http://untp.beer/s/c571752796 #photo
Sun Mar 11 16:45:55 +0000 2018,"„Und unter den Gläsern steht geschrieben, welches Bier ihr werdet lieben!“ @Union Brauerei Bremen https://www.instagram.com/p/BgMKxJrDHwd/"
Sun Mar 11 13:24:01 +0000 2018,Heute mal Wein statt Bier #Weinprobe @Steinhof Duisburg https://www.instagram.com/p/BgLzqMID39M/
Sat Mar 10 20:52:03 +0000 2018,"#astra #urtyp #taschenfass #bier #dose @Oberhausen, Germany https://www.instagram.com/p/BgKCJE2DDFy-B-hO0w28M_ekBgnEynQ3gTQToA0/"
