Sat Jun 30 18:45:58 +0000 2018,"#garten #wasser #bier #bitburger @Oberhausen, Germany https://www.instagram.com/p/BkqMrQGnD9tML_CjQseq_PbAky7vliaRelVIwE0/?utm_source=ig_twitter_share&amp;igshid=85ghowndv00c"
Sat Jun 30 18:45:55 +0000 2018,Ein lecker Diesel (Cola/Bier) Prost #ontour #motorradtour #hotel #prost #ausklang #schin #relaxed #entspannt @Hotel Halberstädter Hof https://www.instagram.com/p/BkqMu0-gBGI/?utm_source=ig_twitter_share&amp;igshid=7v7mawukngae
Sat Jun 30 18:17:18 +0000 2018,"Klar verdientes Bier! (@Biergarten @Lister_Turm in Hannover, Niedersachsen)"
Sat Jun 30 15:18:51 +0000 2018,Bier muss man sich verdienen. Ach Quatsch. Ich laufe gerne und trinke auch gerne Bier. Man muss sich nicht immer selbst was einreden. · #swipeleftlikeontinder Die Ruhe vor dem Sturm:… https://www.instagram.com/p/Bkp1CTjA2Mm/?utm_source=ig_twitter_share&amp;igshid=6c1u2tex93e8
Sat Jun 30 08:35:54 +0000 2018,"Bier brauen (@Obst- u. Gartenbauverein in Merchweiler, Saarland) https://www.swarmapp.com/c/6KK8YbdvPmY"
Sat Jun 30 07:02:55 +0000 2018,Hiermit nominiere ich @IT_Heini für die Trink-ein-Bier-mit-Benni-beim-Vainstream-Challenge.
Fri Jun 29 20:52:00 +0000 2018,Wenn ich sage ich habe das beste team dann meine ich das auch so!!! Gemeinsam genießen wir das Bierfest #academiabraunschweig #gfteam #bier @Platz der Deutschen Einheit https://www.instagram.com/p/Bkn2XeRFdFu/?utm_source=ig_twitter_share&amp;igshid=14y2kvid2yt1t
Fri Jun 29 20:15:29 +0000 2018,Lecker Woiza #urlaub #woiza #weizen #hefe #weißbier #Bier #weizenbier #beer #wheatbeer #summer #cerveza #pivo #brew #reutlingen #schwaben #summernights #relax #25 @Reutlingen https://www.instagram.com/p/Bknx9x4Bzk-/?utm_source=ig_twitter_share&amp;igshid=pc77oopgakq7
Fri Jun 29 18:38:47 +0000 2018,"Die Buddies und ich gehen jetzt Steil #rockandroll #fahrstuhlparty und morgen heißt es dann #Moshpit , #Bier , #vainstream2018 und gute alte core Musik und als i tüpfel #Beatsteaks… https://www.instagram.com/p/Bknm5YUhVth/?utm_source=ig_twitter_share&amp;igshid=10zel45f97dho"
Fri Jun 29 17:37:40 +0000 2018,Altrr -Lappen-Bier. Bäh. Hinten raus komischer Muff. - Drinking a Pils by Sudenburger Brauhaus @Fußgängerzone — http://untp.beer/s/c617666318 #photo
Fri Jun 29 17:28:02 +0000 2018,Bier oder Spezi? @Eichstätt https://www.instagram.com/p/BknfBGXHUpW/?utm_source=ig_twitter_share&amp;igshid=edu6c515kzlq
Fri Jun 29 17:10:45 +0000 2018,"☆☆ Kann Spuren von Werbung enthalten ☆☆ #Leffe #schwarzrotgold #himbeerbier #Dark #Bier #Bierfest #beer @Braunschweig, Germany https://www.instagram.com/p/BkndDGglrHI/?utm_source=ig_twitter_share&amp;igshid=110in7kob6cru"
Fri Jun 29 15:56:35 +0000 2018,"☆☆ Kann Spuren von Werbung enthalten ☆☆ #Bier #beer #Bierfest #Kirschbier #nomtastisches @Braunschweig, Germany https://www.instagram.com/p/BknUj5-lcCU/?utm_source=ig_twitter_share&amp;igshid=6e1ot03dr43w"
Fri Jun 29 15:32:45 +0000 2018,"Die Sommer ist wieder da, die Sonne scheint, Das Bier ist kalt auf den Punkt, ist endlich Freitag und was willst du mehr?! Ein Outdoor shooting und ist fast wie Urlaub! Und alles immer mit… https://www.instagram.com/p/BknR1BBBDca/?utm_source=ig_twitter_share&amp;igshid=jtuu1gas1z16"
Fri Jun 29 14:20:55 +0000 2018,Ein cooles Bier ist gut für die Seele. #citylifestyle #sonne #chillen #rockandrollbaby @Temple Bar https://www.instagram.com/p/BknJnWzhJ1-/?utm_source=ig_twitter_share&amp;igshid=s7sr3s5tq8jw
Fri Jun 29 10:38:35 +0000 2018,Heinz-Werner #Lenz bringt uns schon mal das erste #Hachenburger #Bier zum #TruckGP #Nürburgring #DUF #TruckGrandPrix @Nürburgring https://www.instagram.com/p/BkmwKv6BGBE/?utm_source=ig_twitter_share&amp;igshid=wbdimjiwuqim
Thu Jun 28 19:12:25 +0000 2018,Abends am Rhein:) #nature_perfection #evening #sun #sunset #friends #natur #nature #naturelovers #music #musik #beer #bier @Parkhotel Andernach https://www.instagram.com/p/BklGLjDnrkJ/?utm_source=ig_twitter_share&amp;igshid=rzkwqz1mb9wc
Thu Jun 28 19:06:00 +0000 2018,"Mochte den Club schon beim ersten Mal nicht als ich hier war. Nichtmal vernünftiges Bier gibts hier. (@Nachtleben for Lionheart in Frankfurt am Main, Hessen) https://www.swarmapp.com/c/e96RoK2lgFo"
Thu Jun 28 18:58:36 +0000 2018,Meins! - Drinking an Allgäuer Büble Bier Edelweissbier by Allguer Brauhaus @Wilma Wunder — http://untp.beer/s/c617289231 #photo
Thu Jun 28 15:36:01 +0000 2018,#fixie muss man immer genau betrachten #bier #fixedgear #trackbike #bicycle #cycling #roadbike #cyclist #cyclingphotos #velo #cyclinglife #bici #ciclismo #cyclingshots #stravacycling… https://www.instagram.com/p/BkktY--hxNS/?utm_source=ig_twitter_share&amp;igshid=fuqqi2x14g1b
Thu Jun 28 13:07:35 +0000 2018,Drinking an Allgäuer Büble Bier Edelbräu by Allguer Brauhaus @Campingplatz Kinzigtal — http://untp.beer/s/c617206136 #photo
Wed Jun 27 22:22:51 +0000 2018,„Das schlimmste ist … wenn das Bier alle ist!“ - jetzt gibt es ein Lied von meinem Lieblings-OB-Kandidaten Nr. 2 @WoelfiWendland…
Wed Jun 27 21:07:47 +0000 2018,"Bier #2 mit meinem Schwager janemanno Top! Ungeplante Treffen sind die besten Treffen @Baden-Württemberg, Germany https://www.instagram.com/p/BkiuZ1WnEIF/?utm_source=ig_twitter_share&amp;igshid=vk7nkcx09nsa"
Wed Jun 27 14:40:25 +0000 2018,Ist es zu früh um sich ein Bier zu öffnen?
Wed Jun 27 14:16:16 +0000 2018,Bier - Drinking a Bitburger Premium Pils by Bitburger Braugruppe @Camping Oberwesel — http://untp.beer/s/c616885788 #photo
Wed Jun 27 13:08:43 +0000 2018,Wie kann man nur von einem Bier so besoffen sein wie ich es grade bin? 
Wed Jun 27 12:52:07 +0000 2018,Da wo Milch und Honig fließen. #CraftBeer #LoveBremen #BremerMoment #paleale @Craft Bier Bar Bremen https://www.instagram.com/p/BkgRPJ0gUbu/?utm_source=ig_twitter_share&amp;igshid=1hs5dhpa1pvdn
Wed Jun 27 12:20:28 +0000 2018,Soll ich gleich nach Erlangen schon mal mit dem Bier anfangen? Ich glaube ja.
Wed Jun 27 10:12:34 +0000 2018,"A good #beer and #mettbrötchen, is happiness. Mett is raw minced pork #mett #drinks #bier #germany #germany #food #foodie #pork @Düsseldorf Hauptbahnhof https://www.instagram.com/p/BkhjmTfBx8Y/?utm_source=ig_twitter_share&amp;igshid=y61vavj3eega"
Tue Jun 26 19:22:37 +0000 2018,"""Auf das euer Radler zu Bier werde"" ""Eure Sünden sind vergeben, also zieht los und begeht ein paar neue"" #southside #beerjesus #hehasrisen #nooffense #ibelieve @Southside Festival https://www.instagram.com/p/Bkf9wlBHPHS/?utm_source=ig_twitter_share&amp;igshid=6t8ml3p5t6nc"
