Tue Jul 31 19:06:42 +0000 2018,Bier-Pong. Der ideale Sport bei diesem Wetter. Wegen Trinken und so. 
Tue Jul 31 16:56:39 +0000 2018,"Ik wilde eigenlijk geen bier drinken vandaag, maar deze is voor STAP - Drinking a König Ludwig Weissbier Hell / Royal Bavarian Hefe-Weizen by König Ludwig Schlossbrauerei Kaltenberg at @roompot — http://untp.beer/s/c632413594"
Tue Jul 31 14:57:59 +0000 2018,"Sich verabschiedene Kollegen, sie geben so viel zurück. Kaltes Bier zum Beispiel."
Tue Jul 31 13:43:21 +0000 2018,Ich kann doch auf der Arbeit kein Bier trinken! 
Mon Jul 30 18:38:31 +0000 2018,"Bevor es morgen wieder in den Flieger geht, heute nochmal ein Weizen trinken! #paulaner #weißbier #naturtrüb #bier #eiskalt @Mönchengladbach https://www.instagram.com/p/Bl3bvQdgP6C/?utm_source=ig_twitter_share&amp;igshid=1oznf16mf29kh"
Mon Jul 30 18:06:35 +0000 2018,"#BloggertourDN #Annakirmes Zwischenstopp beim Lentzens Bier Karussell und einer Cola. @Düren, Germany https://www.instagram.com/p/Bl3YFF4hw29/?utm_source=ig_twitter_share&amp;igshid=dj4c98i3bmy1"
Mon Jul 30 18:01:19 +0000 2018,"Bier harmoniert mit Gurke , wer hätte das gedacht? #prost #craftbeer - Drinking a Killer Cucumber Ale by @SteamworksBeer @Tetz —"
Mon Jul 30 12:34:04 +0000 2018,Das Bier der Brauerei Flügge hat 'nen Vogel http://www.genussmagazin-frankfurt.de/?src=gastro_news_einzel&amp;id=32392&amp;from=feed
Mon Jul 30 10:45:13 +0000 2018,"Auch im Memo kostet die Kugel Eis nun 1,10 EUR. #servicetweet Preissteigerung um 10%! Nicht nur Pommes und Bier werden teurer. Ein höchst dramatischer Sommer."
Sun Jul 29 21:13:17 +0000 2018,"Das Gold von Karlskrone hatten wir früher oft da, das fand ich nicht schlecht. Aber ich weiß, für Bier muss man mindestens 14 Euro den Kasten hinblättern, sonst darf es nicht schmecken."
Sun Jul 29 10:40:28 +0000 2018,"Nach der heißen #Woche hilft nur eins, ordentlich #kasalla mit Freunden auf der #bierbörse in #Bonn #wochenende #getoutside #Rhein #rheinaue #Rhine #beer #bier #freunde #friends… https://www.instagram.com/p/Bl0AO6cFYnG/?utm_source=ig_twitter_share&amp;igshid=1aoirxno0zgsu"
Sat Jul 28 20:11:38 +0000 2018,"#Bier #budweiser #budvar #pivo #beer #bierbörse @Bierbörse Rheinaue, Bonn https://www.instagram.com/p/BlyczKRhv0D/?utm_source=ig_twitter_share&amp;igshid=g22xx5ne1ih3"
Sat Jul 28 19:00:25 +0000 2018,"Grill, Bier, Pool. #Sommerabend #qualitytime @Waldhausen (Lorch) https://www.instagram.com/p/BlyPHD9hmsP/?utm_source=ig_twitter_share&amp;igshid=hlmhn1617ug7"
Sat Jul 28 17:36:53 +0000 2018,Calw. - Drinking an Allgäuer Büble Bier Edelbräu by Allgäuer Brauhaus @Villa Wagner — http://untp.beer/s/c630993352
Sat Jul 28 11:45:23 +0000 2018,"I'm at Sünner Bier &amp; Kornhaus in Cologne, North Rhine-Westphalia https://www.swarmapp.com/c/iKcsc9yNMeo"
Sat Jul 28 09:34:36 +0000 2018,Mit Wasser meinst du Bier oder?
Fri Jul 27 20:12:02 +0000 2018,"Tibor trinkt Alkohol. Ein seltener Moment, der mit einem Bier gefeiert werden muss! @Gully https://www.instagram.com/p/Blv4DVOB8hx/?utm_source=ig_twitter_share&amp;igshid=hzzlnqzuzsy1"
Fri Jul 27 16:33:40 +0000 2018,Da steht gleich mein #Bier #Saarbrücken #saaebriggedugeila @St. Johanner Markt https://www.instagram.com/p/BlvfD3NhUcQ/?utm_source=ig_twitter_share&amp;igshid=v9lgpjs2reyw
Fri Jul 27 12:04:22 +0000 2018,Smörkola - Drinking a Keller Bier by St. Georgen Bräu Buttenheim @St. Georgen Bräu-Keller — http://untp.beer/s/c630254626
Thu Jul 26 17:05:48 +0000 2018,#tbt Einer Bier kalt! em Hannenfass https://www.instagram.com/p/Bls98cdHvwQuzSBWbwWaiuqNvgNZf9IKO2-gGw0/?utm_source=ig_twitter_share&amp;igshid=1fnf5rdk3yn2z
Tue Jul 24 16:13:37 +0000 2018,Bier in ner Tasse? Soweit bin ich noch nicht. Dann eben klassisch aus der Pulle. Cheers #alpirsbacher #schwarzwald #michel #schwarzwaelder #helles #bieralemanne… https://www.instagram.com/p/BlnuYIJDoii/?utm_source=ig_twitter_share&amp;igshid=12i5ppuxqu6c1
Tue Jul 24 13:44:07 +0000 2018,1l Bier In einer Stunde!?! Da stirbt man bei dem Wetter doch an Dehydration! 
Mon Jul 23 09:18:54 +0000 2018,"€3,50 für ein 0,4er Bier bzw Cola"
Sun Jul 22 21:58:10 +0000 2018,Bei diesem Bier kommt mir die Hefe etwas zu sehr durch. - Drinking a Pazifikus Pale by Höppners @Duisburg — http://untp.beer/s/c628721415
Sun Jul 22 14:34:54 +0000 2018,"Wenn das Bier 2€ kostet und ein Stück Kuchen 1,25€, dann weißt du wo die Welt in Ordnung ist. #Fischerfest #Anglerfest #Weiherfest . . . . . #woodworking #woodshop #woodshed #werkstatt… https://www.instagram.com/p/BliZfuegYum/?utm_source=ig_twitter_share&amp;igshid=1x35cmc4ajo9u"
Sun Jul 22 12:01:03 +0000 2018,Ratskeller vor dem Spiel ist schon für den Ligabetrieb bereit. Bier und Essen wie gewohnt
Sat Jul 21 16:32:01 +0000 2018,Erfrischend - Leicht #schmucker #hefeweizen #alkoholfrei #odenwälder #birkenau #sportplatz #tsvbirkenau #bier #beer #hefeweizenbeer #hefeweissbier #weizenbier #alkoholfreiesbier @… https://www.instagram.com/p/BlgCGC4FTNy/?utm_source=ig_twitter_share&amp;igshid=1j2dkac1z51f
Sat Jul 21 13:19:14 +0000 2018,Mal gucken was das gibt ;) #totehosen #hosenhell #bier #wobleibtunseraltbier @Smoker Area - Friedewalde https://www.instagram.com/p/BlfsColB_yV/?utm_source=ig_twitter_share&amp;igshid=d4c5aho34jr3
Sat Jul 21 08:27:16 +0000 2018,"Früher war er nur der Arsch zum Bier holen. Würde sagen, steile Karriere "
Fri Jul 20 18:40:33 +0000 2018,Drinking an Allgäuer Büble Bier Edelweissbier by Allgäuer Brauhaus @Jagdhaus Wiedehage — http://untp.beer/s/c627228889
Fri Jul 20 17:19:34 +0000 2018,Cheatday mit einem @kurtkursiv - mal sehen wie es mir morgen geht aber alle paar Wochen darf mal eins sein. :) hat sich gelohnt! 69 IBU und trotzdem feine Citrusnoten! (#Becks #bier hat 28… https://www.instagram.com/p/BldiuizDdTI/?utm_source=ig_twitter_share&amp;igshid=93fpceh5ahkb
Fri Jul 20 14:05:59 +0000 2018,"Nach dem Aufruf von der moritzfiegebrauerei, sorge ich nun für Leergut. #Bier #Zwickel #MoritzFiege #Bochum #Ruhrgebiet #Nrw #Sommer #Warm #Lecker #Durst #Urlaub @Wattenscheid https://www.instagram.com/p/BldMmE5D8xT/?utm_source=ig_twitter_share&amp;igshid=1h0n6j4jno4yw"
Thu Jul 19 19:20:57 +0000 2018,#untappd - Drinking a Weissbier by Eulchen Bier @Eulchen Biergarten — http://untp.beer/s/c626808265
Thu Jul 19 19:18:40 +0000 2018,Irgendwie ganz geile teeige Rhabarber-Limo mit nettem Bier. Deutlich weniger problematisch als Kindl Rhabarber-Weisse. - Drinking a Gurken Radler Rhabarber by Kirchers Brauhaus @Oststadt — http://untp.beer/s/c626807034
Thu Jul 19 18:52:47 +0000 2018,#untappd - Drinking a Märzen by Eulchen Bier @Eulchen Biergarten — http://untp.beer/s/c626795530
Thu Jul 19 18:34:49 +0000 2018,#untappd - Drinking a Klingelbeutel-Pils by Eulchen Bier @Eulchen Biergarten — http://untp.beer/s/c626787696
Thu Jul 19 18:11:13 +0000 2018,#untappd - Drinking a Helles by Eulchen Bier @Eulchen Biergarten — http://untp.beer/s/c626777929
Thu Jul 19 17:56:40 +0000 2018,Kiliani Volksfest Würzburg 2018. . . . . . . . . #kiliani #würzburg #bavaria #bayern #franken #beer #bier #unterfranken #love #photooftheday #amazing #smile #like4like #look #instalike… https://www.instagram.com/p/BlbCMj2jjeI/?utm_source=ig_twitter_share&amp;igshid=15ze9d1umir79
Thu Jul 19 17:06:09 +0000 2018,"Auf zum Stadtfest Duisburg, noch ein wenig Musik und ein Bier (?) zum Abend (@Striepweg) https://www.swarmapp.com/c/kA42K2SNQxb"
Wed Jul 18 16:54:49 +0000 2018,"Kann Mal machen - #Kärrners #Bier @Frankfurt, Germany https://www.instagram.com/p/BlYWU5YBsqj/?utm_source=ig_twitter_share&amp;igshid=d272sr0jal5m"
Tue Jul 17 19:08:33 +0000 2018,"Kaum bin ich wieder im Münsterland, bekomme ich Bier-Durst "
Tue Jul 17 17:12:51 +0000 2018,Alemannia braut jetzt Bier Ein klassisches Lager #alemannia #aachen #lager #kaiserstaedter #bierchen #bier #bieralemanne #oecherimlaendle #rheinlaenderimlaendle… https://www.instagram.com/p/BlVzmJtjl-a/?utm_source=ig_twitter_share&amp;igshid=1ci6dgnqiuj3m
Tue Jul 17 14:58:39 +0000 2018,"Lennet, ein Öcher Original. Er würde dieses Bier sicher auch sehr gerne trinken. Cheers in die alte Heimat. #lennet #kann #lennetkann #alleslässig #hopfen #malz #durstlöscher #aachen… https://www.instagram.com/p/BlVkPfADVGN/?utm_source=ig_twitter_share&amp;igshid=12livenkbs6e0"
Mon Jul 16 21:39:11 +0000 2018,Durchschnitts-Zwickl - Drinking a Spießbraten Bier by Sudmeister @Duisburg — http://untp.beer/s/c625907273
Sun Jul 15 17:54:35 +0000 2018,Drinking an Allgäuer Büble Bier Bayrisch Hell by Allgäuer Brauhaus @hugo &amp; tilda — http://untp.beer/s/c625458605
Sun Jul 15 17:02:36 +0000 2018,Drinking an Allgäuer Büble Bier Bayrisch Hell by Allgäuer Brauhaus @Hodges Wohnung — http://untp.beer/s/c625428852
Sun Jul 15 09:23:48 +0000 2018,"#sostelltmansichdenurlaubvor #führerscheinweg #pressterror #bier #tanke @Thüringen, Germany https://www.instagram.com/p/BlP0U1gg70i/?utm_source=ig_twitter_share&amp;igshid=1uw6sflbbmyi1"
Sun Jul 15 08:44:48 +0000 2018,"""Ich will noch nicht gehen. Ich finds hier ziemlich schön."" Meine Shows dürfen jetzt Bier trinken und zum 16. Geburtstag gab's natürlich ein paar Rosen. Für immer dankbar, für immer… https://www.instagram.com/p/BlPv3LCjOON/?utm_source=ig_twitter_share&amp;igshid=1rv2hyo38r7d3"
Sat Jul 14 21:49:15 +0000 2018,Vor den Abschied noch ein kleines #bier #bahnhof #abschied #stuttgart @Stuttgart Hbf https://www.instagram.com/p/BlOk2PynV2X/?utm_source=ig_twitter_share&amp;igshid=13q9ymlf195ji
Sat Jul 14 20:48:39 +0000 2018,Ein Kalter Hund Bier. - Drinking a St. Anna Festbier by Brauerei Neder @Landbierparadies — http://untp.beer/s/c624907376
Sat Jul 14 19:43:24 +0000 2018,Den Abend nachn Sport ausklingen lassen #summer #warm #bowling #billiard #game #fun #wein #cocktails #bier #saterdaynight #nighout #music #spaß #car #driving #airhockey #ball #stick… https://www.instagram.com/p/BlOWb8PgsY3/?utm_source=ig_twitter_share&amp;igshid=jvc2j6xaneom
Sat Jul 14 18:48:05 +0000 2018,Das perfekte Essen zum bekannten Bier ist der geräucherte Saibling und dazu Mangold und Kartoeffelkes #brauchbareabier direkt vom Bauern und vom Fischer @Germany https://www.instagram.com/p/BlOQHFXFuY2/?utm_source=ig_twitter_share&amp;igshid=1fo5ka2q3katy
