Wed Oct 31 20:14:04 +0000 2018,Drinking an El Patrón Prototype Single Hop Mosaic by Bierol @BIER MACHT SCHÖN — 
Wed Oct 31 17:11:19 +0000 2018,"Da wird einem warm ums Herz #bier #störtebekerbier @Röddenau, Hessen, Germany https://www.instagram.com/p/BpmvmIZgo47/?utm_source=ig_twitter_share&amp;igshid=60i4foom7wqk"
Tue Oct 30 16:45:14 +0000 2018,Drinking a DBB Herbstbier by Dortmunder Bergmann Brauerei @Bergmann Bier Kiosk — http://untp.beer/s/c669967587
Mon Oct 29 20:42:52 +0000 2018,"Die neue Balkonanlage wird großartig. Wir freuen uns schon auf das erste Bier auf dem Balkon #projekta42 #hausverwaltunggeo @Erfurt, Germany https://www.instagram.com/p/Bph-GrRB16g/?utm_source=ig_twitter_share&amp;igshid=1ewsfc4q9dhdk"
Sun Oct 28 17:13:27 +0000 2018,"Für ein Dusch-Bier ist es nie zu früh, oder zu spät. Dusch-Bier ist immer richtig. becks_deutschland @Mannheim, Germany https://www.instagram.com/p/BpfBiE0nPgp/?utm_source=ig_twitter_share&amp;igshid=o9eqtblig5m4"
Sun Oct 28 14:52:03 +0000 2018,Drinking a Gruibinger Bier Saukalt by Lammbrauerei Hilsenbeck Gruibingen @Tobi's — http://untp.beer/s/c669394355
Sat Oct 27 15:51:13 +0000 2018,Letz geht #kreisköniginnenball #2018. Lässt uns die Hütte abreißen! Ehre dem #königspaar . . . #büren #ball #fliege #anzug #bufftata #bier #abriss #mitdertollstenfrauderwelt #babyfrei… https://www.instagram.com/p/BpcTN-2FCTT/?utm_source=ig_twitter_share&amp;igshid=za2zjkxeivf4
Sat Oct 27 15:40:18 +0000 2018,Feierabend-Bier @Finanzhaus Wiesbaden https://www.instagram.com/p/BpcSAEUnxwT/?utm_source=ig_twitter_share&amp;igshid=zysza5hz97ey
Sat Oct 27 15:17:28 +0000 2018,Groundhopping in Germany leg one: 1. FC Köln v Heidenheim. Bier und Bradwurst for the win . #koeln #fckoln #germany #travel #reis #groundhopping #ground #fussball #voetbal #soccer… https://www.instagram.com/p/BpcPeBOC3gA/?utm_source=ig_twitter_share&amp;igshid=d63n6l25wkop
Sat Oct 27 12:16:54 +0000 2018," Wie wäre es, wenn es statt Wein eine Bier-Verkostung mit Bier-Somelier gäbe?"
Fri Oct 26 14:37:03 +0000 2018,Drinking a DBB Pils by Dortmunder Bergmann Brauerei @Bergmann Bier Stehbierhalle — http://untp.beer/s/c668125988
Fri Oct 26 14:33:31 +0000 2018,Endlich. Jetzt auch ohne künstliche Grenze #bargeldlos mit Karte zahlen. (@Bergmann Bier Stehbierhalle in Dortmund w/ @steffenstrunk)
Thu Oct 25 14:16:24 +0000 2018,dick_und_durstig_84 #frauhataufgefüllt #bier #gesprächsstoff #ehe #arcobräu #weissbier #dunkel #zwickel #spiessbratenbier #irlbacherpremium #berglerbier… https://www.instagram.com/p/BpW-5UHHmmIj8GJ1N3HzEdaRVhFEXy4hheR62E0/?utm_source=ig_twitter_share&amp;igshid=prgu1trpxsnq
Wed Oct 24 17:47:06 +0000 2018,#untappd - Drinking an Allgäuer Büble Bier Edelbräu by Allgäuer Brauhaus @Hiphop's Homebase — http://untp.beer/s/c667562866
Sun Oct 21 16:46:59 +0000 2018,Drinking an Allgäuer Büble Bier Edelbräu by Allgäuer Brauhaus @Meat Room — http://untp.beer/s/c666746624
Sun Oct 21 14:50:30 +0000 2018,"Rote mit Brötchen und Bier (@Bärenschlössle in Stuttgart, Baden-Württemberg) https://www.swarmapp.com/c/8myHDeD5WRH"
