Thu Nov 29 21:30:38 +0000 2018,German bier es good! #germany2018 #klosterurstoff #monksmamegoodbeer @Landhaus Ehrengrund https://www.instagram.com/p/Bqx30denWlZwEUvtvv0p1qHCZps8-yF8nJ7YD80/?utm_source=ig_twitter_share&amp;igshid=4y5h798jqwn5
Thu Nov 29 20:40:27 +0000 2018,Kommt vorbei! Die #Party steigt am 14.12.18 im cubeduesseldorf ab 23:00 Uhr! Und natürlich mit freiem Eintritt für Biostudenten . . . #friends #bier #fun #life #christmastime… https://www.instagram.com/p/BqxdoFUnv88/?utm_source=ig_twitter_share&amp;igshid=bfyodr8ubxk
Thu Nov 29 18:18:21 +0000 2018,Bier gegen Wein Tasting im Rahmen einer Weihnachtsfeier vom TÜV Rheinland. #traubenmeer #birreria #duexerbotschaft #weingewinnt @Birreria - Duexer Botschaft https://www.instagram.com/p/BqxiaETH-68/?utm_source=ig_twitter_share&amp;igshid=v73q4t0vvs55
Thu Nov 29 12:41:39 +0000 2018,Ich wollte mir gerade ernsthaft ein Bier aufmachen…
Wed Nov 28 19:31:49 +0000 2018,Heute mal in der Bonner Innenstadt - das neue Gasthaus Elefant mit der @kocheule ausprobiert. Schön hell geworden und nette Karte. #bonn #Gasthaus #beer #bier #foodblogger #bueble @… https://www.instagram.com/p/BqvGBCzAyGd/?utm_source=ig_twitter_share&amp;igshid=6m3auzmf5t1v
Wed Nov 28 07:33:02 +0000 2018,#Lampenmittwoch #lampwednesday . #Bayreuth #Maisel #Brauerei @Maisel's Bier-Erlebnis-Welt https://www.instagram.com/p/Bqtzw4lHqyn/?utm_source=ig_twitter_share&amp;igshid=bbqzd5378jj5
Tue Nov 27 18:44:01 +0000 2018,Feierabend Bier... Prost - Drinking a Veltins Pilsener by Brauerei VELTINS @Scherlebeck — http://untp.beer/s/c681104518
Tue Nov 27 15:13:22 +0000 2018,So ging es weiter beim GET. IN. 2018: spannende Diskussion um den Zucker in Getränken und die Birmarken-Hitliste von Nicklas Other. #getin #getin2018 #getränke . . . #bier #kaffee… https://www.instagram.com/p/BqsDpLcnz_l/?utm_source=ig_twitter_share&amp;igshid=k7q6a39kaxa6
Mon Nov 26 19:32:01 +0000 2018,Drinking an Allgäuer Büble Bier Edelweissbier by Allgäuer Brauhaus at @diekuhdielacht — http://untp.beer/s/c680935864
Mon Nov 26 18:21:25 +0000 2018,Anwendertreffen 2018 in #Karlsruhe! Bei Bier und Wein den Tag voller #Workshops ausklingen lassen! Ein tolles #anwendertreffen im Süden! #Vivendi #Connext #Connextvivendi #vivendiontour… https://www.instagram.com/p/Bqp0X2Nlkiq/?utm_source=ig_twitter_share&amp;igshid=8avvrgh6qfa4
Mon Nov 26 18:12:12 +0000 2018,Weihnachtsbock #Back #Bier @Mahr's Bräu https://www.instagram.com/p/BqpzT0BHc_H/?utm_source=ig_twitter_share&amp;igshid=1s7rkirk5zn0k
Mon Nov 26 18:00:42 +0000 2018,"They do bier so right in Germany @Düsseldorf, Germany https://www.instagram.com/p/Bqpxy8Th_Cc/?utm_source=ig_twitter_share&amp;igshid=bfrt86npcehe"
Mon Nov 26 17:36:03 +0000 2018,Riecht säuerlich frisch stockig pilsig. Schmeckt röstig pralinig frisch. Kann man machen. - Drinking a WATT Dunkles by Brot & Bier @Oststadt — http://untp.beer/s/c680917246
Mon Nov 26 14:59:54 +0000 2018,#frankfurt y #bier en Zeil - Frankfurt am Main https://www.instagram.com/p/BqpdTsTBQicBP63K2v5U4z4Zqj3WlFI3qqftrg0/?utm_source=ig_twitter_share&amp;igshid=1pgm0ckniztys
Sun Nov 25 12:59:15 +0000 2018,Unsere neue Werbung #Bier #benzin #beer #saufimort @BFT Di Napoli https://www.instagram.com/p/BqmqqC2g1FH/?utm_source=ig_twitter_share&amp;igshid=z5zi33g7q0k
Sun Nov 25 07:35:04 +0000 2018,"Hehe, habe nur Bier getrunken, und da wo ""Schnaps"" steht reingepinkelt. @Finkenkrug https://www.instagram.com/p/BqmFmr1nbW5/?utm_source=ig_twitter_share&amp;igshid=1q9w9tna3me80"
Sat Nov 24 19:18:58 +0000 2018,We will start in two minutes at dankbar_mannheim . . . Come by #safranlive #jungbusch #quadratemannheim #dankbar #conert #livemusic #unplugged #bier weldebier @DANKBAR Mannheim https://www.instagram.com/p/BqkxXzSFScK/?utm_source=ig_twitter_share&amp;igshid=5fsx0lgxcpzc
Sat Nov 24 19:06:01 +0000 2018,DAS Bier meiner Studentenzeit - ein Ungespundetes aus Bamberg. Heute im Getränkemarkt in der Nähe gefunden - Drinking an aU Ungespundet Naturtrüb by Mahr's Bräu @Merklingen — 
Sat Nov 24 17:25:02 +0000 2018,Very good Dunkles Bier. Very soft on the palate. Very light malt sweetness. Some notes of cocoa. Pleasant aftertaste lingers. #franconiabeer - Drinking a Vollbier Dunkel by Brauerei Eichhorn Forchheim @Brauerei Eichhorn —
Sat Nov 24 11:11:57 +0000 2018,Und man könnte es ihm dann noch nicht mal übel nehmen...
Fri Nov 23 20:30:03 +0000 2018,Smells like Weihnachten - Drinking a Winter Wit by Eulchen Bier @Halle 45 — http://untp.beer/s/c679414694
Fri Nov 23 19:27:01 +0000 2018,#Stammtisch #grillteller #bier #freitag #pfullingen #deutschland @Restaurant Alter Bahnhof https://www.instagram.com/p/BqiNf0zlDZP/?utm_source=ig_twitter_share&amp;igshid=1uew46q97pumt
Fri Nov 23 17:35:04 +0000 2018,#untappd - Drinking an Auswanderer Bier 1849 by Brauhaus Faust-Miltenberger @Halle 45 — http://untp.beer/s/c679261679
Fri Nov 23 16:52:07 +0000 2018,"dick_und_durstig_84 #tucher #rotbier #naturtrüb #kellerbier #nürnberg #bier @Oberhausen, Germany https://www.instagram.com/p/Bqh7w56A4sv2TCGu6eTYUu3FPvOQBpNdvvvsEQ0/?utm_source=ig_twitter_share&amp;igshid=shcdmebkuqsy"
Fri Nov 23 14:08:12 +0000 2018,"Gravity barrel, Bayerischer Anstich. Soft and clean. #franconiabeer - Drinking a Rossdorfer Lager Bier by Brauerei-Gasthaus Sauer @Galerie am Stefansberg — "
Fri Nov 23 13:02:11 +0000 2018,"Das Wochenende kann kommen, die Kühlschränke sind gefüllt #Fiege #Warsteiner #krombacher #pils #bier #elbrasi #kino #bar #cocktails"
Fri Nov 23 11:09:07 +0000 2018,Drinking an Allgäuer Büble Bier Edelbräu by Allgäuer Brauhaus @Rheydt — http://untp.beer/s/c679183135
Thu Nov 22 12:47:34 +0000 2018,"Denn das schlimmste ist, wenn das Bier alle ist. "
Tue Nov 20 09:37:30 +0000 2018,np. noch n bier dazu?
Mon Nov 19 18:47:39 +0000 2018,Ein Radeberger radeberger #radeberger #pils #bier #beer #cologne #köln @Palladium https://www.instagram.com/p/BqX1z9qgxY6/?utm_source=ig_twitter_share&amp;igshid=axhkxi724xlm
Mon Nov 19 17:16:15 +0000 2018,Zu viel Schaum! Zu wenig Bier!! Sie trinken doch nix!!! Verdammt \o/ !!!! @Lövenich (Köln) https://www.instagram.com/p/BqXrWd5g2wg/?utm_source=ig_twitter_share&amp;igshid=b1nouk0j1vjz
Sun Nov 18 00:45:19 +0000 2018,"Und mit einer Live Eisbock Bier Vorführung und abgedeckten Schwimmbecken verabschieden wir uns für heute Tolle Veranstaltung! Bis morgen Früh, ab 10 Uhr wieder für euch… https://www.instagram.com/p/BqTVEoOgxcm/?utm_source=ig_twitter_share&amp;igshid=1ji7nffxgq837"
Sat Nov 17 18:04:05 +0000 2018,Los geht es mit dem ersten Aufguss zu unserer STÖRTEBEKER Saunanacht Störtebeker Brauspezialitäten #störtebeker #bier #beer #happy #sauna #stralsund #thale #Bodetaltherme… https://www.instagram.com/p/BqSnPDmgjNl/?utm_source=ig_twitter_share&amp;igshid=826rqismokae
Sat Nov 17 17:21:06 +0000 2018,Auf ein Bier mit Frank Stella http://www.faz.net/aktuell/rhein-main/albrecht-wild-ausstellung-in-frankfurt-15894972.html
Sat Nov 17 16:21:49 +0000 2018,Kultur und Kultur. Erst ein #brooklynlager danach #känguruchroniken @brooklynbrewery markuwekling @Craft Bier Bar Hannover https://www.instagram.com/p/BqSbiJmAgqz/?utm_source=ig_twitter_share&amp;igshid=1doxlslj9qev9
Sat Nov 17 14:55:25 +0000 2018,A gscheits Bier #Bier #Nürtinger #bierfürhier #kaisersbier #agscheitsbier #bürgerbräu @Nürtingen https://www.instagram.com/p/BqSRoxKgker/?utm_source=ig_twitter_share&amp;igshid=x737ffac6mlm
