Wed Feb 27 20:33:08 +0000 2019,Trinkbares Bier - Drinking a Rothaar Landbier by Westerwald-Brauerei @Friemersheim — 
Wed Feb 27 10:53:10 +0000 2019,Johanni Bier für Osterfeuer und Johanni 2019 #johanniistnureinmalimjahr #johanni2019 #brauereiallersheim @Brauerei Allersheim GmbH https://www.instagram.com/p/BuYe0EuIfjU/?utm_source=ig_twitter_share&amp;igshid=zh232l46tfms
Tue Feb 26 22:06:06 +0000 2019,"Smooth, chocolatey dark bier, sweet &amp; malty, lovely nightcap... - Drinking a Nürnberger SchwarzBier by Hausbrauerei Altstadthof @Hausbrauerei Altstadthof — "
Sat Feb 23 19:46:28 +0000 2019,#dampfbier #dampfbierbrauerei #dampfbierbrauereiborbeck #zwickelbier #essenborbeck #foodporn #bier @Borbeck-Mitte https://www.instagram.com/p/BuPI3LgnTCbIYkWcDEL5VSjO0We8FyJzl19SyQ0/?utm_source=ig_twitter_share&amp;igshid=ztzdcaef0uni
Sat Feb 23 17:36:08 +0000 2019,MHD-Verkauf von Britischem Bier! (@BrauArt Britische Biere in Düsseldorf) 
Fri Feb 22 20:02:02 +0000 2019,Das Bier meiner #Heimat: @Stiegl. So gut! - Drinking a Goldbräu / Stiegl Gold by @stieglbrauerei @Flörsheim am Main — http://untp.beer/s/c715400703
Fri Feb 22 16:12:05 +0000 2019,„Ich kann noch kein Bier trinken.“ „Also Radler?“ „Gute Idee!“ (@Union Bar and Shop in Bremen w/ @fireflie8)
Thu Feb 21 20:21:06 +0000 2019,#untappd - Drinking a Scotch-Ale / Whisky-Bier by Störtebeker Braumanufaktur @Hiphop's Homebase — http://untp.beer/s/c715024854
Thu Feb 21 19:25:00 +0000 2019,Bier van de hausbrauerei zin Schlüssel in de Düsseldorfer Altstadt - Drinking an Original Schlüssel by Obergärige Hausbrauerei Zum Schlüssel @Hausbrauerei „Zum Schlüssel“ — 
Wed Feb 20 20:43:03 +0000 2019,"Riecht frisch brotig rotbierig. Bier ist auch rot. Schmeckt aber zähflüssig schwer alkig, wenn auch nicht so richtig süß. Fies gemüsebitter. - Drinking a Nottingham by Kehrwieder Kreativbrauerei @Oststadt — http://untp.beer/s/c714759421"
Wed Feb 20 05:41:25 +0000 2019,„Gib mir ein U...“ #dortmund #dortmunderu #unionbrauerei #instadortmund #docity #kultur #bier #wahrzeichen #bvb #skyline… https://www.instagram.com/p/BuF5xMnlWY_/?utm_source=ig_twitter_share&amp;igshid=53t76cj9c4rd
Tue Feb 19 17:57:38 +0000 2019,"I'm at Burger & Bier in Würzburg, Bavaria https://www.swarmapp.com/c/4qesqJjpV2Q"
Tue Feb 19 17:11:58 +0000 2019,Ich opfere mich. #Koestritzer #Bier @SKYHOTEL Merseburg https://www.instagram.com/p/BuEj_vIFShJ/?utm_source=ig_twitter_share&amp;igshid=8vrq7wrcgq3x
Mon Feb 18 06:07:40 +0000 2019,Ich gehe heute auch nicht in die Schule.. und Strike lieber für Klima (und Bier)
Sun Feb 17 19:41:55 +0000 2019,"Leckeres Bier + Meine Lieblingsblumen = Tolles Wochenende @Frankenthal, Rheinland-pfalz https://www.instagram.com/p/Bt_rksXhXWl/?utm_source=ig_twitter_share&amp;igshid=19i0qvv7q93vx"
Sun Feb 17 19:40:49 +0000 2019,Essen und Trinken muss sein #badmergentheim #gasthausjohaniter #beer #beerporn #bier #beergasm #weizen #essen #food #foodporn #foodgasm #foodphotography #foody #foodie #foodlover… https://www.instagram.com/p/Bt_rcYphMG_/?utm_source=ig_twitter_share&amp;igshid=g5kgb5x7gal1
Sun Feb 17 12:09:47 +0000 2019,"Der Keks ist zum Kindergeburtstag, der Gatte und ich machen ne Radtour. Mit Zwischenstopp. Nichts löscht Bierdurst besser als Bier. #radtour #daskindhatausgang #wirauch #traarerkrug… https://www.instagram.com/p/Bt-31F0n9lu/?utm_source=ig_twitter_share&amp;igshid=1se7uwwbzo2t1"
Sat Feb 16 22:10:26 +0000 2019,„Bier ist Bier und sollte nicht mit Kaugummi gemischt werden!“ - Verfasser unbekannt
Sat Feb 16 18:29:05 +0000 2019,... moin moin meine lütte höög ... #beerpanda - Drinking a Hamburgs LÜTTE HÖÖG - Das Hamburg Bier by LÜTTE HÖÖG @Brelingen — http://untp.beer/s/c713123708
Sat Feb 16 12:43:48 +0000 2019,"Kaum ist die Sonne warm kommen alle Marktschikkern aus dem Loch. BIER, Limmo und Sonne alles Sofa für mich. @Fyal https://www.instagram.com/p/Bt8W7JLgq6-/?utm_source=ig_twitter_share&amp;igshid=onuhj0luxsfh"
Sat Feb 16 11:40:24 +0000 2019,"Took a day off from work to enjoy #Düsseldorf &amp; my colleague is enjoying his 1st maß bier! #worktravels #literbeers @Düsseldorf, Germany https://www.instagram.com/craftbeerathens/p/Bt8Pq3FBQYb/?utm_source=ig_twitter_share&amp;igshid=13m2fqv2jg7py"
Fri Feb 15 20:08:37 +0000 2019,Off season. - Drinking a Christkindlesmarkt Bier by Tucher Bräu @Brandoberndorf — http://untp.beer/s/c712550247
Fri Feb 15 18:08:59 +0000 2019,One last time (@Craft Burger &amp; Bier - @craftburgerab in Aschaffenburg)
Fri Feb 15 18:03:40 +0000 2019,Erstmal ein Bier und ein @laphroaigwhisky Quarter Cask #Whisky #Slainte @Bildungs- und TagungsZentrum HVHS Springe https://www.instagram.com/p/Bt6WvG1neMj/?utm_source=ig_twitter_share&amp;igshid=1e8wwlqhust02
Wed Feb 13 23:29:38 +0000 2019,"Das Bier gibt's natürlich erst nach Feierabend, Chef. "
Wed Feb 13 23:28:44 +0000 2019,"Ich brauchte eine Windows 7 Lizenz. Die habe ich nun auf eBay für 2,99€ erstanden. Da reicht das Kleingeld glatt noch für ein Bier. "
Wed Feb 13 18:06:18 +0000 2019,"Auf ein Bier zum #Freifunk Tuttlingen Meetup. (@La Vie in Tuttlingen, Baden-Württemberg) https://www.swarmapp.com/c/cg9fbAt8n7S"
Wed Feb 13 08:43:43 +0000 2019,"Am Samstag hatten wir wieder unseren beliebten Kurs Bratwurst, Bier und Schäuferle. War wieder mal eine echt Super Truppe und es hat richtig Spaß gemacht. Wer auch mal Lust auf einen… https://www.instagram.com/p/Bt0NELRFDUl/?utm_source=ig_twitter_share&amp;igshid=xapoi4cbtnv1"
Sat Feb 09 21:23:33 +0000 2019,"Carlos will doch nicht an mein Bier @Ellmendingen, Baden-Wurttemberg, Germany https://www.instagram.com/p/BtqvojNh82r/?utm_source=ig_twitter_share&amp;igshid=wtq19vgsemlf"
Sat Feb 09 21:04:32 +0000 2019,Doch schon ganz lecker frisch! Ich mags!!! Oliver W. Fand es ja nicht so gut. Komischer Typ... - Drinking a Core Tex Records Bier by Braumanufaktur Potsdam @Frechen — 
