Sun Jun 30 23:54:44 +0000 2019,Denk an das Vorsorge - Bier 
Sun Jun 30 22:35:21 +0000 2019,*klürr* Vielleicht ergibt sich ja noch mal ein Bier in den nächsten Tagen ;)
Sun Jun 30 20:53:26 +0000 2019,"Nja, mit 5 Liter Bier am Tag, wird man aber nicht alt."
Sun Jun 30 20:03:12 +0000 2019,Hab ich Bier gehört 
Sun Jun 30 18:12:19 +0000 2019,"Komme auf den Balkon. Ein Nachbar grüßt und ploppt sein Bier. Als Antwort folgt meins, und noch eins, und noch eins, und und und. Eine Nachbarin kommt vorbei,, sagt, sie dachte schon, es hagelt, so laut war unser Nachbarbegrüßungsritual."
Sun Jun 30 18:08:38 +0000 2019,"Trotz der Hitze heute schon angereist. Eis in der Tüte ist verboten, Bier im Glas nicht! Schönen Sonntagabend! #Strasbourg #Straßburg #Strasbourg"
Sun Jun 30 17:16:14 +0000 2019,Dein Bier-Dealer hat ja coole Preise 
Sun Jun 30 17:08:32 +0000 2019,#Fox-Rhoigauerhund Mein Herrchen möchte immer in Bier baden... ich bade in meinem Getränk. @Eltville https://www.instagram.com/p/BzV3erFgO4I/?igshid=1mv26vlvc2ljh
Sun Jun 30 15:25:22 +0000 2019,Feines Bier das Meckatzer Hell 
Sun Jun 30 15:22:54 +0000 2019,"Sonntag. ca. 37 Grad. Bei Hitze soll man ja viel, aber kein Alkohol drinken. Ernst gemeinte Miniumfrage: Habt ihr heute schon was alkoholisches getrunken? (egal ob Bier, Wein, Mischgetränke etc.)"
Sun Jun 30 11:25:48 +0000 2019,"Stell mal das Bier kalt, @palettenjunge"
Sun Jun 30 08:36:48 +0000 2019,Getränke im Kühlschrank: Bier und Sangria! 
Sat Jun 29 23:08:01 +0000 2019,"bier, wurst, brötchen... wiederholen!!!"
Sat Jun 29 22:05:24 +0000 2019,"Ein Bier, dann Bett "
Sat Jun 29 21:52:23 +0000 2019,Weisst du wie der Kölner alkoholfreies Bier nennt? ABARTIGE VOLLRAUSCHVERHINDERUNGSBRÜHE!
Sat Jun 29 20:58:30 +0000 2019,Wenn ich bspw eine Kiste Bier mitbringe für nach m Training stell ich immer auch was für die Antialkohol-Fraktion mit drauf - und bin immer noch der einzige...
Sat Jun 29 20:25:53 +0000 2019,"Abendtee. Eine Taube hat sich in der Dachrinne nebenan schlafen gelegt. Zwei Mäuse huschen auf dem Nachbardach umher. Unten im Hof die Geburtstagsfeier einer Studentin. Brot, Bier und Grill. Irgendwo ein leises Vogellied. Zwei Raben tragen alles Schwarz des Tages davon."
Sat Jun 29 20:19:41 +0000 2019,Sorry hier läuft gute Musik und Bier
Sat Jun 29 20:14:52 +0000 2019,"Fazit: Bier schmeckt immer noch nicht. (@Privatbrauerei @MoritzFiege in Bochum, Nordrhein-Westfalen)"
Sat Jun 29 20:01:54 +0000 2019,"Heute mein erstes Ingwer Bier probiert. Was soll ich sagen, es schmeckt nicht schlecht. #bebieren"
Sat Jun 29 18:33:21 +0000 2019,"Neuentdeckung beim #zollhausfest in #erlangen das #sandbergbräu #sommerbier #bier #beer aus #bubenreuth #lecker #summer #sommer #weekend ##alcohol #alkohol @Erlangen, Germany https://www.instagram.com/p/BzTcphmomYY/?igshid=46mypl7zbxhk"
Sat Jun 29 18:18:01 +0000 2019,"der mann ist arbeiten, der minimann fliegt jetzt ins bett.. mein bier steht kalt und got geladen ja, ich muss sie noch schauen. mein mann hat sie alleine geschaut als ich auf norderney war.. er hatte die erlaubnis"
Sat Jun 29 18:14:01 +0000 2019,So klein und schon ein Bier
Sat Jun 29 17:36:35 +0000 2019,Blödsinn Im Notfall werden die Bier Preise erhöht
Sat Jun 29 16:47:18 +0000 2019,Früher jedes Wochenende auch etwas mehr. Mittlerweile 2-3 Bier pro Monat. Richtig saufen war ich seit bestimmt 2 Jahren nicht.
Sat Jun 29 16:46:02 +0000 2019,#Prost #bierbörse - Drinking an Allgäuer Büble Bier Edelbräu by Allgäuer Brauhaus @Bierbörse Dülken — http://untp.beer/s/c769933942
Sat Jun 29 16:39:31 +0000 2019,"#Grillen mit ner leckeren #Dampfe von #SteamCrave, geilem #Bier, kaltem #Limocello und genug Stoff aufm Rost. #Garten #Terrasse @Koblenz, Germany https://www.instagram.com/p/BzTPoF1gB6l/?igshid=1mkwozcoh9gnu"
Sat Jun 29 16:24:34 +0000 2019,Kein Bier mehr?
Sat Jun 29 16:15:35 +0000 2019,"Wenn ich davon nicht satt werde... #Würstchen #Steak #Gemüse #Grillen #Bier #dampfen @Koblenz, Germany https://www.instagram.com/p/BzTM48dgEQh/?igshid=9z8kyhdlcjqz"
Sat Jun 29 15:27:50 +0000 2019,"Wenn ihr gutes Bier und Gastgarten sucht, besucht das @schanzenbraeu in Gostenhof "
Sat Jun 29 14:25:47 +0000 2019,In Cologne waiting for the next train #köln #cologne #beer #bier #follow4follow #likeforlike #hardlife @Museum Ludwig Köln https://www.instagram.com/p/BzTAUL4oJFI/?igshid=13pbzr7jujcyd
Sat Jun 29 12:39:42 +0000 2019,Ein schönen Mittag mit meiner Liebsten gehabt Hatten super Essen und erfrischendes Bier #mittag #sonne #sommer #heiß #hitze #backhaus #hocketse #zwiebelkuchen #steak #brötchen #pommes #ketchup #bier… https://www.instagram.com/p/BzS0LOvohMw/?igshid=1tnza1tgy4471
Sat Jun 29 10:53:11 +0000 2019,Sollen wir uns dann 'ne Halle teilen und zusammen fluchen und Bier trinken?
Sat Jun 29 10:38:50 +0000 2019,Nur zur Vorwarnung bringt euch gescheites Bier mit hier steht ein Binding Kühlwagen
