Tue Dec 31 23:31:47 +0000 2019,Wie jedes Jahr gilt bei mir: Bier statt Böller! Frohes Neues! 
Tue Dec 31 21:45:11 +0000 2019,"Oh jetzt sind‘s 4 Ouzo und 4 Bier, denke das wird ein guter Abschluss #2019"
Tue Dec 31 20:22:31 +0000 2019,Lieber saufen wie ficken. Bier oder liebe ?
Tue Dec 31 19:44:40 +0000 2019,Mein Vater trinkt Bier aus der Plastikflasche 
Tue Dec 31 19:07:45 +0000 2019,Jederzeit auf ein Bier mit Dir!
Tue Dec 31 18:48:00 +0000 2019,Habe mal gehört Bier soll helfen..
Tue Dec 31 17:03:35 +0000 2019,Bier 18 aus dem Bier-Adventskalender unterstützt mich beim Aufbauen des Raclette zu Silvester - Drinking a Westheimer Hirsch-Bräu by Brauerei Westheim @Home of Ostwestf4le — 
Tue Dec 31 17:01:38 +0000 2019,Bier 18 aus dem Bier-Adventskalender unterstützt mich bei den Vorbereitungen für das Silvester-Raclette - Drinking a Westheimer Hirsch-Bräu Landbier by Brauerei Westheim @Home of Ostwestf4le — 
Tue Dec 31 16:13:56 +0000 2019,"Man könnte glatt meinen, ich mag Urlaub, Tauchen, Grillen und Bier. #2019bestnine #urlaub #tauchen #grillen #Bier #beer #cheers #cheers #bbq #holiday #vacation #Diving #scubadiving #frankreich #france… https://www.instagram.com/p/B6vjwHhqghh/?igshid=1ob8qxrh3cw6b"
Tue Dec 31 16:09:57 +0000 2019,"Toller Adventskalender von giovannasebald , insgesamt 14 Flaschen Bier (eine fehlt komischerweise). Lecker, wird in den nächsten Wochen alles probiert. #adventskalender #advent #beer #Bier #beeraroundtheworld… https://www.instagram.com/p/B6vjStUKXYK/?igshid=1b2i2mjeanm6k"
Tue Dec 31 15:35:38 +0000 2019,Zuhause mit #Frau und #Freund bei #Bier und #Wein #Eintopf essen. Reden #Winzersekt ein bisschen #bloggen #Barockmusik hören http://arminherzberger.com/2019/12/25/wo-ist-das-wahre-leben/ #silvester2019 http://arminherzberger.com/2019/12/25/wo-ist-das-wahre-leben/
Tue Dec 31 15:34:28 +0000 2019,Zuhause mit #Frau und #Freund bei #Bier und #Wein #Eintopf essen. Reden #Winzersekt ein bisschen #bloggen #Barockmusik hören http://arminherzberger.com/2019/12/25/wo-ist-das-wahre-leben/ #silvester2019
Tue Dec 31 14:32:39 +0000 2019,Bier 17 im Bier-Adventskalender und gleichzeitig Nummer 24 - stilvoll mit Weihnachtsmütze - Drinking a Bad Santa Christmas Special (2019) by Klosterbrauerei Weltenburg @Home of Ostwestf4le — 
Tue Dec 31 14:00:07 +0000 2019,"Der @Gestoertebeker ist der erste Bier-Influenzer, den ich kenne "
Tue Dec 31 12:04:17 +0000 2019,Ich bleibe heute bei Bier pur und guter Rockmusik
Tue Dec 31 12:04:06 +0000 2019,Noch mehr Bier? 
Tue Dec 31 12:02:46 +0000 2019,"Noch gar nicht in ""Silvester Stimmung"" aber wird heute ein geiler Abend mit Raclette und Gesellschaftsspielen Glaube Bier ist auch am Start und einmal im Jahr wird auch Sekt getrunken. Geballert wird nur Was treibt ihr heute Abend? Ich hoffe nicht zu bunt Kommt gut rein!"
Tue Dec 31 11:09:46 +0000 2019,Only Raclette & Bier ist das einzig gute Silvesteressen
Tue Dec 31 10:45:05 +0000 2019,Raclette mit Spieleabend und Kasten Bier. Freunde sind auch da 
Tue Dec 31 09:34:45 +0000 2019,"2019: Sport, Bier und Sunny. #Bassd @TriCon Container-Terminal Nürnberg GmbH https://www.instagram.com/p/B6u2EfKiBK0/?igshid=iakgh375tqtv"
Tue Dec 31 07:53:05 +0000 2019,"Ich mach heute Abend bei DC mit, kaufe 6 Bier das reicht, also ruhiges Sylvester. Kein Besaeufnis, schön klar im neuen Jahr. "
Tue Dec 31 06:27:40 +0000 2019,#Reisewarnung: Auf einer #Kanutour mit dem #Abenteuerteam gibts nur warmes #Flens aus Flaschen. Egal. #Bier aus Flaschen schmeckt auch im hohen #Norden und #Flensburger #Bierflaschen sind ja auch #ökologisch… https://www.instagram.com/p/B6ufiWdiaiU/?igshid=1q9afywouzr6y
Mon Dec 30 20:42:31 +0000 2019,Darauf erstmal ein Wolf-Bier. 
Mon Dec 30 20:12:56 +0000 2019,Ich gehe jetzt Bier trinken.
Mon Dec 30 17:33:39 +0000 2019,Und an Bier. Viel Bier.
Mon Dec 30 15:55:30 +0000 2019,O.K. Ich bringe Bier mit. 
Mon Dec 30 11:10:45 +0000 2019,"Bier und Pizza, eine beliebte Kombi! Dazu dann jetzt noch ne Matte, Glückwunsch!"
Sun Dec 29 21:58:48 +0000 2019,Zum Glück gibts noch kaltes Bier!
Sun Dec 29 21:51:35 +0000 2019,Bei aller Liebe.. Auch hier wieder total überkarbonisiert. Bier schäumt aus der Pulle und über das Glas. Massives Problem. - Drinking a Porter by @AleManiaCraft @MMMT — http://untp.beer/s/c849030083
Sun Dec 29 20:44:30 +0000 2019,"Seitdem ich Dummheit in den ‚Sozialen Medien‘ tracke, ist mein Glaube an die Menschheit massiv erschüttert. Erstmal ein Bier! Und auf einen Thanos, der seinen Plan nochmal überdenkt! #marvel #stupidity #socialmedia #iamahumanbeing"
Sun Dec 29 19:26:38 +0000 2019,Bier 16 aus dem Bier-Adventskalender - Drinking a Tannen Hell by Hohenthanner Schlossbrauerei @Home of Ostwestf4le — 
Sun Dec 29 15:37:12 +0000 2019,"Klassisches Grünkohl in Niedersachsen , natürlich ein Bier dazu (wenn auch Alkoholfrei) Passt zum Wetter Das Leben ist schön Ich liebe/lebe meinen Job Life is beautiful ich love / live my job … https://www.instagram.com/p/B6qV9XNIvFt/?igshid=4cr8k895e4le"
Sun Dec 29 15:21:38 +0000 2019,Bier 15 aus dem Bier-Adventskalender - Drinking a Landbier by BrauManufaktur Härke @Home of Ostwestf4le — 
Sun Dec 29 14:02:12 +0000 2019,"Letzter Wurstkurs in diesem Jahr! Auf Wunsch dieses Mal Bratwurst, Weißwurst, Bier Vielen Dank an alle Teilnehmer! Ihr wart eine Super Truppe ! Die ersten Termine für 2020 sind auf unserer Website… https://www.instagram.com/p/B6qLFMcIjja/?igshid=3fbnebfqt6gj"
Sun Dec 29 14:01:53 +0000 2019,"Bier statt Böller, Ihr wisst Bescheid! #Bier statt #Böller"
Sun Dec 29 00:57:18 +0000 2019,"Eingeschlafen auf dem Sofa und sie haben mein das Bier weggeräumt . Hast eh keinen Durst mehr haben sie gesagt, wenn die wüßten "
Sat Dec 28 23:23:27 +0000 2019,"Koffer sind zwar nicht gepackt, aber Inhalte rausgesucht und Irland buchen ist ja auch nicht so unwichtig und noch Mal Bad putzen, was essen und ein Bier trinken ... Lassen wir uns ablenken? Achwo, Prioritäten verschiebrn sich halt ab und an."
Sat Dec 28 21:23:31 +0000 2019,"‚Bier trinken gegen rechts, dass könn‘ wa!‘ #hammerhai #heinzmussbleiben"
Sat Dec 28 17:41:25 +0000 2019,"Scharfes Nudelgericht, Bier und Fallout 4. Perfekt "
Sat Dec 28 16:14:26 +0000 2019,Erstmal nen Bier 
Sat Dec 28 13:27:55 +0000 2019,Vorbereitungen für Silvester sind in vollem Gang Wein (rot und Weiss) Bier (Fass) Kellerbar aufgeräumt Grills gereinigt Aussenkamin startklar Playlist erstellt Werkstattkeller aufräumen 2. Bierfass holen Feuerwerk
Sat Dec 28 12:11:32 +0000 2019,Aber Bier ist Leben! 
Sat Dec 28 10:19:08 +0000 2019,"Herrengedeck als U-Boot. Anderes Bier, aber Niedersachsen regelt."
