Fri Jan 31 21:56:58 +0000 2020,"Während ich mein zweites Bier trinke, hier ein ziemlich cooles Selfie von @astro_luca."
Fri Jan 31 21:21:45 +0000 2020,"Wenn man den richtigen Wein trinkt schmeckt auch der, aber ja, ich gebe dir recht! Bin auch eher der Bier Fan sonst. "
Fri Jan 31 21:19:34 +0000 2020,"So, ich sitze im @EisenBremen und habe ein Bier. Zum ersten Mal seit keineAhnungwievielen Monaten. Winkt bitte alle mal dem netten Typen im schwarzen ESA-Hoodie mit dem Astronauten vorne drauf. "
Fri Jan 31 20:53:22 +0000 2020,"Hatte aber einen netten Nebeneffekt. Meine Freundin erinnerte sich an das Bier gleichen Namens, ein Sixpack steht jetzt gut gekühlt im Kühlschrank. Naja, nur noch 4."
Fri Jan 31 18:36:47 +0000 2020,"Na ja, man geht nicht ins Stadion, um Wurst zu futtern und Bier zu trinken, sondern wegen des guten Fußballs, der geboten wird "
Fri Jan 31 18:21:24 +0000 2020,"Wie findet Ihr diese Biermarken : Allgäuer Büble Bier, Dinkelacker, Fürstenberg, Palmbräu, Schwabenbräu oder Stuttgarter Hofbräu ?"
Fri Jan 31 18:16:26 +0000 2020,Was achenken die für Bier aus?
Fri Jan 31 17:14:11 +0000 2020,"Statt zu versuchen, Euch verstehen zu wollen, hätte ich auch schon ein paar Bier an der längsten Theke der Welt haben können. Mein Fehler."
Fri Jan 31 16:39:28 +0000 2020,Du hattest mich bei Bier. Guten Appetit!
Fri Jan 31 15:38:05 +0000 2020,"Keine Panik! ... ist nur Bier ! Ihr Lieben, wenn die Welt um uns herum im Chaos versinkt, ist nur eines wirklich wichtig: Tapfer bleiben, die Ruhe bewahren, eure Lieblingsbar aufsuchen, ein Corona entkorken und den Moment genießen! HERMANN U! #corona #keine #panik – at Schwarzer Hermann"
Fri Jan 31 14:40:19 +0000 2020,Beim rosaroten Herz noch en Bier reinmeddeln und de Dorfschnack lauschne 
Fri Jan 31 14:31:58 +0000 2020,Dieses Corona Bier geht gerade durch Twister.
Fri Jan 31 10:04:05 +0000 2020,Gestern Herr Peters von #reimosbrauwerk und dazu Backfisch von #dasmärktchen #diegenussverstärker #bier #herrpeters #craftbeer #pils #beer #fcsp #fcsanktpauli #sanktpaulifans #sanktpauli #backfisch #offenbach #frankfurt #stayrudedrinkrebel #supportyourlocaldealer // Werbung – at die genussverstärker
Fri Jan 31 06:38:07 +0000 2020,"Alles Gute, @AxelGrehl... Viel Bier heute "
Fri Jan 31 06:30:56 +0000 2020,"Noch nie wurde in Deutschland so wenig Bier getrunken wie 2019. Und noch kein Depp hat ""Islamisierung!"" gerufen. Erstaunlich."
Fri Jan 31 06:24:21 +0000 2020,Corona und Google: Was hat das Coronavirus mit Corona-Bier zu tun? 
Thu Jan 30 18:28:27 +0000 2020,"Wette mit Ihnen ne Kiste Bier oder Wein, dass das floppt. Und zwar nicht, weil ich es doof finde, sondern weil es aufgrund der Dominanz der grossen Plattformen zwangsläufig so kommen wird. Der einzig gangbare Weg wäre und europäische Lösung, aber sicher keine BaWü- Tutmaschine"
Thu Jan 30 18:08:46 +0000 2020,Prost... Feierabend Bier.. - Drinking a Spezial by Alpirsbacher Klosterbräu @Scherlebeck — 
Thu Jan 30 17:52:34 +0000 2020,Wassen das für'n Bier und wo bekomme ich das?
Thu Jan 30 17:33:15 +0000 2020,"Jetzt aber endgültig Feierabend... Schade, dass das obligatorische #Fernprost mangels Bier ausfällt. #NonstopMe? (at @Lufthansa Business Lounge in Dusseldorf, North Rhine-Westphalia) https://www.swarmapp.com/c/g9poJzgL3Y8"
Thu Jan 30 17:21:15 +0000 2020,"""Ich mag keine Alkoholiker"" - Claudia, hat schon 5 Bier intus - #GenauMeinHumor #FirstDates"
Thu Jan 30 16:54:24 +0000 2020,Jetzt „ Badewanne mir Bier und Ruhe 
Thu Jan 30 15:25:36 +0000 2020,"Ich sage nicht, dass es schlecht ist. Nur, dass die Vorteilhaftigkeit etwas überspitzt dargestellt wird. Und: „Fakten“ habe ich auch genug. Die können wir gerne mal bei nem Bier vergleichen, wenn ich mal wieder im Süden unterwegs sein sollte."
Thu Jan 30 12:51:51 +0000 2020,"Salzstangen und Cola wegen Magen-Darm der Studentin plus ein Kasten Bier, und schon sieht der Einkaufswagen aus als steigt bei uns ne große Fete."
Thu Jan 30 12:27:54 +0000 2020,@StonedLack wo auf die Schnelle mal ein Bier trinken kann nach dem Eishockey 
Wed Jan 29 21:15:39 +0000 2020,Auch schon mal den Gag mit dem Corona Bier gepostet? #coronaviruswuhan
Wed Jan 29 20:44:26 +0000 2020,"Wie die Medien melden, bringt Markus #Söder bei seinem Freistaatsbesuch in #Moskau ""bayerisches Bier"" mit Angesichts unserer vielfältigen Braukunst empfinde ich diese Angabe als ungenau."
Wed Jan 29 20:40:22 +0000 2020," Christian, das waren doch sicher nur die Augenringe des gestrigen Bier "
Wed Jan 29 18:57:48 +0000 2020,Ein neues Bier von Bolten's - schmeckt nicht nur zur Karnevalszeit - Drinking a Jecken Spezial by Privatbrauerei Bolten @Kleinenbroich — 
Wed Jan 29 18:02:19 +0000 2020,Bolten Bier aus Mönchengladbach... 
Wed Jan 29 17:44:15 +0000 2020,"... gute Zeiten, schlechte Zeiten ... ich hoffe wieder auf gute Zeiten #pils #bier #clubhausahrbergen"
Wed Jan 29 17:37:39 +0000 2020,Für was braucht man eine Halbzeit Analyse? Da geht man pissen und Bier holen. Halbzeitanalyse findet in der Schlange vorm Bierstand statt.
Wed Jan 29 17:26:29 +0000 2020,Ich gehe hier nur wegen Bier und Pizza hin. Ich kann gar nicht programmieren. 
Wed Jan 29 15:59:27 +0000 2020,"Da wird man auch mit Bier großgezogen und mit 16 sind schon einige Alkoholkranke, aber alles halb so schlimm für die Politiker"
Wed Jan 29 14:35:44 +0000 2020,Drinking an Allgäuer Büble Bier Urbayrisch Dunkel by Allgäuer Brauhaus @Zum Bierkönig Fassdorf Althengstett — 
Wed Jan 29 14:34:43 +0000 2020,Drinking an Allgäuer Büble Bier Bayrisch Hell by Allgäuer Brauhaus @Zum Bierkönig Fassdorf Althengstett — http://untp.beer/s/c860325444
Tue Jan 28 20:19:19 +0000 2020,"Jao, eins, zwei, drei to the vier (ding-dong) Big Daddy Pork vor der Tür Riechst du ihn? Dann bitte ihn herein (Halb) Gott, (halb) Mensch, (halb) Bier, (halb) Schwein #initiativefürmehrdeichkindauftwitter"
Tue Jan 28 19:00:25 +0000 2020,"Es ist 8, ich liege auf der Couch, der Spiele PC ist an, ich habe ein #Bier. Der Abend hat Perspektive!"
Tue Jan 28 18:52:03 +0000 2020,"Es ist Bier. Es ist immer Bier. Ich kenne keine legendäre Geschichten die beginnen mit: ""Halt mal mein Salat!"". #bier #party #punk #eskalation"
Tue Jan 28 16:28:32 +0000 2020, Ich dachte das macht nur warmes Bier. 
Tue Jan 28 13:14:27 +0000 2020,Ich trinke ja nur Flipperfrei gefangenes Bier :-)
