,Temperature-High,Temperature-Low,Temperature-Average,Humidity-High,Humidity-Low,Humidity-Average,Pressure-High,Pressure-Low,Pressure-Average,location
1-2015,"16 °C (10. Jan, 03:50)","-4 °C (6. Jan, 00:50)",3 °C,"100% (1. Jan, 00:20)","39% (13. Jan, 15:20)",86%,"1038 mbar (1. Jan, 00:20)","972 mbar (30. Jan, 01:20)",1017 mbar,Frankfurt
2-2015,"11 °C (20. Feb, 13:50)","-5 °C (4. Feb, 02:20)",2 °C,"100% (1. Feb, 00:20)","31% (8. Feb, 15:20)",79%,"1041 mbar (1. Feb, 00:20)","986 mbar (1. Feb, 01:50)",1017 mbar,Frankfurt
3-2015,"18 °C (18. Mär, 14:50)","-3 °C (7. Mär, 06:50)",7 °C,"100% (4. Mär, 03:20)","30% (11. Mär, 15:20)",71%,"1038 mbar (4. Mär, 03:20)","995 mbar (29. Mär, 21:20)",1020 mbar,Frankfurt
4-2015,"25 °C (15. Apr, 15:50)","-2 °C (3. Apr, 07:20)",11 °C,"100% (23. Apr, 05:50)","20% (19. Apr, 17:20)",60%,"1037 mbar (23. Apr, 05:50)","1001 mbar (27. Apr, 03:50)",1020 mbar,Frankfurt
5-2015,"29 °C (12. Mai, 16:20)","2 °C (2. Mai, 05:20)",15 °C,"100% (1. Mai, 04:20)","23% (18. Mai, 15:20)",63%,"1027 mbar (1. Mai, 04:20)","1001 mbar (5. Mai, 03:20)",1016 mbar,Frankfurt
6-2015,"33 °C (5. Jun, 15:20)","8 °C (2. Jun, 03:20)",18 °C,"100% (2. Jun, 00:50)","20% (17. Jun, 14:50)",62%,"1027 mbar (2. Jun, 00:50)","1005 mbar (22. Jun, 22:50)",1019 mbar,Frankfurt
7-2015,"38 °C (4. Jul, 16:50)","7 °C (30. Jul, 04:50)",22 °C,"94% (9. Jul, 05:50)","18% (11. Jul, 17:50)",56%,"1025 mbar (9. Jul, 05:50)","1003 mbar (24. Jul, 23:20)",1015 mbar,Frankfurt
8-2015,"39 °C (7. Aug, 17:20)","10 °C (19. Aug, 04:50)",22 °C,"100% (5. Aug, 02:20)","15% (7. Aug, 18:50)",62%,"1025 mbar (5. Aug, 02:20)","1005 mbar (23. Aug, 17:20)",1015 mbar,Frankfurt
9-2015,"26 °C (1. Sep, 12:20)","8 °C (5. Sep, 03:50)",15 °C,"100% (3. Sep, 06:50)","29% (11. Sep, 16:50)",73%,"1036 mbar (3. Sep, 06:50)","996 mbar (16. Sep, 18:20)",1018 mbar,Frankfurt
10-2015,"20 °C (2. Okt, 15:20)","1 °C (19. Okt, 07:20)",10 °C,"100% (4. Okt, 02:20)","32% (1. Okt, 15:50)",81%,"1031 mbar (4. Okt, 02:20)","1004 mbar (6. Okt, 16:20)",1019 mbar,Frankfurt
