,comments,Positive 1 Negative 2
0,"Der Abgang ist schön herb , passt gut zum Mittelteil .",1
1,"Der lange Abgang , der immer noch eine Mischung aus leichte Säure und Würzigkeit versprüht , mundet gut .",1
2,Das naiv volkstümliche Etikett finde ich übrigens ganz gut.,1
3,Etikett ist gut .,1
4,Gerade in der kleinen Flasche kultverdächtig und lässt sich wirklich gut trinken.,1
5,"Nun ja , das Bier sieht sehr gut aus und hat schönen ganz feinen beständigen Schaum .",1
6,"Ein gutes Bier aus dem Schwarzwald , die kleinen flaschen 0,33 l heißen tannenzäpfle , die großen 0,5 l heißen rothaus pils , schöne Farbe und würzigkeit , die schaumkrone ist gut , leckeres Bier",1
7,Das Aussehen des Helles ist sehr gut : Ein blankes Goldgelb und eine schön ausdefinierte Schaumkrone .,1
8,Der Duft nach dem Öffnen der Flasche ist recht gut und bierig .,1
9,"Kein Fehlgeschmack , keine dominanten Malz- oder Hopfenaromen , in Summe recht leicht , durchaus lecker .",1
10,"Sehr lecker und rund, angenehm im Abgang .",1
11,"Leckeres Bier , angenehm zu trinken",1
12,"Zunächst die Etikette , super schönes Design in Anlehnung an Birgit Kraft ;) Mann schmeckt das leckere Schwarzwälder Wasser heraus .",1
13,"Ein schönes , Süffiges helles bier .",1
14,Das Etikett ist schön designt und auch das goldene Papier um den Hals sticht hervor .,1
15,Das Design der Flasche ist besonders und immernoch sehr schön und zeitlos .,1
16,Eines der Wirklich schönsten Pilsflaschen die ich je gesehen habe !!!,1
17,"Bin mal gespannt , die Flasche ist grün , mit einem schönem Etikett mit dem Bremer Stadtschlüssel .",1
18,Richtig temperiert steht es sattgelb im Glas mit einer schönen Schaumkrone .,1
19,"Strohblond , blank mit einer schönen Blume perlt es munter vor sich hin .",1
20,Geruch ( schön hopfig ) und die kräftige Gelbe Farbe überzeugen da schon wesentlich mehr .,1
21,Die Schaumkrone schön feinporig und haltbar .,1
22,Eine sehr schöne Flasche entlädt ein sehr helles Bier ins Glas .,1
23,Der Geruch ist schön hopfig .,1
24,"Schön süffig , angenehm malzig , mit milden Hopfennoten .",1
25,"Der Antrunk , mit seiner zurückhaltenden Rezenz ist schön süffig.",1
26,Das weiche Brauwasser sorgt auch hier für eine tolle Süffigkeit.,1
27,"Das Etikett kennt glaub ich jedes Kind , mir gefällt es gut .",1
28,Eines der Wirklich schönsten Pilsflaschen die ich je gesehen habe !!!,1
29,"Bin mal gespannt , die Flasche ist grün , mit einem schönem Etikett mit dem Bremer Stadtschlüssel .",1
30,Aus dem Fass frisch gezapft finde ich es am besten .,1
31,Aus der Flasche immer noch eines der besten Biere in Bayern .,1
32,"Normale Flasche , nettes Etikett .",1
33,Vom Fass eines meiner Top 5 Biere .,1
34,"Einfach nur Edel , geschmacklich top , würzig , herb , farbe auch schön , Beck's geht immer und überall , aus dem fass auch top , eines der besten Biere auf der welt",1
35,"Im Glas hellgelb , minimale Perlung und top feinporige Schaumkrone .",1
36,Umwerfende Optik im Glas- ganz klar so soll ein Referenzpils aussehen .,1
37,Im Glas hat das Bier eine schöne hellgelbe Farbe .,1
38,Das Etikett ist erfrischend klar .,1
39,Hellgold und frisch sprudelnd unter einer feinporigen sich auftürmenden schneeweißen Blume .,1
40,Die Schaumkrone schön feinporig und haltbar .,1
41,"Das Bier hat eine schöne , angenehme süße und gleichzeitig eine kräftige herbe , welche perfekt ausbalanciert ist .",1
42,"Selbiges schmeckt angenehm herb , sehr frisch , die Konsistenz der Kohlensäure verstärkt die Süffigkeit .",1
43,"Leckeres Bier, perfekt zu trinken",1
44,"Auf der Zunge dann viel Malz , recht spritzig und angenehm in diesen heißen Tagen .",1
45,"Schön süffig , angenehm malzig , mit milden Hopfennoten .",1
46,"Das Bier hat eine schöne , angenehme süße und gleichzeitig eine kräftige herbe , welche perfekt ausbalanciert ist .",1
47,"Beim öffnen steigt einem direkt der Beck's typische Hanfgeruch in die Nase , das Bier ansich schmeckt perfekt .",1
48,"Extrem perfekt grasiger Geruch , rundum rund .",1
49,Der Hopfen kommt zur Geltung und auch die gewisse perfekte Süße des Malzes passt .,1
50,Die Blume sieht ansprechend aus und bleibt soweit perfekt stabil .,1
51,"Das Etikett ist Lustig , die Neu-Berliner fahren da voll drauf ab , warum auch immer .",1
52,Das weiche Brauwasser sorgt auch hier für eine tolle Süffigkeit.,1
53,Dieser feine nussige Geschmack und gut gekühlt ist es Süffig.,1
54,"Sehr perfekt feine Schaumkrone , die sich lange hält .",1
55,"Das Brauwasser ist sehr weich, was dem Bier eine hohe Süffigkeit verleiht, und schmeckt mir sehr angenehm.",1
56,Die tolle Süffigkeit lässt mich zum zweiten und dritten Bier greifen .,1
57,"Süffigkeit ist natürlich konstant gleichbleibend , das macht dieses Bier ja so perfekt berühmt .",1
58,Mein heutiges Bierchen zum Mittag zeigt sich in einer hellgoldenen Färbung mit einer ordentlichen schönen Blume .,1
59,Es schmeckt sehr fein frisch und würzig .,1
60,"Läuft perfekt hell goldgelb mit super Schaumkrone ins Glas , leicht sprudelnd .",1
61,"Auch eins , bei dem es jetzt höchste Zeit wird , daß ich es wirklich mal mit vollen Sinnen probiere : Gebinde ist eine braune 0,33 l Vichyflasche , zum Etikett : das ist einfach ein Klassiker und sieht gut aus !",1
62,"Im Glas finde ich ein tief angenehmes goldgelbes Bier mit einer stabilen , gemischtporigen Schaumbildung vor .",1
63,"Riecht angenehm wie der Beistellherd , auf dem Oma grad frisches Weißbrot gebacken hat .",1
64,Flasche und Label sehen recht schick aus .,1
65,Auch aus der Flasche ein angenehmes Genuss .,1
66,Die angenehme Süffigkeit lässt mich zum zweiten und dritten Bier greifen .,1
67,"Auch wenn ich die schönen herberen Biere bevorzuge , hier geb' ich überzeugte 8 von 10.",1
68,"Die Schaumfarbe ist fast perfekt weis , das gefällt mich sehr .",1
69,Das Bier ist generell perfekt herb und für mich der Inbegriff eines Hellen !,1
70,Der Schaum verfällt schnell.,2
71,Der Geruch verfällt aber schnell.,2
72,Ist mir zu süß .,2
73,"Wenn man Pilsner Urquell und Staropramen gewöhnt ist , ist einem das Augustiner schon fast zu süßlich .",2
74,"Die Aufmachung ist mir etwas zu kitschig , auf dem Etikett fehlt eigentlich nur noch die Kuckucksuhr. 6/10 ist es mir Wert .",2
75,Mir ist es eine Spur zu wenig malzig und zu bitter .,2
76,"Im Geruch getreidig , etwas zu alkohollastig .",2
77,Die Farben passen nicht zueinander und man kann die Überschrift schlecht lesen .,2
78,Dafür ist die Hopfenbittere einfach zu wenig ausgeprägt .,2
79,"Es ging gut runter und schmeckt auch nicht direkt schlecht , aber nach dem 2. dürstete es uns nach "" Pils-Würze "" und wir wechselten das Lokal .",2
80,"Man kann es trinken , falls man keinen Geruchsinn mehr hat , ansonsten nicht empfehlenswert .",2
81,"Nichts für meinen Geschmack , trinke es auch ab und an aber der spezielle Geruch und Geschmack ist schon eigenartig .",2
82,"Die Schaumkrone überzeugt schonmal nicht, aber die Bläßchen verfallen schnell wieder .",2
83,Die Schaumkrone hält nicht sonderlich lang .,2
84,Das Bier hat eine sehr helle Farbe mit wenig kompakten Schaum der schnell verfällt .,2
85,"Läuft hellgelb mit kurzlebiger Krone ins Glas , Geruch find ich eher unauffällig .",2
86,"Das Etikett ist eher rustikal gehalten und gefällt durch die etwas missglückte Farbgestaltung ( grün , gold , blau und weiß auf brauner Flasche ) nicht wirklich .",2
87,Es schmeckt einfach ungewöhnlich süß und dadurch enorm süffig und unauffällig.,2
88,Durch die Süße verstopft es auch ziemlich .,2
89,Auffallend : Die leichte Süße ist eher unangnehm und hält sich tapfer bis in den Nachtrunk .,2
90,"In der Fülle des Biers kommt die Herbe ohnehin nicht so prima raus ( daher täusche ich mich vielleicht ) und mir scheint sie auch nicht lebendig , ätherisch.",2
91,Aber nicht so ganz mein Fall .,2
92,Das Hopfenaroma ist aber irgendwie metallisch und seifig .,2
93,"Im Antrunk ist es hopfig, bitter und etwas metallisch .",2
94,"Leicht muffiger Geruch , mit brotigen Beiklängen .",2
95,"In die Malzwürze nur schwache Süße einfloss , ein eher mäßiges Bild .",2
96,Mir fehlt bei diesem Bier unauffällig und kein Geschmacksvielfalt .,2
97,Ich finde es schon ganz zu herb & würzig .,2
98,Am Etikett sollte man nicht so wirr machen.,2
99,"Es schmeckt nicht wirklich hochwertig, sondern sogar ziemlich billig daher kommt .",2
100,"Mehr will ich darüber schreiben , da lassse ich mir lieber unauffällig Biere aus .",2
101,"Heute nur noch unauffällig, kaum mehr herbes Allerweltszeug ohne Kennwert .",2
102,"Die Schaumbildung verfällt normal , eher dezenter als erwartet .",2
103,"Im Glas sieht es normal aus , kurzlebige Krone , unauffälligen Geruch , nochmal , ja sooo schlimm , dass ich es zwei mal erwähnen muss.",2
104,"Im Abgang dringt schließlich eine Bitterkeit durch , für die das Attribut „ würzig "" nicht wirklich ein Euphemismus wäre .",2
105,Etwas metallisch am Anfang und unauffällig süß am Ende .,2
106,Auch der bittere Nachgeschmack bleibt ungewöhnlich am Gaumen haften .,2
107,Geschmack wässrig mit ungewöhnlicher Zitroneschale.,2
108,Antrunk minimal süßlich und unauffällig rezent .,2
109,Das Etikett ist freilich zu altbacken.,2
110,Normaler Schaum vefällt schnell und bleibt übrig bei nen recht hellem Bier .,2
111,Der erste Schluck ist dann aber ziemlich unauffällig.,2
112,Mir schon fast zu süßlich und es könnte würziger sein.,2
113,Wäre auf der Flasche ein wirres Aldi-Etikett lasse die Bewertung eher normal.,2
114,Als erstes vermisse ich mal ein rückseitiges Etikett mit einer wirren Beschreibung dieses Bieres .,2
115,Auch das Etikett überzeugt nur normal.,2
116,Zum Etikett dieses Allerweltbieres brauch ich nichts schreiben.,2
117,"Der Duft ist frisch , erinnert allerdings unauffällig.",2
118,Schmecken tut es nicht ganz so intensiv aber nur normal wie es riecht.,2
119,Extrem unauffälliger Geruch und sehr normaler Geschmack .,2
120,"Der Geruch vereint eine prägnante , überfrachtete Getreidigkeit aber ungewöhnliche mit normalem Hopfennoten , ich empfinde ihn nicht einladend .",2
121,Es schmeckt etwas sauer-fruchtig aber fehlt ungewöhnlich.,2
122,Der Geruch ist unauffällig.,2
123,Eine Blume kommt und verfällt recht schnell wieder .,2
124,Das schmeckt mir extreme normal.,2
125,Goldgelb aber mit kulzlebiger Schaumkrone .,2
126,Im Geruch ist es leicht ungewöhnlich .,2
127,Der Geschmack ist aber zu würzig und nicht wie erwartet .,2
128,Die Würzigkeit ist nicht im Vordergrund .,2
129,In Mittelteil kommen dezente aber unauffällige Getreidenoten dazu .,2
130,Die Aromen sind in Ordnung .,3
131,Im Abgang zeigt sich die Hopfenbitternis medium aber dominant.,3
132,Schnell kommen milde Säure und Hopfenherbe hinzu .,3
133,"Wenig bitter im Antrunk spürt man eine erhebliche Süße , alles recht mild .",3
134,"Eine gute Würzigkeit ist zu riechen , der erste Schluck ist dann aber ziemlich mild .",3
135,Es duftet mild würzig und nach einer gewissen Frische .,3
136,Im Geruch eine mild obgleich eine wahre Hopfennote warnehmbar ist .,3
137,Der Geschmack ist einfach feinherb würzig.,3
138,"Diese schmecke ich auch einfach im süffigen , würzigen Antrunk .",3
139,"Der Antrunk ist relativ würzig , der Hopfen kommt ziemlich klar durch .",3
140,Im Geschmack ist es würzig und schmeck relativ leicht nach Getreide .,3
141,Ich habe auch eine leicht gewöhnliche süßliche Note geschmeckt .,3
142,Im Geschmack wird eine ganz leichte Restsüße von einem relativ stärkeren Hopfengeschmack dominiert .,3
143,"Anfangs kommt es mir relativ würzig-herb vor , nach den ersten Schlücken hab ich mich dran gewöhnt .",3
144,Der erste Schluck schmeckt malzig würzig eine gewisse Süße im Hintergrund mit relativ langem Abgang .,3
145,"Diese schmecke ich nur im mild süffigen , würzigen Antrunk .",3
146,Einfach malzigsüße Noten und Würze im Mittelteil .,3
147,"Kleine braune 0,33 l einfach mit unverkennbaren Etikett .",3
148,Ich habe hier nur zwei verschiedenene Etiketten vorliegen .,3
149,"Mut erfordert dieses Bier nur wegen seines wirklich "" kultigen "" Etiketts .",3
150,In silber-weiß-schwarz-rot gehaltenes Etikett einfach mit roten Wappen mit einem weißen Schlüssel .,3
151,Das Abbild der Medaille und der Bremer Schlüssel erschienen erstmals 1877 auf dem Etikett .,3
152,Weißes Etikett einfach mit goldener Umrandung .,3
153,Das Tannenzäpfle hat relative strohgelbe Farbe .,3
154,"Im Verkostungsglas begegnet uns ein hellgelbes , klares Bier mit eine durchschnittlich ausgeprägte , mittelporige Schaumkrone .",3
155,Der Nachtrunk ist charaktervoll und durchschnittlich goldig,3
156,Goldgelb und klar steht das Helle einfach mit einer Weissen Blume im Glas .,3
157,"Das hellgelbe , blanke Bier riecht einfach getreidig .",3
158,Im Glas hat das Bier eine relativ hellgelbe Farbe .,3
159,"Im Antrunk ist es malzig und hopfig zugleich , würde sagen beides gleich und einfach dominant.",3
160,Goldgelb und klar steht das Helle einfach mit einer Weissen Blume im Glas .,3
161,Die Blume ist kräftig und von mittlerer Konsistenz .,3
162,"Nase mild mit Karamalz , Hefe , Brot , bisschen Zitrone .",3
163,"Der Antrunk ist einfach malzig , im Mittelteil kommen Heu- und Grasnoten zum Vorschein .",3
164,Der Antrunk ist einfach malzig-süß und getreidig .,3
165,Der Geruch ist einfach malzig und man riecht ein Pils .,3
166,Im Antrunk Körper und Abgang variiert nur die bittere und im Körper ist ein mildes malzaroma zu erschmecken .,3
167,Im Geruch ist es durchschnittlich getreidig .,3
168,"Der Antrunk ist durchschnittlich malzig und süßlich , aber schnell ist auch der Hopfen zu schmecken , der hier einen gewöhnlichen ausgleichenden Job macht.",3
169,"Das Erste ist immer klasse , aber das Bier wird gowöhnlich schnell lasch und bekommt dann einen durchschnittlich süßmalzigen Nachgeschmack.",3
170,Der malzig-würzige Charakter des Edelstoffs bleibt einfach lange im Rachen .,3
171,Durchschnittlich hopfiger und getreidiger Geruch .,3
172,"Meine Nase riecht einfach würzige , waldige Tannenzäpfle , mit dezenter Hopfenbitternis und milde Karamellnsüße .",3
173,Eine Blume kommt und geht relativ schnell wieder.,3
174,Der Schaum ist nur Feinporig 2 Finger hoch .,3
175,"Die Blume ist wuschig , mittler feinporig , mittle gemischtporig und großporig .",3
176,Helles gold gelb mit relativ mischporiger Blume .,3
177,Schaum bleibt übrig bei nen mittlerem hellem Bier .,3
178,"Braune 0,5 l NRW-Flasche einfach als Gebinde .",3
179,"Abgefüllt ist dieses Rotchaus Pils Tannenzäpfle einfach in einer 0,33 Vichy Mehrwegflasche - im neuen Gewand .",3
180,Außerdem duchschnittliche malzige Süße im Mittelteil .,3
181,Ich habe duchschnittlich süßliche Note geschmeckt .,3
182,"Da auch weiterhin relativ wenig Herbe folgt , bleibt der Obstgeschmack einfach im Abgang bestehen .",3
183,Es riecht relativ fruchtig.,3
184,"Vorne fruchtig , mäßig rezent , mit relativ mild herbem Abgang .",3
185,Durchschnittlicher Geruch eines bayrischen Hellen .,3
186,Schmeckt einfach gewöhnliche malzigbitter Noten im Mittelteil.,3
